 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
  218.3      262235     169530    1000000     27133      786091     13151      695715      1661      468645      387       382541       8        328818       8        328818       4        314419       2        302003       1        262235  
  220.0      195984     168674    1000000     27011      787289     13383      699479      1622      466181      400       382919       11       328252       10       327368       6        313126       5        305937       1        195984  
  221.7      266395     169215    1000000     26895      786269     13220      697911      1658      469497      403       384647       10       328652       9        327672       6        320992       4        308235       1        266395  
  223.3      212031     169164    1000000     27147      786544     13325      697301      1623      465993      394       383414       16       329814       16       329814       10       312100       5        282631       1        212031  
  225.0      169153     169015    1000000     27171      786684     13226      696309      1640      467279      407       384415       14       329317       13       328742       7        310960       6        304038       2        221455  
  226.7      175092     169400    1000000     26976      786658     13193      697754      1655      468706      392       382989       14       328809       13       327857       9        316161       5        288027       1        175092  
  228.3      178656     168770    1000000     27015      787040     13109      697274      1679      471981      419       387332       12       328631       11       328064       8        320167       7        314717       1        178656  
  230.0      242550     169310    1000000     27258      786639     13331      696398      1590      464077      370       381487       10       329028       8        327782       4        316247       4        316247       1        242550  
  231.7      168916     169720    1000000     27242      785486     13177      694562      1580      465477      403       386357       18       329496       15       327563       10       313409       7        293359       1        168916  
  233.3      181003     169349    1000000     27055      786050     13181      696719      1614      466358      386       383618       10       328539       9        328006       7        324735       6        319182       1        181003  
  235.0      212824     169150    1000000     27385      787398     13405      696865      1593      464554      392       383726       13       328331       11       327038       8        319083       6        307484       1        212824  
  236.7      161074     169579    1000000     27151      785862     13265      696261      1642      467429      398       383773       12       327321       12       327321       10       324411       9        318566       1        161074  
  238.3      102620     169273    1000000     26996      786036     13242      697301      1610      467709      418       388295       15       328834       14       328110       10       315819       9        309977       2        155862  
  240.0      151751     169481    1000000     26868      785478     13252      697521      1642      470373      407       385858       12       328047       12       328047       9        320166       8        314410       2        210813  
  241.7      186884     169080    1000000     27214      787068     13496      698569      1626      465533      372       380349       14       329096       13       328449       10       321142       8        309767       1        186884  
  243.3      186539     169017    1000000     27267      786506     13290      696279      1620      465339      392       382758       14       328805       14       328805       10       313770       7        292168       1        186539  
  245.0      178198     169584    1000000     27172      786020     13248      696282      1599      466725      418       386867       13       328909       13       328909       12       324930       8        296367       1        178198  
  246.7      121706     169615    1000000     27133      786009     13257      696165      1617      466034      395       384060       15       329020       14       328186       11       318214       7        291981       2        173308  
  248.3      184715     169285    1000000     27187      786228     13365      696921      1604      464241      412       383962       17       328705       15       327448       11       315765       8        298539       1        184715  
  250.0      102410     169941    1000000     27214      785348     13424      696122      1641      464056      383       379046       19       326958       18       326213       15       316457       10       282591       1        102410  
  251.7      198167     169145    1000000     27307      786832     13208      695857      1667      466826      410       382082       13       326007       12       325276       9        315549       4        282332       1        198167  
  253.3      171897     169441    1000000     27239      786611     13206      696165      1665      467449      375       380298       12       326964       11       326242       9        318322       6        296469       1        171897  
  255.0      158270     169688    1000000     27231      785647     13211      695171      1638      467105      415       384367       15       327140       15       327140       12       317101       6        277182       1        158270  
  256.7      174126     169494    1000000     27167      786765     13169      696346      1625      467730      421       387164       11       327303       10       326433       8        320408       6        305100       1        174126  
  258.3      145286     169451    1000000     27290      786892     13372      696652      1651      466430      386       381238       13       326564       12       325823       9        316312       5        288539       2        205604  
  260.0      174895     169694    1000000     26990      785692     13233      696880      1657      468854      427       385994       12       327005       12       327005       9        316990       7        301572       1        174895  
  261.7      163272     169075    1000000     27092      786907     13316      698029      1671      468222      402       383083       10       327373       9        326872       7        318955       6        313161       2        215324  
  263.3      146878     169093    1000000     27242      786568     13282      696679      1662      465947      391       380503       13       327153       12       326633       9        317126       5        289714       2        203702  
  265.0      138645     170030    1000000     27200      785607     13201      695125      1653      468217      381       382283       12       329271       11       328718       9        320859       8        315280       2        191551  
  266.7      151074     169804    1000000     27117      785143     13230      695338      1620      464927      431       384381       14       324948       14       324948       11       315347       10       309539       1        151074  
