 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   6.9       41513      12796      100000      145       84235        7        83459        3        83414        3        83414        3        83414        3        83414        3        83414        2        75304        0          0     
   7.0       41636      12714      100000      167       84428        8        83510        3        83460        3        83460        3        83460        3        83460        3        83460        2        75352        0          0     
   7.1       41786      12796      100000      136       84177        8        83416        3        83356        3        83356        3        83356        3        83356        3        83356        2        75286        0          0     
   7.2       41687      12937      100000      149       83953        13       83157        3        83046        3        83046        3        83046        3        83046        3        83046        2        75202        0          0     
   7.3       41655      12994      100000      138       83857        10       83131        3        83052        3        83052        3        83052        3        83052        3        83052        2        75242        0          0     
   7.4       41869      12828      100000      153       84160        10       83339        3        83265        3        83265        3        83265        3        83265        3        83265        2        75512        0          0     
   7.5       41981      12710      100000      151       84467        9        83651        3        83580        3        83580        3        83580        3        83580        3        83580        2        75756        0          0     
   7.6       42148      12580      100000      130       84425        5        83698        3        83667        3        83667        3        83667        3        83667        3        83667        2        75997        0          0     
   7.7       42181      12657      100000      132       84345        5        83603        3        83575        3        83575        3        83575        3        83575        3        83575        2        76128        0          0     
   7.8       42032      12793      100000      139       84225        7        83454        3        83412        3        83412        3        83412        3        83412        3        83412        2        76101        0          0     
   7.9       42029      12851      100000      125       84198        6        83498        3        83462        3        83462        3        83462        3        83462        3        83462        2        76223        0          0     
   8.0       42126      12800      100000      165       84244        13       83370        3        83263        3        83263        3        83263        3        83263        3        83263        2        76300        0          0     
   8.1       42136      12939      100000      174       84029        13       83092        3        82964        3        82964        3        82964        3        82964        3        82964        2        76344        0          0     
   8.2       42356      13097      100000      167       83737        11       82851        3        82759        3        82759        3        82759        3        82759        3        82759        2        76302        0          0     
   8.3       42507      13146      100000      145       83701        7        82908        3        82864        3        82864        3        82864        3        82864        3        82864        2        76438        0          0     
   8.4       42838      12850      100000      126       83936        9        83249        3        83183        3        83183        3        83183        3        83183        3        83183        2        76935        0          0     
   8.5       42914      12871      100000      141       84127        4        83339        3        83329        3        83329        3        83329        3        83329        3        83329        2        77162        0          0     
   8.6       43154      12843      100000      125       84086        7        83391        3        83349        3        83349        3        83349        3        83349        3        83349        2        77425        0          0     
   8.7       43228      12912      100000      153       84014        6        83174        3        83136        3        83136        3        83136        3        83136        3        83136        2        77628        0          0     
   8.8       43246      12982      100000      144       83859        7        83065        3        83016        3        83016        3        83016        3        83016        3        83016        2        77709        0          0     
   8.9       43290      12875      100000      148       83944        13       83149        3        83025        3        83025        3        83025        3        83025        3        83025        2        77866        0          0     
   9.0       43472      12850      100000      162       84039        8        83134        3        83081        3        83081        3        83081        3        83081        2        78128        2        78128        0          0     
