 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   11.5       8215      100000       79       89986        7        89560        2        89504        2        89504        2        89504        2        89504        2        89504        1        81479        1        81479   
   11.6       8016      100000      103       90233        3        89634        2        89620        2        89620        2        89620        2        89620        2        89620        1        82013        1        82013   
   11.7       8281      100000       96       89868        12       89392        2        89206        2        89206        2        89206        2        89206        2        89206        1        82551        1        82551   
   11.8       8496      100000      107       89480        9        88895        2        88810        2        88810        2        88810        2        88810        2        88810        1        83107        1        83107   
   11.9       8577      100000      106       89244        10       88693        2        88594        2        88594        2        88594        2        88594        1        83788        1        83788        1        83788   
   12.0       8490      100000       86       89497        2        88998        2        88998        2        88998        2        88998        2        88998        1        84985        1        84985        1        84985   
   12.1       8486      100000       77       89519        3        89093        2        89083        2        89083        2        89083        2        89083        1        85743        1        85743        1        85743   
   12.2       8700      100000      102       89187        7        88634        2        88581        2        88581        2        88581        2        88581        1        86403        1        86403        1        86403   
   12.3       8915      100000      138       88917        7        88135        2        88070        2        88070        2        88070        1        87296        1        87296        1        87296        1        87296   
   12.4       8619      100000      100       89363        5        88802        1        88757        1        88757        1        88757        1        88757        1        88757        1        88757        1        88757   
   12.5       8015      100000       61       90106        2        89751        1        89741        1        89741        1        89741        1        89741        1        89741        1        89741        1        89741   
   12.6       7558      100000       42       90921        1        90687        1        90687        1        90687        1        90687        1        90687        1        90687        1        90687        1        90687   
   12.7       7085      100000       40       91440        1        91225        1        91225        1        91225        1        91225        1        91225        1        91225        1        91225        1        91225   
   12.8       7125      100000       21       91389        3        91286        1        91259        1        91259        1        91259        1        91259        1        91259        1        91259        1        91259   
   12.9       7165      100000       39       91412        2        91202        1        91192        1        91192        1        91192        1        91192        1        91192        1        91192        1        91192   
   13.0       7287      100000       54       91353        4        91059        1        91025        1        91025        1        91025        1        91025        1        91025        1        91025        1        91025   
   13.1       7382      100000       60       91062        3        90715        1        90689        1        90689        1        90689        1        90689        1        90689        1        90689        1        90689   
   13.2       7440      100000       44       90967        2        90711        1        90701        1        90701        1        90701        1        90701        1        90701        1        90701        1        90701   
   13.3       7504      100000       57       90963        2        90649        1        90638        1        90638        1        90638        1        90638        1        90638        1        90638        1        90638   
   13.4       7387      100000       58       91070        2        90746        1        90736        1        90736        1        90736        1        90736        1        90736        1        90736        1        90736   
   13.5       7427      100000       61       91018        1        90665        1        90665        1        90665        1        90665        1        90665        1        90665        1        90665        1        90665   
   13.6       7526      100000       66       90880        2        90505        1        90495        1        90495        1        90495        1        90495        1        90495        1        90495        1        90495   
   13.7       7640      100000       45       90700        5        90472        1        90430        1        90430        1        90430        1        90430        1        90430        1        90430        1        90430   
   13.8       7597      100000       47       90789        1        90518        1        90518        1        90518        1        90518        1        90518        1        90518        1        90518        1        90518   
   13.9       7579      100000       67       90824        2        90468        1        90455        1        90455        1        90455        1        90455        1        90455        1        90455        1        90455   
   14.0       7718      100000       50       90621        1        90341        1        90341        1        90341        1        90341        1        90341        1        90341        1        90341        1        90341   
   14.1       7589      100000       54       90808        2        90516        1        90504        1        90504        1        90504        1        90504        1        90504        1        90504        1        90504   
   14.2       7588      100000       54       90899        2        90603        1        90589        1        90589        1        90589        1        90589        1        90589        1        90589        1        90589   
   14.3       7528      100000       46       90843        2        90601        1        90590        1        90590        1        90590        1        90590        1        90590        1        90590        1        90590   
   14.4       7381      100000       59       91039        3        90718        1        90693        1        90693        1        90693        1        90693        1        90693        1        90693        1        90693   
   14.5       7377      100000       48       91084        2        90818        1        90807        1        90807        1        90807        1        90807        1        90807        1        90807        1        90807   
   14.6       7503      100000       41       90922        2        90700        1        90687        1        90687        1        90687        1        90687        1        90687        1        90687        1        90687   
   14.7       7434      100000       34       91018        2        90837        1        90825        1        90825        1        90825        1        90825        1        90825        1        90825        1        90825   
   14.8       7250      100000       43       91274        3        91052        1        91032        1        91032        1        91032        1        91032        1        91032        1        91032        1        91032   
   14.9       7258      100000       44       91281        2        91047        1        91037        1        91037        1        91037        1        91037        1        91037        1        91037        1        91037   
   15.0       7075      100000       37       91544        3        91352        1        91329        1        91329        1        91329        1        91329        1        91329        1        91329        1        91329   
   15.1       6895      100000       31       91768        1        91603        1        91603        1        91603        1        91603        1        91603        1        91603        1        91603        1        91603   
   15.2       6859      100000       34       91734        3        91562        1        91539        1        91539        1        91539        1        91539        1        91539        1        91539        1        91539   
   15.3       6878      100000       32       91888        1        91702        1        91702        1        91702        1        91702        1        91702        1        91702        1        91702        1        91702   
   15.4       6799      100000       34       92004        2        91819        1        91809        1        91809        1        91809        1        91809        1        91809        1        91809        1        91809   
   15.5       6855      100000       39       91894        1        91679        1        91679        1        91679        1        91679        1        91679        1        91679        1        91679        1        91679   
   15.6       6951      100000       37       91687        2        91484        1        91473        1        91473        1        91473        1        91473        1        91473        1        91473        1        91473   
   15.7       7034      100000       37       91552        2        91340        1        91327        1        91327        1        91327        1        91327        1        91327        1        91327        1        91327   
   15.8       7082      100000       52       91545        5        91283        1        91242        1        91242        1        91242        1        91242        1        91242        1        91242        1        91242   
   15.9       7158      100000       52       91410        2        91136        1        91125        1        91125        1        91125        1        91125        1        91125        1        91125        1        91125   
   16.0       7283      100000       49       91312        2        91041        1        91031        1        91031        1        91031        1        91031        1        91031        1        91031        1        91031   
   16.1       7016      100000       52       91581        4        91311        1        91265        1        91265        1        91265        1        91265        1        91265        1        91265        1        91265   
   16.2       7160      100000       45       91448        1        91194        1        91194        1        91194        1        91194        1        91194        1        91194        1        91194        1        91194   
   16.3       7186      100000       37       91496        1        91296        1        91296        1        91296        1        91296        1        91296        1        91296        1        91296        1        91296   
   16.4       7143      100000       47       91542        2        91292        1        91282        1        91282        1        91282        1        91282        1        91282        1        91282        1        91282   
   16.5       7157      100000       51       91526        3        91262        1        91242        1        91242        1        91242        1        91242        1        91242        1        91242        1        91242   
   16.6       7280      100000       51       91324        1        91049        1        91049        1        91049        1        91049        1        91049        1        91049        1        91049        1        91049   
   16.7       7282      100000       32       91253        2        91083        1        91072        1        91072        1        91072        1        91072        1        91072        1        91072        1        91072   
   16.8       6989      100000       29       91650        1        91505        1        91505        1        91505        1        91505        1        91505        1        91505        1        91505        1        91505   
   16.9       6936      100000       39       91697        1        91488        1        91488        1        91488        1        91488        1        91488        1        91488        1        91488        1        91488   
   17.0       6992      100000       44       91577        2        91340        1        91329        1        91329        1        91329        1        91329        1        91329        1        91329        1        91329   
   17.1       7079      100000       38       91491        1        91282        1        91282        1        91282        1        91282        1        91282        1        91282        1        91282        1        91282   
   17.2       7072      100000       39       91417        1        91209        1        91209        1        91209        1        91209        1        91209        1        91209        1        91209        1        91209   
   17.3       7373      100000       59       91130        2        90803        1        90793        1        90793        1        90793        1        90793        1        90793        1        90793        1        90793   
   17.4       7493      100000       61       90938        5        90609        1        90568        1        90568        1        90568        1        90568        1        90568        1        90568        1        90568   
   17.5       7447      100000       51       91037        1        90746        1        90746        1        90746        1        90746        1        90746        1        90746        1        90746        1        90746   
   17.6       7353      100000       55       91085        5        90793        1        90751        1        90751        1        90751        1        90751        1        90751        1        90751        1        90751   
   17.7       7469      100000       43       90998        3        90779        1        90757        1        90757        1        90757        1        90757        1        90757        1        90757        1        90757   
   17.8       7445      100000       50       90965        2        90694        1        90684        1        90684        1        90684        1        90684        1        90684        1        90684        1        90684   
   17.9       7350      100000       52       91147        3        90863        1        90843        1        90843        1        90843        1        90843        1        90843        1        90843        1        90843   
   18.0       7451      100000       48       91022        3        90770        1        90747        1        90747        1        90747        1        90747        1        90747        1        90747        1        90747   
   18.1       7458      100000       59       91019        2        90689        1        90670        1        90670        1        90670        1        90670        1        90670        1        90670        1        90670   
   18.2       7492      100000       49       91004        2        90745        1        90735        1        90735        1        90735        1        90735        1        90735        1        90735        1        90735   
   18.3       7295      100000       36       91187        2        90993        1        90983        1        90983        1        90983        1        90983        1        90983        1        90983        1        90983   
   18.4       7291      100000       51       91189        4        90914        1        90884        1        90884        1        90884        1        90884        1        90884        1        90884        1        90884   
   18.5       7391      100000       46       91120        2        90876        1        90866        1        90866        1        90866        1        90866        1        90866        1        90866        1        90866   
   18.6       7329      100000       62       91159        2        90816        1        90806        1        90806        1        90806        1        90806        1        90806        1        90806        1        90806   
   18.7       7440      100000       51       90930        3        90653        1        90611        1        90611        1        90611        1        90611        1        90611        1        90611        1        90611   
   18.8       7818      100000       74       90506        3        90081        1        90058        1        90058        1        90058        1        90058        1        90058        1        90058        1        90058   
   18.9       7815      100000       49       90429        6        90186        1        90127        1        90127        1        90127        1        90127        1        90127        1        90127        1        90127   
   19.0       7929      100000       68       90469        3        90102        1        90081        1        90081        1        90081        1        90081        1        90081        1        90081        1        90081   
   19.1       7909      100000       55       90398        1        90083        1        90083        1        90083        1        90083        1        90083        1        90083        1        90083        1        90083   
   19.2       7806      100000       61       90577        2        90246        1        90234        1        90234        1        90234        1        90234        1        90234        1        90234        1        90234   
   19.3       7707      100000       48       90592        3        90328        1        90295        1        90295        1        90295        1        90295        1        90295        1        90295        1        90295   
