 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
  185.0      291117    1000000     36644      612673     12242      456939      121       261003       6        254093       4        253891       4        253891       3        251280       3        251280       2        238975  
  186.7      291366    1000000     36267      612191     12363      459472      138       261845       7        254192       5        253972       5        253972       4        251388       4        251388       2        224351  
  188.3      291562    1000000     36260      611784     12098      457135      144       263254       5        254830       3        254606       3        254606       2        252074       2        252074       1        239646  
  190.0      290997    1000000     36269      611796     12144      457706      131       262738       7        255481       4        255168       4        255168       3        252615       3        252615       1        225224  
  191.7      291371    1000000     35956      610850     12322      459898      133       262935       5        255329       5        255329       5        255329       4        252842       4        252842       2        225397  
  193.3      290173    1000000     36462      613941     12225      458673      133       263595       8        256160       5        255835       5        255835       4        253342       4        253342       2        225903  
  195.0      290355    1000000     36086      613473     12173      460462      130       263423       4        255976       3        255862       3        255862       2        253469       2        253469       1        241124  
  196.7      290525    1000000     36321      613338     12232      459375      127       263524       5        256223       3        256016       3        256016       2        253620       2        253620       1        241395  
  198.3      290593    1000000     36322      613342     12179      459046      139       264049       7        256267       5        256066       5        256066       4        253815       4        253815       2        226225  
  200.0      290182    1000000     35941      612550     12274      461397      115       263260       7        256743       4        256428       4        256428       3        254178       3        254178       1        226612  
  201.7      290091    1000000     36189      613356     12261      460260      115       263510       6        256825       5        256699       5        256699       4        254512       4        254512       2        226822  
  203.3      290334    1000000     36257      613585     12152      459260      129       264831       7        257464       6        257361       6        257361       5        255234       5        255234       2        201393  
  205.0      290445    1000000     36448      614798     12211      459925      117       264517       7        257918       6        257805       6        257805       5        255574       5        255574       2        201778  
  206.7      290811    1000000     36110      612139     12150      458768      131       265141       8        257793       6        257575       6        257575       5        255638       5        255638       2        201823  
  208.3      291039    1000000     36106      612341     12037      458459      138       265956       8        258149       6        257911       6        257911       5        255969       5        255969       2        202071  
  210.0      290721    1000000     36072      612737     12112      459602      121       265180       7        258524       6        258411       6        258411       5        256577       5        256577       2        202603  
  211.7      290932    1000000     35859      611839     12133      460249      130       266251       8        259022       6        258782       6        258782       5        256931       5        256931       2        203019  
  213.3      290397    1000000     36015      613416     12124      460566      139       267346       10       259495       6        259073       6        259073       5        257165       5        257165       2        203148  
  215.0      290264    1000000     36174      614047     12054      459565      107       265806       7        259808       5        259585       5        259585       4        257751       4        257751       2        219060  
  216.7      291011    1000000     35889      611661     11966      458670      131       267080       6        259831       6        259831       6        259831       5        258089       5        258089       2        203764  
  218.3      290569    1000000     35859      612297     12033      459964      139       268008       6        260203       6        260203       6        260203       5        258530       5        258530       2        204095  
  220.0      291286    1000000     35907      612151     12070      459801      110       266890       7        260710       6        260597       6        260597       5        259005       5        259005       2        204521  
  221.7      291156    1000000     35851      612192     11988      459708      139       269077       8        261167       6        260967       6        260967       5        259445       5        259445       2        204964  
  223.3      291307    1000000     35929      612210     11930      458614      123       268372       7        261463       6        261344       6        261344       5        259787       5        259787       2        205289  
  225.0      290986    1000000     35908      611889     11914      458032      124       268632       8        261562       6        261333       6        261333       5        259861       5        259861       2        205433  
  226.7      291465    1000000     35877      611551     11894      457979      124       268738       11       262099       6        261537       6        261537       5        260105       5        260105       2        205683  
  228.3      291335    1000000     35849      611312     11816      457630      129       268991       7        261630       6        261516       6        261516       5        260168       5        260168       2        205711  
  230.0      290800    1000000     35861      612782     11990      459676      125       269005       6        261918       6        261918       6        261918       5        260645       5        260645       2        205879  
  231.7      290010    1000000     35764      613406     11996      461438      132       269869       7        262372       6        262249       6        262249       5        260998       5        260998       2        206181  
  233.3      290411    1000000     35835      612834     11941      460134      121       269873       7        262924       6        262819       6        262819       5        261633       5        261633       2        206683  
  235.0      291263    1000000     35701      611507     11936      459666      114       269577       8        263271       6        263042       6        263042       5        261975       5        261975       2        206843  
  236.7      291127    1000000     35789      612324     11850      459296      119       270192       6        263306       6        263306       5        262359       5        262359       5        262359       2        207147  
  238.3      290860    1000000     35709      612419     11919      460189      136       271535       7        263697       6        263586       5        262715       5        262715       5        262715       2        207189  
  240.0      290292    1000000     35893      613021     11890      459689      101       269639       10       264183       6        263732       5        262919       5        262919       5        262919       2        207266  
  241.7      291069    1000000     35785      611751     11846      458730      117       271019       7        264456       6        264347       5        263528       5        263528       5        263528       2        207596  
  243.3      290248    1000000     35516      612798     11929      462096      124       271724       6        264549       6        264549       5        263827       5        263827       5        263827       2        207707  
  245.0      291217    1000000     35525      611613     11822      460162      124       271368       8        264503       5        263735       5        263735       5        263735       5        263735       2        207637  
  246.7      290677    1000000     35805      612702     11831      459465      111       270747       7        264483       5        263969       5        263969       5        263969       5        263969       2        207806  
  248.3      290171    1000000     35617      612178     11829      459676      126       271747       6        264738       5        264471       5        264471       5        264471       5        264471       2        208182  
  250.0      290596    1000000     35748      612557     11762      458856      124       272117       7        265205       5        264954       5        264954       5        264954       5        264954       2        208432  
  251.7      290875    1000000     35623      611936     11666      458650      145       273583       6        265385       5        265283       5        265283       5        265283       5        265283       2        208343  
  253.3      291008    1000000     35567      612080     11859      460822      118       272988       7        266351       5        266132       5        266132       5        266132       5        266132       2        208958  
  255.0      291069    1000000     35368      611654     11705      460443      118       273427       5        266632       5        266632       5        266632       5        266632       5        266632       2        209251  
  256.7      290909    1000000     35518      611656     11800      460176      102       273224       6        267385       5        267281       5        267281       5        267281       5        267281       2        209582  
  258.3      291153    1000000     35540      612193     11735      460066      113       274132       5        267695       5        267695       5        267695       5        267695       5        267695       2        209818  
  260.0      291208    1000000     35336      611338     11730      460729      120       275068       7        268240       5        268012       5        268012       5        268012       5        268012       2        209911  
  261.7      291192    1000000     35246      611534     11673      461108      123       275277       6        268305       5        268198       5        268198       5        268198       5        268198       2        209944  
  263.3      290646    1000000     35346      611974     11745      461031      107       275048       5        269029       5        269029       5        269029       5        269029       5        269029       2        210353  
  265.0      290946    1000000     35098      611943     11799      462939      128       276640       5        269426       4        269244       4        269244       4        269244       4        269244       1        210520  
  266.7      290496    1000000     35398      612938     11641      461056      114       276617       6        269942       4        269701       4        269701       4        269701       4        269701       1        210712  
  268.3      289801    1000000     35419      613795     11657      462095      112       276288       6        269898       4        269658       4        269658       4        269658       4        269658       1        210667  
  270.0      291220    1000000     35277      610958     11549      459571      104       276162       4        269959       4        269959       4        269959       4        269959       4        269959       1        210966  
  271.7      290605    1000000     35387      612783     11548      460385      117       276802       6        270345       5        270215       5        270215       5        270215       5        270215       2        211028  
  273.3      290241    1000000     35195      612193     11549      461090      103       275952       4        270086       4        270086       4        270086       4        270086       4        270086       1        211028  
  275.0      290443    1000000     35133      613124     11656      463108      109       276664       6        270408       4        270206       4        270206       4        270206       4        270206       1        211334  
  276.7      290456    1000000     35326      613202     11611      461826      106       276245       7        270429       4        270084       4        270084       4        270084       4        270084       1        211210  
  278.3      291411    1000000     34981      610726     11544      461145      120       277809       5        270989       4        270878       4        270878       4        270878       4        270878       1        211793  
  280.0      290688    1000000     35160      611479     11564      460550      110       277842       4        271377       4        271377       4        271377       4        271377       4        271377       1        212358  
  281.7      291376    1000000     34879      610213     11478      460674      117       278459       7        272001       4        271663       4        271663       4        271663       4        271663       1        212739  
  283.3      290881    1000000     35146      611920     11531      461059      110       277907       3        271642       3        271642       3        271642       3        271642       3        271642       1        241495  
  285.0      290191    1000000     34965      611940     11622      462919      118       278719       5        272091       4        271990       4        271990       4        271990       4        271990       1        213263  
  286.7      290371    1000000     35034      612277     11652      462700       98       277840       4        272223       3        272082       3        272082       3        272082       3        272082       1        230273  
  288.3      290526    1000000     35049      611397     11387      460210      105       278485       5        272589       3        272384       3        272384       3        272384       3        272384       1        230412  
  290.0      290598    1000000     35162      613006     11548      462186      114       279262       4        272703       4        272703       4        272703       4        272703       4        272703       1        213600  
  291.7      290824    1000000     35251      612987     11625      462143       84       278329       7        273718       4        273339       4        273339       4        273339       4        273339       1        213915  
  293.3      290556    1000000     35077      611767     11393      460695      114       280132       7        273678       4        273347       4        273347       4        273347       4        273347       1        213848  
  295.0      290655    1000000     35196      612432     11441      460647      100       279653       5        273914       4        273791       4        273791       4        273791       4        273791       1        214045  
  296.7      290808    1000000     35075      611762     11337      460044      110       280371       3        274138       3        274138       3        274138       3        274138       3        274138       1        231542  
  298.3      291290    1000000     35101      611693     11463      460954       82       279347       5        274621       4        274513       4        274513       4        274513       4        274513       1        214559  
  300.0      290948    1000000     34701      610756     11413      461804      100       280378       4        274703       4        274703       4        274703       4        274703       4        274703       1        214714  
  301.7      290983    1000000     35041      611033     11405      459958       91       280054       4        274865       4        274865       4        274865       4        274865       4        274865       1        214923  
  303.3      290574    1000000     35015      611991     11347      460808      100       281070       5        275402       4        275275       4        275275       4        275275       4        275275       1        215286  
  305.0      291025    1000000     35089      612365     11496      461637       98       281289       5        275818       4        275714       4        275714       4        275714       4        275714       1        215584  
  306.7      291264    1000000     34864      610851     11193      459219      107       281885       4        275743       4        275743       4        275743       4        275743       4        275743       1        215602  
  308.3      291216    1000000     34829      610982     11410      461563       98       281913       3        276161       3        276161       3        276161       3        276161       3        276161       1        233329  
  310.0      290840    1000000     35048      611680     11325      459646       91       281559       4        276299       4        276299       4        276299       4        276299       4        276299       1        215782  
  311.7      290730    1000000     34939      611959     11417      462066       97       281984       4        276473       4        276473       4        276473       4        276473       4        276473       1        216018  
  313.3      290762    1000000     34688      611423     11271      462143      111       283795       9        277709       4        277197       4        277197       4        277197       4        277197       1        216515  
  315.0      290480    1000000     34728      611214     11249      461092       99       283015       5        277451       4        277349       4        277349       4        277349       4        277349       1        216475  
  316.7      289666    1000000     34611      612357     11310      463278      106       283726       6        277710       4        277487       4        277487       4        277487       4        277487       1        216641  
  318.3      290048    1000000     34672      612101     11205      462100       96       283533       6        278181       4        277972       4        277972       4        277972       4        277972       1        216947  
  320.0      290470    1000000     34796      612334     11208      461494       96       283176       4        277837       4        277837       4        277837       4        277837       4        277837       1        216882  
  321.7      291001    1000000     34484      610894     11218      462330       98       283745       6        278373       4        278143       4        278143       4        278143       4        278143       1        217074  
