             tauB                            r                             g(r)             
           100.000                         1.491                          1.004             
           100.000                         1.497                          1.032             
           100.000                         1.502                          0.981             
           100.000                         1.507                          0.989             
           100.000                         1.512                          1.016             
           100.000                         1.518                          0.981             
           100.000                         1.523                          1.031             
           100.000                         1.528                          0.995             
           100.000                         1.533                          1.006             
           100.000                         1.539                          0.981             
           100.000                         1.544                          1.021             
           100.000                         1.549                          1.038             
           100.000                         1.554                          0.991             
           100.000                         1.560                          1.018             
           100.000                         1.565                          1.024             
           100.000                         1.570                          1.024             
           100.000                         1.575                          1.011             
           100.000                         1.581                          0.993             
           100.000                         1.586                          1.006             
           100.000                         1.591                          1.027             
           100.000                         1.596                          0.995             
           100.000                         1.602                          0.993             
           100.000                         1.607                          0.993             
           100.000                         1.612                          1.030             
           100.000                         1.617                          1.051             
           100.000                         1.622                          1.047             
           100.000                         1.628                          0.995             
           100.000                         1.633                          1.004             
           100.000                         1.638                          0.983             
           100.000                         1.643                          1.016             
           100.000                         1.649                          0.979             
           100.000                         1.654                          1.003             
           100.000                         1.659                          1.008             
           100.000                         1.664                          1.040             
           100.000                         1.670                          1.000             
           100.000                         1.675                          1.011             
           100.000                         1.680                          1.024             
           100.000                         1.685                          0.999             
           100.000                         1.691                          1.022             
           100.000                         1.696                          1.021             
           100.000                         1.701                          0.987             
           100.000                         1.706                          1.011             
           100.000                         1.712                          1.050             
           100.000                         1.717                          1.030             
           100.000                         1.722                          1.013             
           100.000                         1.727                          0.981             
           100.000                         1.733                          0.974             
           100.000                         1.738                          1.020             
           100.000                         1.743                          0.999             
           100.000                         1.748                          0.997             
           100.000                         1.753                          1.003             
           100.000                         1.759                          1.037             
           100.000                         1.764                          0.997             
           100.000                         1.769                          1.013             
           100.000                         1.774                          0.991             
           100.000                         1.780                          0.964             
           100.000                         1.785                          1.014             
           100.000                         1.790                          1.032             
           100.000                         1.795                          1.038             
           100.000                         1.801                          0.999             
           100.000                         1.806                          0.986             
           100.000                         1.811                          1.045             
           100.000                         1.816                          1.034             
           100.000                         1.822                          0.977             
           100.000                         1.827                          1.014             
           100.000                         1.832                          1.003             
           100.000                         1.837                          1.030             
           100.000                         1.843                          0.999             
           100.000                         1.848                          1.009             
           100.000                         1.853                          0.990             
           100.000                         1.858                          0.982             
           100.000                         1.864                          0.983             
           100.000                         1.869                          0.999             
           100.000                         1.874                          1.004             
           100.000                         1.879                          1.008             
           100.000                         1.885                          1.004             
           100.000                         1.890                          0.968             
           100.000                         1.895                          1.008             
           100.000                         1.900                          1.009             
           100.000                         1.905                          1.015             
           100.000                         1.911                          1.028             
           100.000                         1.916                          1.039             
           100.000                         1.921                          1.023             
           100.000                         1.926                          1.002             
           100.000                         1.932                          1.018             
           100.000                         1.937                          0.973             
           100.000                         1.942                          0.971             
           100.000                         1.947                          1.030             
           100.000                         1.953                          0.977             
           100.000                         1.958                          1.003             
           100.000                         1.963                          1.013             
           100.000                         1.968                          1.002             
           100.000                         1.974                          1.015             
           100.000                         1.979                          1.016             
           100.000                         1.984                          1.011             
           100.000                         1.989                          1.020             
           100.000                         1.995                          1.019             
           100.000                         2.000                          1.030             
           100.000                         2.005                          1.016             
           100.000                         2.010                          0.974             
           100.000                         2.016                          0.983             
           100.000                         2.021                          1.024             
           100.000                         2.026                          1.002             
           100.000                         2.031                          1.014             
           100.000                         2.037                          0.969             
           100.000                         2.042                          0.980             
           100.000                         2.047                          0.986             
           100.000                         2.052                          1.010             
           100.000                         2.057                          0.984             
           100.000                         2.063                          1.030             
           100.000                         2.068                          1.015             
           100.000                         2.073                          0.967             
           100.000                         2.078                          1.021             
           100.000                         2.084                          0.988             
           100.000                         2.089                          1.006             
           100.000                         2.094                          0.995             
           100.000                         2.099                          1.021             
           100.000                         2.105                          1.037             
           100.000                         2.110                          1.004             
           100.000                         2.115                          1.019             
           100.000                         2.120                          1.003             
           100.000                         2.126                          1.028             
           100.000                         2.131                          1.055             
           100.000                         2.136                          1.000             
           100.000                         2.141                          0.985             
           100.000                         2.147                          0.998             
           100.000                         2.152                          0.977             
           100.000                         2.157                          1.014             
           100.000                         2.162                          1.037             
           100.000                         2.168                          1.015             
           100.000                         2.173                          0.971             
           100.000                         2.178                          0.999             
           100.000                         2.183                          0.992             
           100.000                         2.188                          1.015             
           100.000                         2.194                          1.023             
           100.000                         2.199                          1.008             
           100.000                         2.204                          1.007             
           100.000                         2.209                          0.971             
           100.000                         2.215                          0.985             
           100.000                         2.220                          1.010             
           100.000                         2.225                          1.051             
           100.000                         2.230                          1.012             
           100.000                         2.236                          1.000             
           100.000                         2.241                          0.980             
           100.000                         2.246                          1.000             
           100.000                         2.251                          0.994             
           100.000                         2.257                          0.988             
           100.000                         2.262                          1.035             
           100.000                         2.267                          0.999             
           100.000                         2.272                          1.011             
           100.000                         2.278                          0.985             
           100.000                         2.283                          0.998             
           100.000                         2.288                          1.058             
           100.000                         2.293                          0.994             
           100.000                         2.299                          1.027             
           100.000                         2.304                          1.006             
           100.000                         2.309                          1.011             
           100.000                         2.314                          1.019             
           100.000                         2.320                          1.046             
           100.000                         2.325                          0.989             
           100.000                         2.330                          0.962             
           100.000                         2.335                          0.969             
           100.000                         2.340                          0.996             
           100.000                         2.346                          0.985             
           100.000                         2.351                          1.001             
           100.000                         2.356                          0.980             
           100.000                         2.361                          1.027             
           100.000                         2.367                          1.034             
           100.000                         2.372                          0.993             
           100.000                         2.377                          1.018             
           100.000                         2.382                          1.002             
           100.000                         2.388                          0.985             
           100.000                         2.393                          1.057             
           100.000                         2.398                          1.019             
           100.000                         2.403                          1.013             
           100.000                         2.409                          1.000             
           100.000                         2.414                          0.999             
           100.000                         2.419                          1.029             
           100.000                         2.424                          0.999             
           100.000                         2.430                          1.018             
           100.000                         2.435                          1.027             
           100.000                         2.440                          0.972             
           100.000                         2.445                          0.970             
           100.000                         2.451                          0.990             
           100.000                         2.456                          1.005             
           100.000                         2.461                          1.020             
           100.000                         2.466                          0.975             
           100.000                         2.472                          1.014             
           100.000                         2.477                          0.994             
           100.000                         2.482                          0.986             
           100.000                         2.487                          1.008             
           100.000                         2.492                          0.993             
           100.000                         2.498                          1.018             
           100.000                         2.503                          0.991             
           100.000                         2.508                          1.006             
           100.000                         2.513                          0.964             
           100.000                         2.519                          0.988             
           100.000                         2.524                          0.966             
           100.000                         2.529                          0.992             
           100.000                         2.534                          1.004             
           100.000                         2.540                          0.990             
           100.000                         2.545                          1.006             
           100.000                         2.550                          1.017             
           100.000                         2.555                          0.983             
           100.000                         2.561                          0.979             
           100.000                         2.566                          1.001             
           100.000                         2.571                          1.002             
           100.000                         2.576                          1.040             
           100.000                         2.582                          0.992             
           100.000                         2.587                          0.996             
           100.000                         2.592                          1.006             
           100.000                         2.597                          0.983             
           100.000                         2.603                          0.996             
           100.000                         2.608                          1.007             
           100.000                         2.613                          0.998             
           100.000                         2.618                          0.986             
           100.000                         2.623                          1.029             
           100.000                         2.629                          1.000             
           100.000                         2.634                          0.961             
           100.000                         2.639                          0.998             
           100.000                         2.644                          1.040             
           100.000                         2.650                          1.004             
           100.000                         2.655                          1.005             
           100.000                         2.660                          1.036             
           100.000                         2.665                          1.003             
           100.000                         2.671                          0.989             
           100.000                         2.676                          1.008             
           100.000                         2.681                          0.987             
           100.000                         2.686                          0.997             
           100.000                         2.692                          1.014             
           100.000                         2.697                          0.998             
           100.000                         2.702                          1.003             
           100.000                         2.707                          0.999             
           100.000                         2.713                          1.006             
           100.000                         2.718                          0.967             
           100.000                         2.723                          1.018             
           100.000                         2.728                          0.992             
           100.000                         2.734                          1.016             
           100.000                         2.739                          1.015             
           100.000                         2.744                          1.018             
           100.000                         2.749                          0.993             
           100.000                         2.755                          1.006             
           100.000                         2.760                          1.033             
           100.000                         2.765                          1.001             
           100.000                         2.770                          0.985             
           100.000                         2.775                          0.984             
           100.000                         2.781                          0.994             
           100.000                         2.786                          1.014             
           100.000                         2.791                          1.053             
           100.000                         2.796                          1.025             
           100.000                         2.802                          0.995             
           100.000                         2.807                          0.985             
           100.000                         2.812                          1.002             
           100.000                         2.817                          1.023             
           100.000                         2.823                          1.006             
           100.000                         2.828                          1.006             
           100.000                         2.833                          0.967             
           100.000                         2.838                          1.011             
           100.000                         2.844                          0.995             
           100.000                         2.849                          0.999             
           100.000                         2.854                          1.007             
           100.000                         2.859                          0.989             
           100.000                         2.865                          1.027             
           100.000                         2.870                          1.000             
           100.000                         2.875                          1.028             
           100.000                         2.880                          1.000             
           100.000                         2.886                          1.047             
           100.000                         2.891                          0.963             
           100.000                         2.896                          1.019             
           100.000                         2.901                          1.025             
           100.000                         2.907                          1.039             
           100.000                         2.912                          1.042             
           100.000                         2.917                          0.994             
           100.000                         2.922                          0.986             
           100.000                         2.927                          1.011             
           100.000                         2.933                          1.015             
           100.000                         2.938                          0.991             
           100.000                         2.943                          1.000             
           100.000                         2.948                          1.011             
           100.000                         2.954                          1.002             
           100.000                         2.959                          0.997             
           100.000                         2.964                          1.006             
           100.000                         2.969                          1.049             
           100.000                         2.975                          1.002             
           100.000                         2.980                          0.981             
           100.000                         2.985                          0.994             
           100.000                         2.990                          1.012             
           100.000                         2.996                          1.004             
           100.000                         3.001                          0.994             
           100.000                         3.006                          1.004             
           100.000                         3.011                          1.004             
           100.000                         3.017                          0.993             
           100.000                         3.022                          0.973             
           100.000                         3.027                          1.014             
           100.000                         3.032                          1.000             
           100.000                         3.038                          0.994             
           100.000                         3.043                          0.975             
           100.000                         3.048                          1.000             
           100.000                         3.053                          0.996             
           100.000                         3.058                          1.006             
           100.000                         3.064                          1.008             
           100.000                         3.069                          1.008             
           100.000                         3.074                          1.010             
           100.000                         3.079                          1.000             
           100.000                         3.085                          0.986             
           100.000                         3.090                          0.998             
           100.000                         3.095                          1.004             
           100.000                         3.100                          0.978             
           100.000                         3.106                          1.002             
           100.000                         3.111                          0.987             
           100.000                         3.116                          1.004             
           100.000                         3.121                          1.013             
           100.000                         3.127                          1.007             
           100.000                         3.132                          0.989             
           100.000                         3.137                          1.011             
           100.000                         3.142                          1.032             
           100.000                         3.148                          1.018             
           100.000                         3.153                          0.994             
           100.000                         3.158                          1.005             
           100.000                         3.163                          0.983             
           100.000                         3.169                          1.011             
           100.000                         3.174                          1.024             
           100.000                         3.179                          1.011             
           100.000                         3.184                          1.032             
           100.000                         3.190                          1.003             
           100.000                         3.195                          1.001             
           100.000                         3.200                          0.979             
           100.000                         3.205                          1.014             
           100.000                         3.210                          0.990             
           100.000                         3.216                          1.007             
           100.000                         3.221                          0.991             
           100.000                         3.226                          1.006             
           100.000                         3.231                          1.006             
           100.000                         3.237                          1.007             
           100.000                         3.242                          1.006             
           100.000                         3.247                          1.002             
           100.000                         3.252                          1.006             
           100.000                         3.258                          1.006             
           100.000                         3.263                          0.999             
           100.000                         3.268                          0.991             
           100.000                         3.273                          1.045             
           100.000                         3.279                          0.986             
           100.000                         3.284                          1.012             
           100.000                         3.289                          0.987             
           100.000                         3.294                          0.996             
           100.000                         3.300                          1.004             
           100.000                         3.305                          0.993             
           100.000                         3.310                          1.008             
           100.000                         3.315                          1.020             
           100.000                         3.321                          0.996             
           100.000                         3.326                          1.008             
           100.000                         3.331                          1.001             
           100.000                         3.336                          1.002             
           100.000                         3.341                          0.991             
           100.000                         3.347                          1.011             
           100.000                         3.352                          1.019             
           100.000                         3.357                          0.998             
           100.000                         3.362                          0.977             
           100.000                         3.368                          0.995             
           100.000                         3.373                          1.013             
           100.000                         3.378                          0.999             
           100.000                         3.383                          1.012             
           100.000                         3.389                          1.027             
           100.000                         3.394                          0.993             
           100.000                         3.399                          1.011             
           100.000                         3.404                          0.999             
           100.000                         3.410                          1.023             
           100.000                         3.415                          1.015             
           100.000                         3.420                          1.002             
           100.000                         3.425                          1.017             
           100.000                         3.431                          1.006             
           100.000                         3.436                          0.990             
           100.000                         3.441                          1.000             
           100.000                         3.446                          0.990             
           100.000                         3.452                          1.023             
           100.000                         3.457                          0.999             
           100.000                         3.462                          1.018             
           100.000                         3.467                          0.996             
           100.000                         3.473                          1.010             
           100.000                         3.478                          1.039             
           100.000                         3.483                          0.987             
           100.000                         3.488                          1.003             
           100.000                         3.493                          0.994             
           100.000                         3.499                          0.997             
           100.000                         3.504                          1.017             
           100.000                         3.509                          1.017             
           100.000                         3.514                          0.991             
           100.000                         3.520                          0.978             
           100.000                         3.525                          1.023             
           100.000                         3.530                          1.026             
           100.000                         3.535                          0.995             
           100.000                         3.541                          0.999             
           100.000                         3.546                          0.978             
           100.000                         3.551                          0.974             
           100.000                         3.556                          1.005             
           100.000                         3.562                          0.997             
           100.000                         3.567                          1.015             
           100.000                         3.572                          0.992             
           100.000                         3.577                          1.008             
           100.000                         3.583                          1.029             
           100.000                         3.588                          1.006             
           100.000                         3.593                          0.981             
           100.000                         3.598                          0.979             
           100.000                         3.604                          0.981             
           100.000                         3.609                          1.034             
           100.000                         3.614                          0.982             
           100.000                         3.619                          0.991             
           100.000                         3.625                          1.004             
           100.000                         3.630                          0.987             
           100.000                         3.635                          1.002             
           100.000                         3.640                          1.032             
           100.000                         3.645                          0.991             
           100.000                         3.651                          1.013             
           100.000                         3.656                          0.978             
           100.000                         3.661                          1.012             
           100.000                         3.666                          1.022             
           100.000                         3.672                          0.999             
           100.000                         3.677                          0.986             
           100.000                         3.682                          1.020             
           100.000                         3.687                          1.035             
           100.000                         3.693                          1.017             
           100.000                         3.698                          1.001             
           100.000                         3.703                          1.018             
           100.000                         3.708                          1.022             
           100.000                         3.714                          0.996             
           100.000                         3.719                          1.015             
           100.000                         3.724                          0.996             
           100.000                         3.729                          0.998             
           100.000                         3.735                          1.008             
           100.000                         3.740                          0.992             
           100.000                         3.745                          0.984             
           100.000                         3.750                          1.003             
           100.000                         3.756                          1.010             
           100.000                         3.761                          0.991             
           100.000                         3.766                          1.002             
           100.000                         3.771                          1.019             
           100.000                         3.776                          1.013             
           100.000                         3.782                          0.990             
           100.000                         3.787                          1.022             
           100.000                         3.792                          1.000             
           100.000                         3.797                          1.019             
           100.000                         3.803                          1.011             
           100.000                         3.808                          1.008             
           100.000                         3.813                          0.993             
           100.000                         3.818                          0.993             
           100.000                         3.824                          0.998             
           100.000                         3.829                          1.018             
           100.000                         3.834                          0.978             
           100.000                         3.839                          1.026             
           100.000                         3.845                          0.992             
           100.000                         3.850                          1.024             
           100.000                         3.855                          1.007             
           100.000                         3.860                          1.030             
           100.000                         3.866                          1.030             
           100.000                         3.871                          0.987             
           100.000                         3.876                          0.991             
           100.000                         3.881                          1.009             
           100.000                         3.887                          1.010             
           100.000                         3.892                          1.011             
           100.000                         3.897                          1.010             
           100.000                         3.902                          0.970             
           100.000                         3.908                          0.984             
           100.000                         3.913                          0.988             
           100.000                         3.918                          1.014             
           100.000                         3.923                          1.028             
           100.000                         3.928                          0.993             
           100.000                         3.934                          0.991             
           100.000                         3.939                          1.024             
           100.000                         3.944                          0.967             
           100.000                         3.949                          0.978             
           100.000                         3.955                          1.010             
           100.000                         3.960                          1.002             
           100.000                         3.965                          0.993             
           100.000                         3.970                          0.993             
           100.000                         3.976                          0.991             
           100.000                         3.981                          1.000             
           100.000                         3.986                          0.989             
           100.000                         3.991                          1.024             
           100.000                         3.997                          1.016             
           100.000                         4.002                          0.992             
           100.000                         4.007                          1.014             
           100.000                         4.012                          0.996             
           100.000                         4.018                          0.993             
           100.000                         4.023                          1.001             
           100.000                         4.028                          1.005             
           100.000                         4.033                          0.978             
           100.000                         4.039                          0.993             
           100.000                         4.044                          0.996             
           100.000                         4.049                          1.023             
           100.000                         4.054                          1.024             
           100.000                         4.060                          0.987             
           100.000                         4.065                          0.999             
           100.000                         4.070                          0.990             
           100.000                         4.075                          0.983             
           100.000                         4.080                          0.981             
           100.000                         4.086                          1.026             
           100.000                         4.091                          1.006             
           100.000                         4.096                          1.001             
           100.000                         4.101                          0.991             
           100.000                         4.107                          1.011             
           100.000                         4.112                          0.960             
           100.000                         4.117                          1.030             
           100.000                         4.122                          0.989             
           100.000                         4.128                          1.019             
           100.000                         4.133                          1.001             
           100.000                         4.138                          1.008             
           100.000                         4.143                          1.001             
           100.000                         4.149                          0.993             
           100.000                         4.154                          1.010             
           100.000                         4.159                          0.980             
           100.000                         4.164                          0.985             
           100.000                         4.170                          1.005             
           100.000                         4.175                          0.991             
           100.000                         4.180                          0.992             
           100.000                         4.185                          0.985             
           100.000                         4.191                          0.997             
           100.000                         4.196                          0.981             
           100.000                         4.201                          1.009             
           100.000                         4.206                          0.997             
           100.000                         4.211                          1.010             
           100.000                         4.217                          1.000             
           100.000                         4.222                          1.009             
           100.000                         4.227                          1.000             
           100.000                         4.232                          1.012             
           100.000                         4.238                          1.014             
           100.000                         4.243                          1.012             
           100.000                         4.248                          1.014             
           100.000                         4.253                          1.001             
           100.000                         4.259                          0.998             
           100.000                         4.264                          0.995             
           100.000                         4.269                          1.014             
           100.000                         4.274                          0.995             
           100.000                         4.280                          1.011             
           100.000                         4.285                          0.987             
           100.000                         4.290                          0.984             
           100.000                         4.295                          1.004             
           100.000                         4.301                          1.023             
           100.000                         4.306                          1.002             
           100.000                         4.311                          0.995             
           100.000                         4.316                          1.032             
           100.000                         4.322                          1.018             
           100.000                         4.327                          0.984             
           100.000                         4.332                          1.007             
           100.000                         4.337                          1.020             
           100.000                         4.343                          1.006             
           100.000                         4.348                          1.009             
           100.000                         4.353                          1.006             
           100.000                         4.358                          1.015             
           100.000                         4.363                          1.002             
           100.000                         4.369                          1.009             
           100.000                         4.374                          1.017             
           100.000                         4.379                          0.983             
