 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
20825000.00    4232        0         4232      45768        0        45768      26262        0        26262      15256      0.7844     0.7844     0.0000     0.0000      0.38    12351.9372   0.0000   12351.9372 21659.9023   0.0000   21659.9023  65449.85 
21250000.00    4047        0         4047      45953        0        45953      26437        0        26437      15317      0.7862     0.7862     0.0000     0.0000      0.38    12464.3142   0.0000   12464.3142 21783.8654   0.0000   21783.8654  65449.85 
21675000.00    4150        0         4150      45850        0        45850      26604        0        26604      15283      0.7878     0.7878     0.0000     0.0000      0.38    12575.2196   0.0000   12575.2196 21774.9612   0.0000   21774.9612  65449.85 
22100000.00    4295        0         4295      45705        0        45705      26722        0        26722      15235      0.7917     0.7917     0.0000     0.0000      0.38    12669.9939   0.0000   12669.9939 21751.0792   0.0000   21751.0792  65449.85 
22525000.00    4338        0         4338      45662        0        45662      26857        0        26857      15220      0.7910     0.7910     0.0000     0.0000      0.38    12739.5572   0.0000   12739.5572 21729.7962   0.0000   21729.7962  65449.85 
22950000.00    4402        0         4402      45598        0        45598      26979        0        26979      15199      0.7950     0.7950     0.0000     0.0000      0.38    12813.6488   0.0000   12813.6488 21730.7974   0.0000   21730.7974  65449.85 
23375000.00    4405        0         4405      45595        0        45595      27172        0        27172      15198      0.7934     0.7934     0.0000     0.0000      0.38    12892.0530   0.0000   12892.0530 21719.4642   0.0000   21719.4642  65449.85 
23800000.00    4460        0         4460      45540        0        45540      27342        0        27342      15180      0.7933     0.7933     0.0000     0.0000      0.38    12973.9995   0.0000   12973.9995 21703.0664   0.0000   21703.0664  65449.85 
24225000.00    4384        0         4384      45616        0        45616      27565        0        27565      15205      0.7870     0.7870     0.0000     0.0000      0.38    13087.4904   0.0000   13087.4904 21750.9196   0.0000   21750.9196  65449.85 
24650000.00    4307        0         4307      45693        0        45693      27845        0        27845      15231      0.7886     0.7886     0.0000     0.0000      0.38    13229.1426   0.0000   13229.1426 21783.3088   0.0000   21783.3088  65449.85 
25075000.00    4308        0         4308      45692        0        45692      27964        0        27964      15230      0.7923     0.7923     0.0000     0.0000      0.38    13290.7002   0.0000   13290.7002 21790.0387   0.0000   21790.0387  65449.85 
25500000.00    4208        0         4208      45792        0        45792      28095        0        28095      15264      0.7874     0.7874     0.0000     0.0000      0.38    13364.3922   0.0000   13364.3922 21859.0455   0.0000   21859.0455  65449.85 
25925000.00    4150        0         4150      45850        0        45850      28232        0        28232      15283      0.7914     0.7914     0.0000     0.0000      0.38    13437.2559   0.0000   13437.2559 21896.2844   0.0000   21896.2844  65449.85 
26350000.00    4317        0         4317      45683        0        45683      28343        0        28343      15227      0.7969     0.7969     0.0000     0.0000      0.38    13497.3636   0.0000   13497.3636 21832.4684   0.0000   21832.4684  65449.85 
