 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  16.500        161196.954          1042411.843             6.467              11237.500           38241889.533           3403.060           1743234.382             513.2                40126        
  16.667        161304.158          1062697.999             6.588              11147.953           39479830.166           3541.442           1746707.348             494.1                39893        
  16.833        161402.534          1036994.837             6.425              11098.765           40037944.800           3607.423           1706598.578             473.9                39885        
  17.000        161326.860          1045139.041             6.478              11187.051           39232441.730           3506.951           1686475.350             481.8                40069        
  17.167        161256.232          1028997.121             6.381              11204.708           38403405.778           3427.435           1721210.125             503.1                40059        
  17.333        161222.179          1036038.787             6.426              11310.651           38352512.986           3390.832           1603950.059             473.9                40275        
  17.500        161174.252          1030114.843             6.391              11277.859           38458275.273           3410.069           1723935.221             506.5                40408        
  17.667        161029.212          1012877.417             6.290              11396.414           37830903.143           3319.544           1678136.676             506.5                40557        
  17.833        160951.016          1011927.724             6.287              11531.365           37059306.385           3213.783           1545323.506             481.8                40777        
  18.000        160597.873          1019844.905             6.350              11625.957           36350531.198           3126.670           1808193.098             579.5                40985        
  18.167        160843.812          1021020.667             6.348              11583.075           36325927.697           3136.121           1553571.168             496.4                40732        
  18.333        160929.575          1037515.776             6.447              11403.981           37059108.811           3249.664           1741004.577             536.8                40422        
  18.500        161130.109          1024916.043             6.361              11306.867           38220713.863           3380.310           1720245.237             509.9                40270        
  18.667        161291.546          1029753.006             6.384              11240.022           38906816.030           3461.454           1641319.449             475.0                40206        
  18.833        161228.485          1029066.544             6.383              11282.904           38441662.092           3407.072           1600209.838             470.6                40272        
  19.000        161051.914          1041119.512             6.464              11446.863           38033301.303           3322.596           1616283.258             487.4                40477        
  19.167        161014.077          1024970.956             6.366              11298.039           38213860.346           3382.345           1835021.198             543.6                40417        
  19.333        161098.579          1019773.824             6.330              11390.108           38093598.564           3344.446           1600756.431             479.5                40522        
  19.500        160894.261          1019803.325             6.338              11454.430           37518222.012           3275.433           1714511.525             524.5                40633        
  19.667        160944.710          1028541.026             6.391              11426.683           37828569.458           3310.547           1721767.613             521.1                40580        
  19.833        161079.661          1037548.265             6.441              11372.451           37563781.509           3303.051           1636386.060             496.4                40352        
  20.000        161091.012          1017822.392             6.318              11359.839           38253745.339           3367.455           1653317.588             491.9                40361        
  20.167        161043.085          1042400.437             6.473              11349.749           38503213.760           3392.429           1768195.378             522.2                40436        
  20.333        161058.220          1036907.254             6.438              11260.202           39026528.555           3465.882           1888158.866             545.8                40377        
  20.500        161121.281          1038536.856             6.446              11232.455           39334598.950           3501.870           1813584.921             518.8                40343        
  20.667        161186.865          1021321.065             6.336              11258.941           39375998.619           3497.309           1701501.084             487.4                40298        
  20.833        160957.322          1033606.730             6.422              11347.226           38210304.053           3367.370           1796655.168             534.6                40314        
  21.000        160945.971          1032505.275             6.415              11337.137           37574710.316           3314.303           1798010.321             543.6                40338        
  21.167        161084.705          1043423.929             6.477              11208.492           37773926.963           3370.117           1816981.482             540.2                39895        
  21.333        161290.285          1049573.555             6.507              11053.361           38825124.014           3512.517           1850576.375             527.8                39675        
  21.500        161447.938          1074290.821             6.654              10971.382           39267686.659           3579.101           1805403.705             505.4                39528        
  21.667        161383.615          1068189.801             6.619              11034.443           38893657.379           3524.750           1785856.249             507.6                39549        
  21.833        161488.297          1039040.269             6.434              11058.406           37986817.998           3435.108           1617228.722             471.7                39456        
  22.000        161513.521          1073689.087             6.648              10987.778           37805861.443           3440.720           1669910.807             486.3                39297        
  22.167        161614.419          1063117.747             6.578              10913.366           38643003.440           3540.888           1678962.416             475.0                39227        
  22.333        161405.056          1066276.920             6.606              11044.533           38738205.515           3507.455           1757425.477             502.0                39510        
  22.500        161468.117          1073810.639             6.650              10985.255           38070229.055           3465.575           1705303.419             493.0                39380        
  22.667        161422.713          1053228.380             6.525              11139.124           37112254.988           3331.703           1553475.034             467.2                39548        
  22.833        161256.232          1060338.025             6.575              11195.880           37143679.442           3317.620           1643551.635             496.4                39626        
  23.000        161444.154          1071200.874             6.635              11147.953           37971849.667           3406.172           1542400.539             453.7                39711        
  23.167        161253.709          1048976.192             6.505              11224.888           37225418.401           3316.329           1650379.528             498.6                39887        
  23.333        161348.301          1062584.138             6.586              11250.112           36829592.033           3273.709           1445631.942             442.5                39731        
  23.500        161328.122          1054087.655             6.534              11164.349           37584273.415           3366.455           1637626.138             487.4                39725        
  23.667        161402.534          1063875.307             6.591              11144.169           38471839.429           3452.194           1625213.885             471.7                39835        
  23.833        161243.620          1041042.333             6.456              11238.761           38166806.403           3395.998           1648256.615             486.3                40017        
  24.000        161176.775          1030820.559             6.396              11269.030           37976335.794           3369.974           1669628.228             496.4                40109        
  24.167        161108.669          1031035.014             6.400              11286.688           38389110.395           3401.273           1769039.829             521.1                40221        
  24.333        161099.840          1037335.023             6.439              11285.426           38063589.289           3372.809           1776870.233             527.8                40143        
  24.500        161185.603          1041797.249             6.463              11134.080           38894170.345           3493.254           1871758.417             536.8                39961        
  24.667        161282.717          1033319.166             6.407              11101.288           39167156.660           3528.163           1791651.432             508.7                39794        
  24.833        161401.272          1057870.709             6.554              11091.198           38360015.451           3458.600           1694158.157             490.8                39786        
  25.000        161098.579          1051703.658             6.528              11192.096           38048428.206           3399.580           1870975.060             551.4                39983        
  25.167        161310.464          1052719.168             6.526              11226.149           37877401.098           3374.033           1580814.209             469.4                39784        
  25.333        161277.673          1061548.864             6.582              11142.908           38574554.664           3461.803           1792725.557             518.8                39847        
  25.500        161363.436          1051284.699             6.515              11237.500           38223010.508           3401.380           1544093.391             454.8                39868        
  25.667        161354.607          1055686.664             6.543              11175.700           37913276.079           3392.474           1604673.387             473.9                39844        
  25.833        161343.256          1071868.089             6.643              11188.312           37223070.912           3326.960           1633238.653             491.9                39659        
  26.000        161505.954          1056121.816             6.539              11131.557           37253404.345           3346.648           1492930.852             447.0                39521        
  26.167        161401.272          1044249.947             6.470              11185.790           37417790.861           3345.118           1567266.951             469.4                39700        
  26.333        161321.815          1045260.337             6.479              11224.888           37832154.672           3370.382           1582899.663             470.6                40007        
  26.500        161248.664          1037602.139             6.435              11332.092           38054984.922           3358.161           1547057.007             461.6                40232        
  26.667        161203.260          1018427.381             6.318              11363.622           38384059.869           3377.801           1556176.664             461.6                40462        
  26.833        161180.558          1027673.971             6.376              11395.153           38505777.169           3379.137           1602219.022             475.0                40489        
  27.000        161179.297          1017853.505             6.315              11409.026           38386282.603           3364.554           1553834.584             462.7                40452        
  27.167        161002.726          1025393.022             6.369              11406.504           38681044.330           3391.139           1748570.184             516.6                40624        
  27.333        160964.889          1025497.695             6.371              11463.259           38490039.715           3357.687           1708705.781             509.9                40685        
  27.500        160985.069          1040009.842             6.460              11424.161           38146403.145           3339.099           1725381.528             517.7                40679        
  27.667        161077.138          1027033.573             6.376              11496.051           37812433.371           3289.167           1548419.210             471.7                40627        
  27.833        160937.142          1005049.554             6.245              11571.724           37085420.858           3204.831           1548215.148             484.0                40789        
  28.000        160916.963          1015657.684             6.312              11535.149           37309979.032           3234.460           1653157.938             512.1                40724        
  28.167        161078.399          1027995.302             6.382              11499.834           37661655.175           3274.974           1494001.688             457.1                40671        
  28.333        160943.448          1026779.213             6.380              11526.320           37991323.933           3296.050           1636635.829             497.5                40741        
  28.500        161034.256          1035564.209             6.431              11458.214           38351836.794           3347.104           1639500.199             490.8                40714        
  28.667        161091.012          1010226.815             6.271              11445.602           38722044.508           3383.138           1630715.975             482.9                40718        
  28.833        160954.799          1025038.835             6.368              11502.357           38814450.157           3374.478           1668095.050             495.3                40956        
  29.000        160870.297          1028671.123             6.394              11607.038           38006513.835           3274.437           1574493.875             481.8                41080        
  29.167        160845.073          1014533.553             6.308              11687.757           37758474.024           3230.601           1484616.802             460.4                41196        
  29.333        160698.771          1015012.701             6.316              11612.083           38611465.708           3325.111           1818847.200             548.0                41283        
  29.500        160807.236          1001385.004             6.227              11536.410           38676683.147           3352.575           1717446.887             513.2                41146        
  29.667        160812.281          1006153.522             6.257              11521.275           38511672.172           3342.657           1828495.877             548.0                41035        
  29.833        160992.636          1019826.613             6.335              11344.704           39472299.844           3479.359           1891670.950             544.7                40716        
  30.000        161070.832          1040805.746             6.462              11349.749           40047711.744           3528.511           1827398.969             518.8                40607        
  30.167        161146.505          1030122.056             6.392              11272.814           39698882.145           3521.648           1748866.313             497.5                40488        
  30.333        161045.607          1025977.962             6.371              11414.071           39419706.605           3453.606           1699540.290             493.0                40718        
  30.500        161172.991          1030374.419             6.393              11376.234           39193771.942           3445.232           1618161.719             470.6                40718        
  30.667        161068.310          1006625.931             6.250              11506.140           38780424.325           3370.411           1545240.707             459.3                40897        
  30.833        161048.130          1012356.604             6.286              11496.051           39259348.467           3415.029           1634625.043             479.5                41086        
  31.000        160821.110           998251.823             6.207              11656.226           39381914.073           3378.616           1647500.259             488.5                41398        
  31.167        160843.812          1000816.103             6.222              11607.038           39589911.178           3410.854           1716771.354             504.2                41361        
  31.333        160843.812           998849.997             6.210              11647.397           39775702.115           3414.986           1688235.677             495.3                41457        
  31.500        160727.779           990326.780             6.162              11643.614           39559673.053           3397.543           1797689.081             530.1                41489        
  31.667        160845.073           996888.899             6.198              11586.859           39482761.029           3407.547           1768594.032             520.0                41348        
  31.833        160887.955           979360.494             6.087              11648.659           40004508.581           3434.259           1620841.856             472.8                41487        
  32.000        160764.355           976120.605             6.072              11731.899           39320231.866           3351.566           1664408.690             497.5                41655        
  32.167        160763.093           993826.033             6.182              11648.659           39562726.314           3396.333           1728506.148             509.9                41511        
  32.333        160763.093          1008853.713             6.275              11676.406           39841875.902           3412.170           1755657.644             515.5                41618        
  32.500        160687.420          1003028.133             6.242              11707.936           38968116.935           3328.351           1775892.886             534.6                41655        
  32.667        160742.914          1014905.921             6.314              11805.050           38285723.713           3243.165           1515844.852             468.3                41743        
  32.833        160537.334           977397.155             6.088              11957.658           37420887.968           3129.449           1508296.296             482.9                41912        
  33.000        160451.571           993112.260             6.189              11977.838           37483552.769           3129.409           1557332.919             498.6                41865        
  33.167        160508.326           993208.126             6.188              11826.491           37848686.615           3200.331           1729009.618             541.3                41676        
  33.333        160648.322           973847.456             6.062              11768.475           38611674.856           3280.941           1666055.614             508.7                41553        
  33.500        160788.318          1000146.508             6.220              11700.369           38729057.997           3310.072           1584325.317             479.5                41498        
  33.667        160668.502           986473.188             6.140              11811.357           37936142.303           3211.836           1544456.490             481.8                41656        
  33.833        160494.453           990730.158             6.173              11805.050           37705076.809           3193.978           1793599.761             562.6                41496        
  34.000        160901.828          1012391.049             6.292              11651.181           39015687.939           3348.647           1550238.698             463.8                41194        
  34.167        160789.579          1006191.513             6.258              11622.173           39619323.843           3408.943           1734896.636             509.9                41243        
  34.333        160891.738           999016.800             6.209              11533.887           40245969.183           3489.367           1799397.067             516.6                41282        
  34.500        160816.065          1008929.235             6.274              11550.283           40148888.281           3476.009           1862602.673             536.8                41240        
  34.667        160972.457          1000860.496             6.218              11537.671           39402551.309           3415.122           1646187.293             482.9                41163        
  34.833        160924.530          1008290.818             6.266              11614.606           39296617.881           3383.379           1581531.151             468.3                41114        
  35.000        160953.538           996511.021             6.191              11536.410           39436599.496           3418.446           1686126.586             494.1                41172        
  35.167        160876.604          1001545.684             6.226              11644.875           38859672.232           3337.062           1630931.877             489.6                41327        
  35.333        160711.383          1003194.105             6.242              11710.459           38555333.657           3292.385           1690237.969             514.4                41393        
  35.500        160625.620           999300.318             6.221              11675.144           38593305.355           3305.596           1841551.919             558.2                41274        
  35.667        161073.354          1021756.248             6.343              11411.549           39430877.457           3455.348           1708159.491             495.3                40712        
  35.833        161094.795          1003346.460             6.228              11411.549           39628455.739           3472.662           1662290.095             479.5                40661        
  36.000        161045.607          1024043.507             6.359              11438.034           38956377.522           3405.863           1706550.352             502.0                40745        
  36.167        160985.069          1011008.756             6.280              11518.753           38364291.044           3330.594           1586671.336             477.3                40731        
  36.333        161104.885          1033157.701             6.413              11373.712           39144213.229           3441.639           1709051.191             497.5                40583        
  36.500        161164.162          1023932.279             6.353              11448.124           38448346.790           3358.484           1532185.681             457.1                40752        
  36.667        161011.554           989839.576             6.148              11583.075           38445820.423           3319.138           1518015.781             458.2                41155        
  36.833        160792.102           987480.607             6.141              11728.116           37954888.607           3236.231           1545326.088             478.4                41485        
  37.000        160676.069           984588.232             6.128              11786.132           37419295.974           3174.858           1569350.164             495.3                41588        
  37.167        160732.824           997323.547             6.205              11791.177           37491453.224           3179.619           1528903.513             481.8                41488        
  37.333        160649.583           988251.843             6.152              11765.952           37364096.981           3175.612           1608865.465             507.6                41503        
  37.500        160649.583          1007103.002             6.269              11734.422           37128980.107           3164.108           1680986.999             532.3                41233        
  37.667        160769.400          1010410.455             6.285              11591.904           37773575.045           3258.617           1738592.703             534.6                41028        
  37.833        160884.171          1018080.980             6.328              11506.140           37883845.886           3292.489           1730843.216             526.7                40825        
  38.000        160957.322          1020224.663             6.338              11392.630           37956939.183           3331.710           1747760.859             525.6                40752        
  38.167        160952.277          1027125.314             6.382              11494.789           38129725.626           3317.131           1665713.724             503.1                40852        
  38.333        160987.591          1011324.057             6.282              11480.916           38717209.649           3372.310           1659503.846             493.0                40709        
  38.500        160996.420          1037365.922             6.443              11506.140           38357218.829           3333.630           1595515.667             479.5                40659        
  38.667        160920.746          1002132.605             6.227              11496.051           37626585.967           3273.001           1665600.655             509.9                40696        
  38.833        160850.118          1036111.104             6.441              11477.132           37591595.837           3275.347           1747452.492             534.6                40638        
  39.000        160995.159          1040937.532             6.466              11461.998           37765835.578           3294.874           1632315.040             496.4                40577        
  39.167        160918.224          1043187.144             6.483              11425.422           38120724.401           3336.483           1761412.800             529.0                40440        
  39.333        161152.811          1047452.352             6.500              11261.463           38512995.937           3419.893           1736522.808             508.7                40184        
  39.500        161172.991          1023387.544             6.350              11311.912           38804189.444           3430.383           1653493.254             482.9                40330        
  39.667        161025.428          1034796.808             6.426              11396.414           37987088.466           3333.249           1685009.015             506.5                40462        
  39.833        161026.689          1037917.929             6.446              11299.300           38309537.106           3390.435           1854576.529             548.0                40350        
  40.000        161246.142          1037294.862             6.433              11295.516           39076429.027           3459.464           1667496.397             482.9                40204        
  40.167        161265.060          1056979.910             6.554              11250.112           38642414.266           3434.847           1620899.140             472.8                40125        
  40.333        161188.126          1027526.903             6.375              11257.679           38450041.871           3415.450           1726669.189             506.5                40159        
  40.500        161137.677          1040373.838             6.456              11253.896           38128901.736           3388.062           1727946.940             511.0                40025        
  40.667        161161.640          1052171.981             6.529              11151.737           37941383.150           3402.285           1853398.243             545.8                39855        
  40.833        161344.517          1051754.425             6.519              11190.835           38444253.068           3435.334           1628847.555             475.0                39809        
  41.000        161430.281          1058273.396             6.556              11077.325           39057358.785           3525.884           1750892.528             497.5                39675        
  41.167        161519.827          1066253.087             6.601              10997.867           38883650.780           3535.563           1700200.729             481.8                39426        
  41.333        161456.766          1063475.665             6.587              11016.786           39345313.208           3571.397           1841578.427             516.6                39481        
  41.500        161493.342          1062461.652             6.579              10977.688           39146683.812           3566.023           1782842.518             500.9                39469        
  41.666        161571.538          1056704.765             6.540              11025.614           38891340.495           3527.363           1589520.678             451.5                39548        
  41.833        161353.346          1063724.250             6.593              11089.937           38301003.671           3453.672           1718819.458             498.6                39678        
  42.000        161405.056          1052281.997             6.520              11129.035           38144724.338           3427.496           1621282.021             473.9                39707        
  42.166        161434.064          1048848.204             6.497              11145.431           38912776.553           3491.366           1596770.866             458.2                39932        
  42.333        161333.166          1030911.154             6.390              11207.231           39565963.688           3530.396           1666152.539             472.8                40212        
  42.500        161266.322          1036619.182             6.428              11303.084           39161324.166           3464.658           1580681.399             457.1                40369        
  42.666        161106.146          1020068.426             6.332              11367.406           39246687.050           3452.563           1683564.292             488.5                40539        
  42.833        161159.118          1019389.694             6.325              11347.226           38702201.137           3410.719           1678418.650             493.0                40506        
  43.000        161116.236          1029628.278             6.391              11337.137           38266354.288           3375.310           1657146.010             491.9                40396        
  43.166        161067.048          1014593.824             6.299              11419.116           38262238.776           3350.718           1667629.758             498.6                40507        
  43.333        160959.844          1020541.009             6.340              11401.459           38233110.471           3353.352           1800482.055             537.9                40613        
  43.500        161108.669          1032212.223             6.407              11364.883           38650231.261           3400.847           1654450.925             487.4                40446        
  43.666        161039.301          1019428.484             6.330              11406.504           38908645.897           3411.093           1709190.125             502.0                40579        
  43.833        161162.901          1038464.910             6.444              11339.659           38740183.085           3416.345           1673474.938             490.8                40442        
  44.000        161106.146          1028204.209             6.382              11383.802           38607303.171           3391.424           1680282.717             496.4                40519        
  44.166        161062.003          1025797.913             6.369              11439.296           38288089.604           3347.067           1598243.059             478.4                40617        
  44.333        160932.097          1011494.601             6.285              11451.908           38749456.605           3383.668           1763718.468             522.2                40765        
  44.500        161014.077          1029082.435             6.391              11361.100           39172632.160           3447.961           1754722.567             509.9                40671        
  44.666        161137.677          1015335.562             6.301              11366.145           38885015.031           3421.126           1622201.633             475.0                40670        
  44.833        160996.420          1025019.855             6.367              11531.365           38558397.635           3343.784           1615413.932             484.0                40922        
  45.000        160905.612          1013801.479             6.301              11593.165           38608714.686           3330.300           1631316.941             490.8                40997        
  45.166        160992.636          1004781.056             6.241              11545.238           38170337.229           3306.154           1530553.560             463.8                40818        
  45.333        161043.085          1000718.535             6.214              11470.826           38199113.341           3330.110           1608869.063             484.0                40742        
  45.500        161022.905          1016764.568             6.314              11449.385           38650347.479           3375.757           1710379.746             507.6                40802        
  45.666        161077.138          1022913.638             6.350              11538.932           39279944.087           3404.123           1526336.482             449.2                40912        
  45.833        161060.742          1012469.374             6.286              11545.238           38902704.250           3369.589           1582617.404             470.6                40987        
  46.000        160847.595          1000773.896             6.222              11660.010           37936425.148           3253.550           1575454.718             485.2                41106        
  46.166        160842.551          1013172.142             6.299              11618.389           37062438.218           3189.981           1555302.537             488.5                40946        
