           rCoM                     NinBin                      NA                        NB                      phiLoc                    align                      pInt                     pSwim          
        239.525955                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        240.650490                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        241.775025                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        242.899560                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        244.024095                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        245.148630                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        246.273165                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        247.397700                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        248.522235                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        249.646770                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        250.771305                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        251.895840                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        253.020375                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        254.144910                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        255.269445                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        256.393980                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        257.518515                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        258.643050                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        259.767585                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        260.892120                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        262.016655                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        263.141190                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        264.265725                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        265.390260                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        266.514795                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        267.639330                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        268.763865                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        269.888400                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        271.012935                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        272.137470                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        273.262005                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        274.386540                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        275.511075                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        276.635610                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        277.760145                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        278.884680                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        280.009215                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        281.133750                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        282.258285                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        283.382820                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        284.507355                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        285.631890                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        286.756425                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        287.880960                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        289.005495                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        290.130030                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        291.254565                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        292.379100                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        293.503635                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        294.628170                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        295.752705                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        296.877240                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        298.001775                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        299.126310                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        300.250845                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        301.375380                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        302.499915                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        303.624450                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        304.748985                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        305.873520                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        306.998055                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        308.122590                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        309.247125                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        310.371660                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        311.496195                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        312.620730                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        313.745265                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        314.869800                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        315.994335                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        317.118870                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        318.243405                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        319.367940                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        320.492475                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        321.617010                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        322.741545                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        323.866080                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        324.990615                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        326.115150                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        327.239685                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        328.364220                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        329.488755                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        330.613290                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        331.737825                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        332.862360                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        333.986895                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        335.111430                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        336.235965                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        337.360500                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        338.485035                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        339.609570                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        340.734105                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        341.858640                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
