 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
1627479.00   16533        0        16533      33467        0        33467       3763        0         3763       1195      0.8577     0.8577     0.0000     0.0000      0.47    2127.8396    0.0000   2127.8396  19433.4147   0.0000   19433.4147  65449.85 
1653312.00   16458        0        16458      33542        0        33542       3994        0         3994       1290      0.8679     0.8679     0.0000     0.0000      0.47    2274.4466    0.0000   2274.4466  19471.0452   0.0000   19471.0452  65449.85 
1679145.00   16790        0        16790      33210        0        33210       3924        0         3924       1383      0.8601     0.8601     0.0000     0.0000      0.47    2221.1801    0.0000   2221.1801  19237.1238   0.0000   19237.1238  65449.85 
1704978.00   16538        0        16538      33462        0        33462       3974        0         3974       1239      0.8670     0.8670     0.0000     0.0000      0.47    2255.5209    0.0000   2255.5209  19342.2559   0.0000   19342.2559  65449.85 
1730811.00   16215        0        16215      33785        0        33785       4046        0         4046       1468      0.8737     0.8737     0.0000     0.0000      0.47    2352.7546    0.0000   2352.7546  19518.7651   0.0000   19518.7651  65449.85 
1756644.00   16492        0        16492      33508        0        33508       4071        0         4071       1523      0.8588     0.8588     0.0000     0.0000      0.47    2307.6115    0.0000   2307.6115  19297.4240   0.0000   19297.4240  65449.85 
1782477.00   16487        0        16487      33513        0        33513       4074        0         4074       1675      0.8748     0.8748     0.0000     0.0000      0.47    2314.0349    0.0000   2314.0349  19297.3909   0.0000   19297.3909  65449.85 
1808310.00   16427        0        16427      33573        0        33573       4724        0         4724       1526      0.8790     0.8790     0.0000     0.0000      0.47    2689.8884    0.0000   2689.8884  19298.9128   0.0000   19298.9128  65449.85 
1834143.00   15924        0        15924      34076        0        34076       4155        0         4155       1793      0.8596     0.8596     0.0000     0.0000      0.47    2355.1566    0.0000   2355.1566  19603.0330   0.0000   19603.0330  65449.85 
1859976.00   15968        0        15968      34032        0        34032       4995        0         4995       1701      0.8586     0.8586     0.0000     0.0000      0.47    2845.9025    0.0000   2845.9025  19539.6458   0.0000   19539.6458  65449.85 
1885809.00   15980        0        15980      34020        0        34020       4316        0         4316       1790      0.8700     0.8700     0.0000     0.0000      0.47    2451.1833    0.0000   2451.1833  19518.0913   0.0000   19518.0913  65449.85 
1911642.00   15851        0        15851      34149        0        34149       4358        0         4358       1626      0.8688     0.8688     0.0000     0.0000      0.47    2465.8043    0.0000   2465.8043  19586.2535   0.0000   19586.2535  65449.85 
1937475.00   15841        0        15841      34159        0        34159       4308        0         4308       1707      0.8590     0.8590     0.0000     0.0000      0.47    2440.2582    0.0000   2440.2582  19578.2539   0.0000   19578.2539  65449.85 
1963308.00   15413        0        15413      34587        0        34587       5124        0         5124       1921      0.8659     0.8659     0.0000     0.0000      0.47    2915.4328    0.0000   2915.4328  19820.7077   0.0000   19820.7077  65449.85 
1989141.00   15544        0        15544      34456        0        34456       4412        0         4412       1813      0.8697     0.8697     0.0000     0.0000      0.47    2495.7888    0.0000   2495.7888  19729.9660   0.0000   19729.9660  65449.85 
2014974.00   15414        0        15414      34586        0        34586       4438        0         4438       1820      0.8608     0.8608     0.0000     0.0000      0.47    2512.4833    0.0000   2512.4833  19819.4996   0.0000   19819.4996  65449.85 
2040807.00   15474        0        15474      34526        0        34526       4404        0         4404       2030      0.8675     0.8675     0.0000     0.0000      0.47    2484.8345    0.0000   2484.8345  19739.0889   0.0000   19739.0889  65449.85 
2066640.00   15229        0        15229      34771        0        34771       4474        0         4474       2318      0.8611     0.8611     0.0000     0.0000      0.47    2523.5829    0.0000   2523.5829  19897.2552   0.0000   19897.2552  65449.85 
2092473.00   15243        0        15243      34757        0        34757       4462        0         4462       2172      0.8714     0.8714     0.0000     0.0000      0.47    2513.2766    0.0000   2513.2766  19887.1126   0.0000   19887.1126  65449.85 
2118306.00   14999        0        14999      35001        0        35001       5422        0         5422       2058      0.8736     0.8736     0.0000     0.0000      0.47    3135.4420    0.0000   3135.4420  20039.5810   0.0000   20039.5810  65449.85 
2144139.00   14864        0        14864      35136        0        35136       4553        0         4553       2066      0.8680     0.8680     0.0000     0.0000      0.47    2577.8351    0.0000   2577.8351  20118.1846   0.0000   20118.1846  65449.85 
2169972.00   14898        0        14898      35102        0        35102       5537        0         5537       2340      0.8626     0.8626     0.0000     0.0000      0.47    3210.1329    0.0000   3210.1329  20084.6050   0.0000   20084.6050  65449.85 
2195805.00   14770        0        14770      35230        0        35230       4740        0         4740       2072      0.8687     0.8687     0.0000     0.0000      0.47    2719.1369    0.0000   2719.1369  20155.2132   0.0000   20155.2132  65449.85 
2221638.00   14581        0        14581      35419        0        35419       4641        0         4641       1864      0.8739     0.8739     0.0000     0.0000      0.47    2619.4301    0.0000   2619.4301  20258.7677   0.0000   20258.7677  65449.85 
2247471.00   14823        0        14823      35177        0        35177       4587        0         4587       1954      0.8601     0.8601     0.0000     0.0000      0.47    2580.9768    0.0000   2580.9768  20088.7566   0.0000   20088.7566  65449.85 
2273304.00   14526        0        14526      35474        0        35474       4657        0         4657       1867      0.8558     0.8558     0.0000     0.0000      0.47    2625.2877    0.0000   2625.2877  20268.2892   0.0000   20268.2892  65449.85 
2299137.00   14633        0        14633      35367        0        35367       4667        0         4667       1964      0.8629     0.8629     0.0000     0.0000      0.47    2621.9235    0.0000   2621.9235  20170.3086   0.0000   20170.3086  65449.85 
2324970.00   14497        0        14497      35503        0        35503       6771        0         6771       2088      0.8626     0.8626     0.0000     0.0000      0.47    3828.9415    0.0000   3828.9415  20252.8223   0.0000   20252.8223  65449.85 
2350803.00   14584        0        14584      35416        0        35416       4701        0         4701       1967      0.8605     0.8605     0.0000     0.0000      0.47    2643.0682    0.0000   2643.0682  20184.2426   0.0000   20184.2426  65449.85 
2376636.00   14761        0        14761      35239        0        35239       4743        0         4743       2072      0.8675     0.8675     0.0000     0.0000      0.46    2673.1057    0.0000   2673.1057  20055.2043   0.0000   20055.2043  65449.85 
2402469.00   14484        0        14484      35516        0        35516       4727        0         4727       2219      0.8547     0.8547     0.0000     0.0000      0.46    2660.6440    0.0000   2660.6440  20221.2101   0.0000   20221.2101  65449.85 
2428302.00   14268        0        14268      35732        0        35732       5207        0         5207       2101      0.8634     0.8634     0.0000     0.0000      0.46    2952.5227    0.0000   2952.5227  20339.6173   0.0000   20339.6173  65449.85 
2454135.00   14368        0        14368      35632        0        35632       4833        0         4833       1979      0.8630     0.8630     0.0000     0.0000      0.46    2715.6963    0.0000   2715.6963  20255.9887   0.0000   20255.9887  65449.85 
2479968.00   14114        0        14114      35886        0        35886       5208        0         5208       2242      0.8742     0.8742     0.0000     0.0000      0.46    2946.6141    0.0000   2946.6141  20420.1145   0.0000   20420.1145  65449.85 
2505801.00   14085        0        14085      35915        0        35915       4815        0         4815       2244      0.8667     0.8667     0.0000     0.0000      0.46    2705.3633    0.0000   2705.3633  20423.5630   0.0000   20423.5630  65449.85 
2531634.00   14074        0        14074      35926        0        35926       5170        0         5170       2566      0.8650     0.8650     0.0000     0.0000      0.46    2923.4986    0.0000   2923.4986  20417.5777   0.0000   20417.5777  65449.85 
2557467.00   13960        0        13960      36040        0        36040       4902        0         4902       2402      0.8618     0.8618     0.0000     0.0000      0.46    2760.1175    0.0000   2760.1175  20466.2271   0.0000   20466.2271  65449.85 
2583300.00   13760        0        13760      36240        0        36240       4995        0         4995       2416      0.8571     0.8571     0.0000     0.0000      0.46    2816.7863    0.0000   2816.7863  20579.6089   0.0000   20579.6089  65449.85 
2609133.00   13743        0        13743      36257        0        36257       5009        0         5009       2589      0.8713     0.8713     0.0000     0.0000      0.46    2831.2676    0.0000   2831.2676  20603.3703   0.0000   20603.3703  65449.85 
2634966.00   13433        0        13433      36567        0        36567       7187        0         7187       2812      0.8634     0.8634     0.0000     0.0000      0.46    4079.8168    0.0000   4079.8168  20807.9263   0.0000   20807.9263  65449.85 
2660799.00   13409        0        13409      36591        0        36591       7197        0         7197       2613      0.8616     0.8616     0.0000     0.0000      0.46    4082.3566    0.0000   4082.3566  20810.1655   0.0000   20810.1655  65449.85 
2686632.00   13508        0        13508      36492        0        36492       5168        0         5168       2606      0.8621     0.8621     0.0000     0.0000      0.46    2939.9433    0.0000   2939.9433  20753.5427   0.0000   20753.5427  65449.85 
2712465.00   13103        0        13103      36897        0        36897       7355        0         7355       2838      0.8736     0.8736     0.0000     0.0000      0.46    4175.0456    0.0000   4175.0456  21008.6016   0.0000   21008.6016  65449.85 
2738298.00   13367        0        13367      36633        0        36633       5239        0         5239       2817      0.8564     0.8564     0.0000     0.0000      0.46    2973.9573    0.0000   2973.9573  20827.6150   0.0000   20827.6150  65449.85 
2764131.00   13468        0        13468      36532        0        36532       7310        0         7310       3321      0.8668     0.8668     0.0000     0.0000      0.46    4146.2631    0.0000   4146.2631  20781.3973   0.0000   20781.3973  65449.85 
2789964.00   13298        0        13298      36702        0        36702       7418        0         7418       3336      0.8703     0.8703     0.0000     0.0000      0.46    4212.5279    0.0000   4212.5279  20907.6969   0.0000   20907.6969  65449.85 
2815797.00   13287        0        13287      36713        0        36713       7420        0         7420       3337      0.8684     0.8684     0.0000     0.0000      0.46    4221.6161    0.0000   4221.6161  20919.2723   0.0000   20919.2723  65449.85 
2841630.00   13236        0        13236      36764        0        36764       7414        0         7414       3342      0.8582     0.8582     0.0000     0.0000      0.46    4220.5180    0.0000   4220.5180  20935.1193   0.0000   20935.1193  65449.85 
2867463.00   13353        0        13353      36647        0        36647       5632        0         5632       3331      0.8590     0.8590     0.0000     0.0000      0.46    3205.6102    0.0000   3205.6102  20831.7457   0.0000   20831.7457  65449.85 
2893296.00   12991        0        12991      37009        0        37009       5673        0         5673       3364      0.8647     0.8647     0.0000     0.0000      0.46    3228.5990    0.0000   3228.5990  21056.0720   0.0000   21056.0720  65449.85 
2919129.00   13052        0        13052      36948        0        36948       8529        0         8529       3694      0.8547     0.8547     0.0000     0.0000      0.46    4842.5188    0.0000   4842.5188  20993.1646   0.0000   20993.1646  65449.85 
2944962.00   12959        0        12959      37041        0        37041       7481        0         7481       3367      0.8623     0.8623     0.0000     0.0000      0.46    4251.4072    0.0000   4251.4072  21050.2911   0.0000   21050.2911  65449.85 
2970795.00   12874        0        12874      37126        0        37126       5315        0         5315       3093      0.8745     0.8745     0.0000     0.0000      0.46    3010.2833    0.0000   3010.2833  21104.8480   0.0000   21104.8480  65449.85 
2996628.00   12894        0        12894      37106        0        37106       6680        0         6680       3710      0.8571     0.8571     0.0000     0.0000      0.46    3776.3155    0.0000   3776.3155  21093.8428   0.0000   21093.8428  65449.85 
3022461.00   13101        0        13101      36899        0        36899       7517        0         7517       3689      0.8609     0.8609     0.0000     0.0000      0.46    4258.4665    0.0000   4258.4665  20946.6514   0.0000   20946.6514  65449.85 
3048294.00   13016        0        13016      36984        0        36984       9942        0         9942       4109      0.8629     0.8629     0.0000     0.0000      0.46    5621.2892    0.0000   5621.2892  20995.6784   0.0000   20995.6784  65449.85 
3074127.00   12912        0        12912      37088        0        37088       7974        0         7974       3708      0.8609     0.8609     0.0000     0.0000      0.46    4526.9603    0.0000   4526.9603  21075.6219   0.0000   21075.6219  65449.85 
3099960.00   12920        0        12920      37080        0        37080       7997        0         7997       3708      0.8635     0.8635     0.0000     0.0000      0.46    4549.4308    0.0000   4549.4308  21060.8504   0.0000   21060.8504  65449.85 
3125793.00   12972        0        12972      37028        0        37028       7951        0         7951       3702      0.8550     0.8550     0.0000     0.0000      0.46    4523.2507    0.0000   4523.2507  21042.6521   0.0000   21042.6521  65449.85 
3151626.00   13092        0        13092      36908        0        36908       8337        0         8337       4100      0.8624     0.8624     0.0000     0.0000      0.46    4730.9213    0.0000   4730.9213  20958.7559   0.0000   20958.7559  65449.85 
3177459.00   13019        0        13019      36981        0        36981       7854        0         7854       3698      0.8615     0.8615     0.0000     0.0000      0.46    4464.2311    0.0000   4464.2311  20984.8931   0.0000   20984.8931  65449.85 
3203292.00   12890        0        12890      37110        0        37110       8434        0         8434       3711      0.8540     0.8540     0.0000     0.0000      0.46    4786.2569    0.0000   4786.2569  21043.3466   0.0000   21043.3466  65449.85 
3229125.00   12865        0        12865      37135        0        37135       8518        0         8518       4126      0.8665     0.8665     0.0000     0.0000      0.46    4842.8787    0.0000   4842.8787  21078.8919   0.0000   21078.8919  65449.85 
3254958.00   12904        0        12904      37096        0        37096       7812        0         7812       3709      0.8642     0.8642     0.0000     0.0000      0.46    4419.5839    0.0000   4419.5839  21043.0660   0.0000   21043.0660  65449.85 
3280791.00   12921        0        12921      37079        0        37079       7771        0         7771       3707      0.8639     0.8639     0.0000     0.0000      0.46    4383.4719    0.0000   4383.4719  21019.4813   0.0000   21019.4813  65449.85 
3306624.00   12979        0        12979      37021        0        37021       8356        0         8356       4113      0.8647     0.8647     0.0000     0.0000      0.46    4722.0673    0.0000   4722.0673  20986.2159   0.0000   20986.2159  65449.85 
3332457.00   13007        0        13007      36993        0        36993      12396        0        12396       4624      0.8631     0.8631     0.0000     0.0000      0.46    7004.5638    0.0000   7004.5638  20976.6166   0.0000   20976.6166  65449.85 
3358290.00   12945        0        12945      37055        0        37055       8420        0         8420       4117      0.8587     0.8587     0.0000     0.0000      0.46    4769.3228    0.0000   4769.3228  21025.8552   0.0000   21025.8552  65449.85 
3384123.00   12891        0        12891      37109        0        37109       8437        0         8437       4123      0.8566     0.8566     0.0000     0.0000      0.46    4780.8237    0.0000   4780.8237  21059.5255   0.0000   21059.5255  65449.85 
3409956.00   12780        0        12780      37220        0        37220       8478        0         8478       4135      0.8680     0.8680     0.0000     0.0000      0.46    4816.4122    0.0000   4816.4122  21146.5001   0.0000   21146.5001  65449.85 
3435789.00   12829        0        12829      37171        0        37171       8459        0         8459       4130      0.8528     0.8528     0.0000     0.0000      0.46    4811.5852    0.0000   4811.5852  21122.2519   0.0000   21122.2519  65449.85 
3461622.00   12881        0        12881      37119        0        37119       8469        0         8469       3711      0.8729     0.8729     0.0000     0.0000      0.46    4809.3970    0.0000   4809.3970  21068.5893   0.0000   21068.5893  65449.85 
3487455.00   12953        0        12953      37047        0        37047       8506        0         8506       4116      0.8667     0.8667     0.0000     0.0000      0.46    4835.5529    0.0000   4835.5529  21029.7087   0.0000   21029.7087  65449.85 
3513288.00   12862        0        12862      37138        0        37138       7985        0         7985       3713      0.8690     0.8690     0.0000     0.0000      0.46    4511.7060    0.0000   4511.7060  21088.0230   0.0000   21088.0230  65449.85 
3539121.00   12849        0        12849      37151        0        37151       5646        0         5646       3377      0.8652     0.8652     0.0000     0.0000      0.46    3176.0812    0.0000   3176.0812  21075.4958   0.0000   21075.4958  65449.85 
3564954.00   12851        0        12851      37149        0        37149       5624        0         5624       3377      0.8574     0.8574     0.0000     0.0000      0.46    3161.2745    0.0000   3161.2745  21076.5875   0.0000   21076.5875  65449.85 
3590787.00   12705        0        12705      37295        0        37295       5641        0         5641       3390      0.8652     0.8652     0.0000     0.0000      0.46    3168.7045    0.0000   3168.7045  21175.3243   0.0000   21175.3243  65449.85 
