           tauB                     NinLC                      phiL          
          29.70                     71970                    0.23013                   1.99176         
          29.80                     71526                    0.23381                   2.00099         
          29.90                     71054                    0.23658                   2.01059         
          30.00                     70818                    0.23813                   2.01729         
          30.10                     70918                    0.23724                   2.01818         
          30.20                     71074                    0.23599                   2.01429         
          30.30                     71280                    0.23482                   2.00796         
          30.40                     71460                    0.23385                   2.00095         
          30.50                     71468                    0.23453                   1.99550         
          30.60                     71580                    0.23364                   1.99092         
          30.70                     71477                    0.23547                   1.99201         
          30.80                     71627                    0.23399                   1.98968         
          30.90                     71563                    0.23444                   1.99265         
          31.00                     71419                    0.23473                   1.99316         
          31.10                     71364                    0.23450                   1.99398         
          31.20                     71154                    0.23515                   2.00404         
          31.30                     71052                    0.23611                   2.00851         
          31.40                     71321                    0.23406                   2.00400         
          31.50                     71265                    0.23560                   2.00102         
          31.60                     71205                    0.23600                   2.00239         
          31.70                     71028                    0.23678                   2.00712         
          31.80                     70920                    0.23755                   2.00649         
          31.90                     70980                    0.23637                   2.00885         
          32.00                     71324                    0.23412                   2.00604         
          32.10                     71613                    0.23261                   2.00252         
          32.20                     71705                    0.23291                   1.99736         
          32.30                     71670                    0.23212                   1.99880         
          32.40                     71744                    0.23340                   1.99658         
          32.50                     71983                    0.23107                   1.99659         
          32.60                     72203                    0.22909                   1.99761         
          32.70                     72174                    0.22958                   1.99622         
          32.80                     72216                    0.22915                   1.99817         
          32.90                     72466                    0.22661                   1.99739         
          33.00                     72616                    0.22634                   1.99592         
          33.10                     72652                    0.22693                   1.99631         
          33.20                     72526                    0.22726                   2.00109         
          33.30                     72413                    0.22802                   2.00207         
          33.40                     72102                    0.23079                   2.00547         
          33.50                     71820                    0.23120                   2.00934         
          33.60                     71713                    0.23127                   2.01303         
          33.70                     71747                    0.23149                   2.01471         
          33.80                     72046                    0.22963                   2.00537         
          33.90                     72024                    0.23087                   2.00654         
          34.00                     71830                    0.23144                   2.00852         
          34.10                     71876                    0.23118                   2.00684         
          34.20                     71791                    0.23041                   2.00959         
          34.30                     71748                    0.23079                   2.01495         
          34.40                     71643                    0.23224                   2.01920         
          34.50                     71795                    0.23131                   2.01925         
          34.60                     72052                    0.23029                   2.01634         
          34.70                     72291                    0.22819                   2.00588         
          34.80                     72292                    0.22746                   2.00345         
          34.90                     72345                    0.22821                   1.99712         
          35.00                     72205                    0.22862                   2.00168         
          35.10                     72221                    0.22926                   1.99992         
          35.20                     72250                    0.22894                   1.99778         
          35.30                     72209                    0.22846                   2.00095         
          35.40                     72304                    0.22793                   2.00147         
          35.50                     72094                    0.22927                   2.00349         
          35.60                     72128                    0.22953                   2.00278         
          35.70                     72156                    0.22899                   1.99520         
          35.80                     72016                    0.23024                   1.99801         
          35.90                     71852                    0.23052                   2.00268         
          36.00                     71864                    0.23046                   2.00402         
          36.10                     71800                    0.23113                   2.00097         
          36.20                     71803                    0.23150                   2.00194         
          36.30                     71845                    0.23075                   2.00326         
          36.40                     71834                    0.23050                   2.00831         
          36.50                     72018                    0.22934                   2.00914         
          36.60                     72087                    0.22891                   2.00749         
          36.70                     72089                    0.22877                   2.01155         
          36.80                     72320                    0.22724                   2.01065         
          36.90                     72505                    0.22660                   2.00640         
          37.00                     72786                    0.22499                   2.00366         
          37.10                     72740                    0.22536                   2.00539         
          37.20                     72869                    0.22379                   2.00692         
          37.30                     73050                    0.22333                   2.01224         
          37.40                     73259                    0.22273                   2.00926         
          37.50                     73539                    0.21945                   2.00492         
          37.60                     73659                    0.22001                   2.00232         
          37.70                     73838                    0.21776                   1.99977         
          37.80                     73702                    0.21931                   1.99664         
          37.90                     73595                    0.22096                   1.99373         
          38.00                     73680                    0.21910                   1.99385         
          38.10                     73430                    0.22232                   1.99617         
          38.20                     73190                    0.22350                   1.99299         
          38.30                     72919                    0.22550                   1.99584         
          38.40                     72895                    0.22518                   1.99872         
          38.50                     73100                    0.22331                   1.99759         
          38.60                     73458                    0.22161                   1.98950         
          38.70                     73258                    0.22197                   1.98975         
          38.80                     73397                    0.22230                   1.98234         
          38.90                     73531                    0.22120                   1.98159         
          39.00                     73349                    0.22335                   1.98050         
