           tauB                     NinLC                      phiL          
          29.70                     61093                    0.19139                   1.32199         
          29.80                     61192                    0.18982                   1.31995         
          29.90                     61178                    0.19346                   1.31912         
          30.00                     61145                    0.19325                   1.31783         
          30.10                     61137                    0.19410                   1.31703         
          30.20                     61123                    0.19570                   1.31788         
          30.30                     61120                    0.19442                   1.31995         
          30.40                     61176                    0.19388                   1.32144         
          30.50                     61372                    0.19167                   1.32348         
          30.60                     61527                    0.19123                   1.32535         
          30.70                     61676                    0.19262                   1.32438         
          30.80                     61877                    0.19111                   1.32034         
          30.90                     61833                    0.19054                   1.31830         
          31.00                     61878                    0.19323                   1.31513         
          31.10                     61892                    0.19239                   1.31092         
          31.20                     61639                    0.19669                   1.31311         
          31.30                     61720                    0.19672                   1.31432         
          31.40                     61717                    0.19612                   1.31677         
          31.50                     61563                    0.19826                   1.32046         
          31.60                     61677                    0.19633                   1.31970         
          31.70                     61770                    0.19525                   1.31932         
          31.80                     62018                    0.19298                   1.31770         
          31.90                     62060                    0.19268                   1.31586         
          32.00                     62222                    0.19256                   1.31506         
          32.10                     62399                    0.19317                   1.31542         
          32.20                     62476                    0.19243                   1.31600         
          32.30                     62475                    0.19218                   1.31803         
          32.40                     62606                    0.19360                   1.31629         
          32.50                     62780                    0.19295                   1.31425         
          32.60                     62764                    0.19385                   1.31405         
          32.70                     62980                    0.19197                   1.30983         
          32.80                     62922                    0.19575                   1.30720         
          32.90                     62952                    0.19391                   1.30203         
          33.00                     62644                    0.19647                   1.30294         
          33.10                     62459                    0.19669                   1.30315         
          33.20                     62253                    0.19852                   1.30786         
          33.30                     62354                    0.19672                   1.31341         
          33.40                     62349                    0.19687                   1.31549         
          33.50                     62452                    0.19511                   1.31514         
          33.60                     62398                    0.19583                   1.31894         
          33.70                     62671                    0.19265                   1.31786         
          33.80                     62736                    0.19325                   1.31918         
          33.90                     62750                    0.19346                   1.31923         
          34.00                     62836                    0.19172                   1.31928         
          34.10                     62896                    0.19382                   1.32098         
          34.20                     63109                    0.18977                   1.31964         
          34.30                     63093                    0.19286                   1.32061         
          34.40                     63019                    0.19477                   1.32265         
          34.50                     63015                    0.19463                   1.32628         
          34.60                     63144                    0.19374                   1.32667         
          34.70                     63154                    0.19305                   1.32714         
          34.80                     63442                    0.19147                   1.32436         
          34.90                     63564                    0.19149                   1.32291         
          35.00                     63791                    0.19004                   1.32008         
          35.10                     64010                    0.18954                   1.31553         
          35.20                     63995                    0.19141                   1.31358         
          35.30                     63945                    0.19004                   1.31340         
          35.40                     63762                    0.19520                   1.31540         
          35.50                     63741                    0.19482                   1.31804         
          35.60                     63697                    0.19365                   1.32268         
          35.70                     63835                    0.19063                   1.32444         
          35.80                     63967                    0.18773                   1.32377         
          35.90                     63926                    0.18942                   1.32376         
          36.00                     64195                    0.18790                   1.32158         
          36.10                     64281                    0.18939                   1.32033         
          36.20                     64359                    0.18868                   1.31884         
          36.30                     64310                    0.19062                   1.32104         
          36.40                     64424                    0.18834                   1.32096         
          36.50                     64271                    0.19049                   1.32234         
          36.60                     64430                    0.19109                   1.32180         
          36.70                     64422                    0.19039                   1.32098         
          36.80                     64373                    0.19245                   1.31850         
          36.90                     64180                    0.19443                   1.32019         
          37.00                     64472                    0.19011                   1.31651         
          37.10                     64495                    0.19164                   1.31611         
          37.20                     64597                    0.18989                   1.31570         
          37.30                     64458                    0.19234                   1.31542         
          37.40                     64438                    0.19206                   1.31573         
          37.50                     64344                    0.19336                   1.32024         
          37.60                     64366                    0.19262                   1.32264         
          37.70                     64507                    0.19237                   1.32487         
          37.80                     64681                    0.19100                   1.32642         
          37.90                     64790                    0.19074                   1.32664         
          38.00                     65075                    0.18815                   1.32178         
          38.10                     65084                    0.19046                   1.31849         
          38.20                     65105                    0.19091                   1.31739         
          38.30                     65149                    0.18994                   1.31697         
          38.40                     65188                    0.19001                   1.31506         
          38.50                     65227                    0.18912                   1.31275         
          38.60                     65031                    0.19003                   1.31542         
          38.70                     65172                    0.18621                   1.31526         
          38.80                     64975                    0.18684                   1.31659         
          38.90                     64869                    0.18837                   1.31844         
          39.00                     64861                    0.18977                   1.31749         
          39.10                     64729                    0.19377                   1.31669         
          39.20                     64613                    0.19447                   1.31627         
          39.30                     64620                    0.19509                   1.31895         
