           tauB                     NinLC                      phiL          
          30.90                     48698                    0.57534                   0.62822         
          31.00                     44650                    0.57476                   0.63210         
          31.10                     52135                    0.57503                   0.63117         
          31.20                     24592                    0.57489                   0.64259         
          31.30                     38016                    0.57430                   0.63569         
          31.40                     55002                    0.57472                   0.63257         
          31.50                     44860                    0.57572                   0.63891         
          31.60                     46624                    0.57417                   0.63850         
          31.70                     20152                    0.57180                   0.64295         
          31.80                     41792                    0.57271                   0.63943         
          31.90                     51876                    0.57277                   0.63271         
          32.00                     57556                    0.57358                   0.63195         
          32.10                     45584                    0.57395                   0.63733         
          32.20                     52799                    0.57272                   0.63273         
          32.30                     26345                    0.57211                   0.63384         
          32.40                     40998                    0.57373                   0.63982         
          32.50                     42210                    0.57450                   0.63845         
          32.60                     47049                    0.57668                   0.63559         
          32.70                     56455                    0.57457                   0.62887         
          32.80                     50639                    0.57415                   0.63136         
          32.90                     44102                    0.57562                   0.63733         
          33.00                     37947                    0.57514                   0.63773         
          33.10                     43893                    0.57629                   0.63139         
          33.20                     54055                    0.57324                   0.62997         
          33.30                     48533                    0.57451                   0.63470         
          33.40                     15426                    0.57583                   0.63218         
          33.50                     40073                    0.57401                   0.63286         
          33.60                     31724                    0.57658                   0.63907         
          33.70                     50570                    0.57740                   0.62816         
          33.80                     29483                    0.57749                   0.62772         
          33.90                     20947                    0.57857                   0.63376         
          34.00                     20015                    0.57437                   0.63326         
          34.10                     27890                    0.57662                   0.62658         
          34.20                     56440                    0.57835                   0.62551         
          34.30                     27442                    0.57841                   0.63217         
          34.40                     47376                    0.57722                   0.63228         
          34.50                     49249                    0.57838                   0.62959         
          34.60                     16424                    0.57633                   0.63435         
          34.70                     25205                    0.57703                   0.62947         
          34.80                     43691                    0.57785                   0.62261         
          34.90                     51810                    0.57789                   0.62740         
          35.00                     33794                    0.57566                   0.63079         
          35.10                     44441                    0.57886                   0.62718         
          35.20                     20599                    0.57936                   0.63093         
          35.30                     49687                    0.57610                   0.62438         
          35.40                     41671                    0.57944                   0.62625         
          35.50                     43649                    0.57697                   0.62795         
          35.60                     47471                    0.57808                   0.62918         
          35.70                     51448                    0.57683                   0.62874         
          35.80                     44471                    0.57576                   0.63157         
          35.90                     44613                    0.57673                   0.63027         
          36.00                     47281                    0.57614                   0.63082         
          36.10                     47584                    0.57602                   0.63069         
          36.20                     40376                    0.57819                   0.63207         
          36.30                     19872                    0.57581                   0.63678         
          36.40                     51890                    0.57684                   0.62622         
          36.50                     51099                    0.57991                   0.62664         
          36.60                     32993                    0.58158                   0.62148         
          36.70                     36913                    0.58138                   0.62817         
          36.80                     36649                    0.57692                   0.62476         
          36.90                     45029                    0.57718                   0.62947         
          37.00                     30095                    0.58072                   0.63359         
          37.10                     53745                    0.57901                   0.62750         
          37.20                     47048                    0.58146                   0.62345         
          37.30                     48375                    0.57937                   0.62942         
          37.40                     15166                    0.57937                   0.63494         
          37.50                     45719                    0.57830                   0.62758         
          37.60                     36196                    0.57816                   0.62700         
          37.70                     19236                    0.57910                   0.62463         
          37.80                     33125                    0.57925                   0.63028         
          37.90                     44914                    0.57895                   0.63301         
          38.00                     39318                    0.57661                   0.62991         
          38.10                     46780                    0.57924                   0.63042         
          38.20                     52572                    0.57806                   0.63046         
          38.30                     21569                    0.57781                   0.63270         
          38.40                     29278                    0.57909                   0.63342         
          38.50                     49551                    0.57789                   0.63017         
          38.60                     34917                    0.57728                   0.62804         
          38.70                     55663                    0.57976                   0.62668         
          38.80                     45023                    0.57922                   0.62737         
          38.90                     46712                    0.58052                   0.62707         
          39.00                     41250                    0.57903                   0.63021         
          39.10                     36513                    0.57945                   0.62904         
          39.20                     50230                    0.58230                   0.62483         
          39.30                     20456                    0.57925                   0.62891         
          39.40                     59467                    0.57990                   0.62221         
          39.50                     47923                    0.57835                   0.62525         
          39.60                     41008                    0.57827                   0.62657         
          39.70                     38721                    0.57915                   0.62602         
          39.80                     52075                    0.57874                   0.62548         
          39.90                     30467                    0.57761                   0.62886         
          40.00                     52991                    0.57792                   0.62506         
          40.10                     26849                    0.57804                   0.61924         
          40.20                     54718                    0.57944                   0.62698         
          40.30                     44952                    0.58031                   0.62653         
          40.40                     51097                    0.57823                   0.62847         
          40.50                     50736                    0.58006                   0.62551         
          40.60                     20653                    0.57946                   0.62647         
          40.70                     24023                    0.57668                   0.63554         
