 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  11.300        13089.988           1975030.011            150.881               0.000                0.000                0.000                0.000                 0.0                  2275        
  11.400        13089.988           1955709.033            149.405               0.000                0.000                0.000                0.000                 0.0                  2370        
  11.500        13089.988           1965132.420            150.125               0.000                0.000                0.000                0.000                 0.0                  2916        
  11.600        13089.988           1997947.161            152.632               0.000                0.000                0.000                0.000                 0.0                  2424        
  11.700        13089.988           1984798.882            151.627               0.000                0.000                0.000                0.000                 0.0                  1910        
  11.800        13089.988           2071224.884            158.230               0.000                0.000                0.000                0.000                 0.0                  997         
  11.900        13089.988           1956642.424            149.476               0.000                0.000                0.000                0.000                 0.0                  2590        
  12.000        13089.988           1985584.783            151.687               0.000                0.000                0.000                0.000                 0.0                  2621        
  12.100        13089.988           1917098.634            146.455               0.000                0.000                0.000                0.000                 0.0                  1773        
  12.200        13089.988           1965455.135            150.149               0.000                0.000                0.000                0.000                 0.0                  1397        
  12.300        13089.988           2028810.987            154.990               0.000                0.000                0.000                0.000                 0.0                  997         
  12.400        13089.988           1954253.596            149.294               0.000                0.000                0.000                0.000                 0.0                  1829        
  12.500        13089.988           1978600.866            151.154               0.000                0.000                0.000                0.000                 0.0                  1494        
  12.600        13089.988           1979202.488            151.200               0.000                0.000                0.000                0.000                 0.0                  3505        
  12.700        13089.988           1983556.931            151.532               0.000                0.000                0.000                0.000                 0.0                  2571        
  12.800        13089.988           1994933.015            152.401               0.000                0.000                0.000                0.000                 0.0                  1544        
  12.900        13089.988           2005926.786            153.241               0.000                0.000                0.000                0.000                 0.0                  4758        
  13.000        13089.988           1949114.895            148.901               0.000                0.000                0.000                0.000                 0.0                  3069        
  13.100        13089.988           1992119.366            152.186               0.000                0.000                0.000                0.000                 0.0                  3978        
  13.200        13089.988           2070872.255            158.203               0.000                0.000                0.000                0.000                 0.0                  4528        
  13.300        13089.988           2017278.805            154.109               0.000                0.000                0.000                0.000                 0.0                  1807        
  13.400        13089.988           2037240.411            155.633               0.000                0.000                0.000                0.000                 0.0                  2187        
  13.500        13089.988           2033392.501            155.340               0.000                0.000                0.000                0.000                 0.0                  3094        
  13.600        13089.988           1994447.348            152.364               0.000                0.000                0.000                0.000                 0.0                  2691        
  13.700        13089.988           2017839.463            154.151               0.000                0.000                0.000                0.000                 0.0                  1952        
  13.800        13089.988           2048990.371            156.531               0.000                0.000                0.000                0.000                 0.0                  2669        
  13.900        13089.988           2019380.892            154.269               0.000                0.000                0.000                0.000                 0.0                  2464        
  14.000        13089.988           1984738.965            151.623               0.000                0.000                0.000                0.000                 0.0                  2128        
  14.100        13089.988           1978292.743            151.130               0.000                0.000                0.000                0.000                 0.0                  1645        
  14.200        13089.988           2078202.371            158.763               0.000                0.000                0.000                0.000                 0.0                  2633        
  14.300        13089.988           1983682.588            151.542               0.000                0.000                0.000                0.000                 0.0                  2914        
  14.400        13089.988           1960933.657            149.804               0.000                0.000                0.000                0.000                 0.0                  1673        
  14.500        13089.988           1963734.931            150.018               0.000                0.000                0.000                0.000                 0.0                  3013        
  14.600        13089.988           2030933.466            155.152               0.000                0.000                0.000                0.000                 0.0                  3262        
  14.700        13089.988           2058699.000            157.273               0.000                0.000                0.000                0.000                 0.0                  3718        
  14.800        13089.988           2005297.998            153.193               0.000                0.000                0.000                0.000                 0.0                  2481        
  14.900        13089.988           1957473.007            149.540               0.000                0.000                0.000                0.000                 0.0                  2991        
  15.000        13089.988           1934148.089            147.758               0.000                0.000                0.000                0.000                 0.0                  4104        
  15.100        13089.988           2006701.821            153.301               0.000                0.000                0.000                0.000                 0.0                  1323        
  15.200        13089.988           1913524.478            146.182               0.000                0.000                0.000                0.000                 0.0                  2258        
  15.300        13089.988           1935127.890            147.833               0.000                0.000                0.000                0.000                 0.0                  2205        
  15.400        13089.988           1995838.586            152.471               0.000                0.000                0.000                0.000                 0.0                  1699        
  15.500        13089.988           1999762.258            152.770               0.000                0.000                0.000                0.000                 0.0                  1728        
  15.600        13089.988           1925838.735            147.123               0.000                0.000                0.000                0.000                 0.0                  2680        
  15.700        13089.988           2061411.550            157.480               0.000                0.000                0.000                0.000                 0.0                  1566        
  15.800        13089.988           2085442.285            159.316               0.000                0.000                0.000                0.000                 0.0                  4238        
  15.900        13089.988           1973083.004            150.732               0.000                0.000                0.000                0.000                 0.0                  1892        
  16.000        13089.988           2076476.692            158.631               0.000                0.000                0.000                0.000                 0.0                  1405        
  16.100        13089.988           2003738.853            153.074               0.000                0.000                0.000                0.000                 0.0                  2759        
  16.200        13089.988           2010234.937            153.570               0.000                0.000                0.000                0.000                 0.0                  3866        
  16.300        13089.988           2003306.067            153.041               0.000                0.000                0.000                0.000                 0.0                  2669        
  16.400        13089.988           2088585.776            159.556               0.000                0.000                0.000                0.000                 0.0                  2986        
  16.500        13089.988           1994802.752            152.391               0.000                0.000                0.000                0.000                 0.0                  3207        
  16.600        13089.988           1927251.503            147.231               0.000                0.000                0.000                0.000                 0.0                  1470        
  16.700        13089.988           1972926.817            150.720               0.000                0.000                0.000                0.000                 0.0                  1735        
  16.800        13089.988           1983060.700            151.494               0.000                0.000                0.000                0.000                 0.0                  1446        
  16.900        13089.988           1967867.740            150.334               0.000                0.000                0.000                0.000                 0.0                  2962        
  17.000        13089.988           1997981.824            152.634               0.000                0.000                0.000                0.000                 0.0                  1542        
  17.100        13089.988           2016285.123            154.033               0.000                0.000                0.000                0.000                 0.0                  2615        
  17.200        13089.988           1923896.374            146.975               0.000                0.000                0.000                0.000                 0.0                  2240        
  17.300        13089.988           1955653.711            149.401               0.000                0.000                0.000                0.000                 0.0                  4004        
  17.400        13089.988           2026039.393            154.778               0.000                0.000                0.000                0.000                 0.0                  2465        
  17.500        13089.988           2044421.678            156.182               0.000                0.000                0.000                0.000                 0.0                  1323        
  17.600        13089.988           1974185.874            150.816               0.000                0.000                0.000                0.000                 0.0                  790         
  17.700        13089.988           1923295.533            146.929               0.000                0.000                0.000                0.000                 0.0                  1251        
  17.800        13089.988           1971503.748            150.612               0.000                0.000                0.000                0.000                 0.0                  2954        
  17.900        13089.988           1979732.035            151.240               0.000                0.000                0.000                0.000                 0.0                  1400        
  18.000        13089.988           1912050.473            146.070               0.000                0.000                0.000                0.000                 0.0                  1754        
  18.100        13089.988           1984458.709            151.601               0.000                0.000                0.000                0.000                 0.0                  2521        
  18.200        13089.988           2030996.066            155.156               0.000                0.000                0.000                0.000                 0.0                  1261        
  18.300        13089.988           1976169.684            150.968               0.000                0.000                0.000                0.000                 0.0                  3735        
  18.400        13089.988           1927553.637            147.254               0.000                0.000                0.000                0.000                 0.0                  2559        
  18.500        13089.988           2045080.626            156.232               0.000                0.000                0.000                0.000                 0.0                  2589        
  18.600        13089.988           1953318.595            149.222               0.000                0.000                0.000                0.000                 0.0                  2126        
  18.700        13089.988           1996951.953            152.556               0.000                0.000                0.000                0.000                 0.0                  2366        
  18.800        13089.988           1992097.439            152.185               0.000                0.000                0.000                0.000                 0.0                  2019        
  18.900        13089.988           2006475.098            153.283               0.000                0.000                0.000                0.000                 0.0                  2528        
  19.000        13089.988           2056011.350            157.067               0.000                0.000                0.000                0.000                 0.0                  1395        
  19.100        13089.988           1965284.761            150.136               0.000                0.000                0.000                0.000                 0.0                  2188        
  19.200        13089.988           1946140.257            148.674               0.000                0.000                0.000                0.000                 0.0                  2188        
  19.300         5588.364            522952.754             93.579              763.508             397307.433            520.371             832042.836             1949.5                5348        
  19.400        13089.988           1961129.793            149.819               0.000                0.000                0.000                0.000                 0.0                  3874        
  19.500        13089.988           1948700.287            148.870               0.000                0.000                0.000                0.000                 0.0                  2489        
  19.600        13089.988           1969390.361            150.450               0.000                0.000                0.000                0.000                 0.0                  3031        
  19.700        13089.988           2059113.883            157.304               0.000                0.000                0.000                0.000                 0.0                  2403        
  19.800        13089.988           2069168.083            158.073               0.000                0.000                0.000                0.000                 0.0                  2147        
  19.900        13089.988           2032384.314            155.262               0.000                0.000                0.000                0.000                 0.0                  3227        
  20.000        13089.988           1936214.578            147.916               0.000                0.000                0.000                0.000                 0.0                  4415        
  20.100        13089.988           1964485.368            150.075               0.000                0.000                0.000                0.000                 0.0                  3814        
  20.200        13089.988           2042530.289            156.038               0.000                0.000                0.000                0.000                 0.0                  2175        
  20.300        13089.988           1983871.106            151.556               0.000                0.000                0.000                0.000                 0.0                  1781        
  20.400        13089.988           1976193.237            150.970               0.000                0.000                0.000                0.000                 0.0                  2481        
  20.500        13089.988           1971388.355            150.603               0.000                0.000                0.000                0.000                 0.0                  1951        
  20.600        13089.988           1976762.402            151.013               0.000                0.000                0.000                0.000                 0.0                  4281        
  20.700        13089.988           2025887.422            154.766               0.000                0.000                0.000                0.000                 0.0                  4914        
  20.800        13089.988           2025436.282            154.732               0.000                0.000                0.000                0.000                 0.0                  3897        
  20.900        13089.988           2048838.981            156.520               0.000                0.000                0.000                0.000                 0.0                  2882        
  21.000        13089.988           1975629.725            150.927               0.000                0.000                0.000                0.000                 0.0                  2421        
  21.100        13089.988           1990761.204            152.083               0.000                0.000                0.000                0.000                 0.0                  3681        
  21.200        13089.988           1958600.898            149.626               0.000                0.000                0.000                0.000                 0.0                  2628        
  21.300        13089.988           1991093.481            152.108               0.000                0.000                0.000                0.000                 0.0                  1425        
  21.400        13089.988           2042015.808            155.998               0.000                0.000                0.000                0.000                 0.0                  2015        
  21.500        13089.988           1981734.275            151.393               0.000                0.000                0.000                0.000                 0.0                  2046        
  21.600        13089.988           2071820.990            158.275               0.000                0.000                0.000                0.000                 0.0                  2629        
  21.700        13089.988           1988261.344            151.892               0.000                0.000                0.000                0.000                 0.0                  2693        
  21.800        13089.988           2109166.580            161.128               0.000                0.000                0.000                0.000                 0.0                  2935        
  21.900        13089.988           2128394.502            162.597               0.000                0.000                0.000                0.000                 0.0                  3399        
  22.000        13089.988           2084288.246            159.228               0.000                0.000                0.000                0.000                 0.0                  2747        
  22.100        13089.988           2090160.907            159.676               0.000                0.000                0.000                0.000                 0.0                  3958        
  22.200        13089.988           2106535.052            160.927               0.000                0.000                0.000                0.000                 0.0                  4517        
  22.300        13089.988           2077859.976            158.737               0.000                0.000                0.000                0.000                 0.0                  2945        
