             tauB                            r                             g(r)             
           100.000                         2.361                          1.740             
           100.000                         2.367                          1.816             
           100.000                         2.372                          1.891             
           100.000                         2.377                          1.948             
           100.000                         2.382                          2.007             
           100.000                         2.388                          2.016             
           100.000                         2.393                          2.061             
           100.000                         2.398                          2.147             
           100.000                         2.403                          2.148             
           100.000                         2.409                          2.165             
           100.000                         2.414                          2.146             
           100.000                         2.419                          2.236             
           100.000                         2.424                          2.236             
           100.000                         2.430                          2.248             
           100.000                         2.435                          2.309             
           100.000                         2.440                          2.389             
           100.000                         2.445                          2.369             
           100.000                         2.451                          2.446             
           100.000                         2.456                          2.467             
           100.000                         2.461                          2.582             
           100.000                         2.466                          2.678             
           100.000                         2.472                          2.730             
           100.000                         2.477                          2.817             
           100.000                         2.482                          2.969             
           100.000                         2.487                          3.032             
           100.000                         2.492                          3.159             
           100.000                         2.498                          3.248             
           100.000                         2.503                          3.337             
           100.000                         2.508                          3.384             
           100.000                         2.513                          3.488             
           100.000                         2.519                          3.539             
           100.000                         2.524                          3.610             
           100.000                         2.529                          3.531             
           100.000                         2.534                          3.695             
           100.000                         2.540                          3.630             
           100.000                         2.545                          3.733             
           100.000                         2.550                          3.602             
           100.000                         2.555                          3.574             
           100.000                         2.561                          3.460             
           100.000                         2.566                          3.392             
           100.000                         2.571                          3.337             
           100.000                         2.576                          3.296             
           100.000                         2.582                          3.236             
           100.000                         2.587                          3.205             
           100.000                         2.592                          3.152             
           100.000                         2.597                          3.063             
           100.000                         2.603                          3.047             
           100.000                         2.608                          3.020             
           100.000                         2.613                          2.980             
           100.000                         2.618                          2.956             
           100.000                         2.623                          2.943             
           100.000                         2.629                          2.983             
           100.000                         2.634                          2.976             
           100.000                         2.639                          3.058             
           100.000                         2.644                          3.015             
           100.000                         2.650                          3.068             
           100.000                         2.655                          3.031             
           100.000                         2.660                          3.014             
           100.000                         2.665                          3.081             
           100.000                         2.671                          3.070             
           100.000                         2.676                          3.003             
           100.000                         2.681                          2.973             
           100.000                         2.686                          2.869             
           100.000                         2.692                          2.825             
           100.000                         2.697                          2.745             
           100.000                         2.702                          2.716             
           100.000                         2.707                          2.658             
           100.000                         2.713                          2.582             
           100.000                         2.718                          2.487             
           100.000                         2.723                          2.417             
           100.000                         2.728                          2.354             
           100.000                         2.734                          2.274             
           100.000                         2.739                          2.177             
           100.000                         2.744                          2.097             
           100.000                         2.749                          2.038             
           100.000                         2.755                          1.985             
           100.000                         2.760                          1.842             
           100.000                         2.765                          1.847             
           100.000                         2.770                          1.735             
           100.000                         2.775                          1.733             
           100.000                         2.781                          1.693             
           100.000                         2.786                          1.718             
           100.000                         2.791                          1.660             
           100.000                         2.796                          1.658             
           100.000                         2.802                          1.670             
           100.000                         2.807                          1.677             
           100.000                         2.812                          1.717             
           100.000                         2.817                          1.757             
           100.000                         2.823                          1.788             
           100.000                         2.828                          1.849             
           100.000                         2.833                          1.918             
           100.000                         2.838                          1.984             
           100.000                         2.844                          2.029             
           100.000                         2.849                          2.193             
           100.000                         2.854                          2.194             
           100.000                         2.859                          2.337             
           100.000                         2.865                          2.429             
           100.000                         2.870                          2.536             
           100.000                         2.875                          2.698             
           100.000                         2.880                          2.719             
           100.000                         2.886                          2.808             
           100.000                         2.891                          2.917             
           100.000                         2.896                          3.028             
           100.000                         2.901                          3.079             
           100.000                         2.907                          3.180             
           100.000                         2.912                          3.268             
           100.000                         2.917                          3.344             
           100.000                         2.922                          3.361             
           100.000                         2.927                          3.383             
           100.000                         2.933                          3.388             
           100.000                         2.938                          3.426             
           100.000                         2.943                          3.502             
           100.000                         2.948                          3.522             
           100.000                         2.954                          3.571             
           100.000                         2.959                          3.527             
           100.000                         2.964                          3.575             
           100.000                         2.969                          3.600             
           100.000                         2.975                          3.545             
           100.000                         2.980                          3.525             
           100.000                         2.985                          3.501             
           100.000                         2.990                          3.493             
           100.000                         2.996                          3.359             
