           tauB                     NinLC                      phiL          
          13.80                     32499                    1.14580         
          13.90                     32250                    1.14952         
          14.00                     30952                    1.16837         
          14.10                     31685                    1.15718         
          14.20                     31829                    1.14987         
          14.30                     31128                    1.16077         
          14.40                     34089                    1.10878         
          14.50                     31251                    1.15411         
          14.60                     32644                    1.12602         
          14.70                     33793                    1.10323         
          14.80                     34998                    1.08249         
          14.90                     33473                    1.10526         
          15.00                     34872                    1.08296         
          15.10                     33218                    1.10403         
          15.20                     34064                    1.08930         
          15.30                     34722                    1.07840         
          15.40                     35231                    1.06646         
          15.50                     29627                    1.15173         
          15.60                     34782                    1.06641         
          15.70                     37266                    1.03291         
          15.80                     33959                    1.06945         
          15.90                     34139                    1.06724         
          16.00                     35969                    1.04334         
          16.10                     38115                    1.01547         
          16.20                     36013                    1.04009         
          16.30                     36594                    1.03483         
          16.40                     30566                    1.12291         
          16.50                     33162                    1.08305         
          16.60                     36486                    1.03620         
          16.70                     30775                    1.11615         
          16.80                     35178                    1.04945         
          16.90                     34534                    1.05838         
          17.00                     29742                    1.13088         
          17.10                     30137                    1.12204         
          17.20                     30164                    1.12553         
          17.30                     27648                    1.17167         
          17.40                     33360                    1.07158         
          17.50                     33102                    1.07571         
          17.60                     29259                    1.13279         
          17.70                     26049                    1.19432         
          17.80                     36282                    1.02560         
          17.90                     29002                    1.12898         
          18.00                     32248                    1.07676         
          18.10                     34879                    1.03720         
          18.20                     32616                    1.06012         
          18.30                     31323                    1.08538         
          18.40                     33509                    1.04959         
          18.50                     31563                    1.07424         
          18.60                     28902                    1.11152         
          18.70                     35440                    1.01423         
          18.80                     31022                    1.07519         
          18.90                     29432                    1.09536         
          19.00                     27279                    1.13251         
          19.10                     31460                    1.05935         
          19.20                     31863                    1.05277         
          19.30                     29081                    1.09177         
          19.40                     29553                    1.08352         
          19.50                     31671                    1.05228         
          19.60                     33601                    1.02582         
          19.70                     36882                    0.98551         
          19.80                     36810                    0.98953         
          19.90                     31140                    1.06223         
          20.00                     29114                    1.09089         
          20.10                     33211                    1.02678         
          20.20                     31895                    1.04024         
          20.30                     30821                    1.05051         
          20.40                     32536                    1.02325         
          20.50                     32741                    1.01836         
          20.60                     29512                    1.06125         
          20.70                     29916                    1.04842         
          20.80                     35259                    0.97466         
          20.90                     36384                    0.95932         
          21.00                     34755                    0.97213         
          21.10                     32167                    1.00199         
          21.20                     34705                    0.96871         
          21.30                     30442                    1.01536         
          21.40                     31252                    0.99579         
          21.50                     33450                    0.96622         
          21.60                     27475                    1.03903         
          21.70                     38755                    0.91166         
          21.80                     31183                    0.98344         
          21.90                     38266                    0.91727         
          22.00                     38850                    0.91216         
          22.10                     30629                    0.98427         
          22.20                     33952                    0.95167         
          22.30                     35978                    0.93415         
          22.40                     27120                    1.03595         
          22.50                     29422                    1.00001         
          22.60                     29030                    1.00221         
          22.70                     32777                    0.95401         
          22.80                     25739                    1.04560         
          22.90                     31422                    0.97180         
          23.00                     36106                    0.92382         
          23.10                     36751                    0.91709         
          23.20                     30266                    0.98352         
          23.30                     32965                    0.95473         
          23.40                     34554                    0.93013         
          23.50                     29398                    0.98421         
          23.60                     26997                    1.02022         
          23.70                     34172                    0.92476         
          23.80                     29344                    0.97972         
          23.90                     35570                    0.91549         
          24.00                     25765                    1.03227         
          24.10                     33637                    0.93676         
          24.20                     32188                    0.95345         
          24.30                     31659                    0.95484         
          24.40                     29809                    0.97640         
          24.50                     26139                    1.02540         
          24.60                     29369                    0.98169         
          24.70                     29322                    0.98020         
          24.80                     28453                    0.99024         
          24.90                     35916                    0.90722         
          25.00                     31606                    0.94803         
          25.10                     28089                    0.99595         
          25.20                     29459                    0.97770         
          25.30                     28117                    0.99821         
          25.40                     36876                    0.90012         
          25.50                     26329                    1.01587         
          25.60                     23691                    1.06744         
          25.70                     35700                    0.90823         
          25.80                     25227                    1.03539         
          25.90                     32753                    0.93811         
          26.00                     35023                    0.91290         
          26.10                     27771                    0.98878         
          26.20                     28231                    0.97757         
          26.30                     33800                    0.91381         
          26.40                     27031                    0.98515         
          26.50                     40965                    0.85435         
          26.60                     31529                    0.92735         
          26.70                     38547                    0.86660         
          26.80                     39106                    0.85817         
          26.90                     30874                    0.92853         
          27.00                     27309                    0.95553         
          27.10                     25005                    0.99121         
          27.20                     36699                    0.86952         
          27.30                     24267                    1.00072         
          27.40                     31304                    0.91146         
          27.50                     31823                    0.91173         
          27.60                     35520                    0.88036         
          27.70                     29270                    0.93834         
          27.80                     26487                    0.96569         
          27.90                     27544                    0.95581         
          28.00                     28253                    0.94695         
          28.10                     27820                    0.94978         
          28.20                     34917                    0.88131         
          28.30                     32440                    0.90088         
          28.40                     32699                    0.90004         
          28.50                     32887                    0.89868         
          28.60                     22971                    1.02381         
          28.70                     26195                    0.96925         
          28.80                     31138                    0.91084         
          28.90                     26380                    0.96345         
          29.00                     28895                    0.93014         
          29.10                     33215                    0.88401         
          29.20                     31179                    0.90672         
          29.30                     23196                    1.00580         
          29.40                     25091                    0.97563         
          29.50                     27536                    0.94205         
          29.60                     29442                    0.91612         
          29.70                     32832                    0.88001         
          29.80                     29188                    0.92235         
          29.90                     27911                    0.93176         
          30.00                     22964                    0.99947         
          30.10                     30868                    0.89577         
          30.20                     27614                    0.93749         
          30.30                     27416                    0.94292         
          30.40                     31020                    0.90371         
          30.50                     33096                    0.88669         
          30.60                     36742                    0.85644         
          30.70                     30209                    0.91740         
          30.80                     33530                    0.88516         
          30.90                     34903                    0.87658         
          31.00                     26617                    0.95174         
          31.10                     30525                    0.91670         
          31.20                     33885                    0.88259         
          31.30                     36116                    0.86791         
          31.40                     28749                    0.93761         
          31.50                     28146                    0.94415         
          31.60                     27715                    0.94727         
          31.70                     31245                    0.90299         
          31.80                     27684                    0.93423         
          31.90                     28882                    0.91912         
          32.00                     29955                    0.90137         
          32.10                     38723                    0.83259         
          32.20                     32569                    0.87490         
          32.30                     30246                    0.89105         
          32.40                     36969                    0.83523         
          32.50                     34455                    0.85434         
          32.60                     34457                    0.85112         
          32.70                     38390                    0.82477         
          32.80                     26050                    0.92870         
          32.90                     29096                    0.89511         
          33.00                     36877                    0.82682         
          33.10                     32312                    0.85901         
          33.20                     32253                    0.85650         
          33.30                     28320                    0.88595         
          33.40                     32920                    0.84288         
          33.50                     29852                    0.86606         
          33.60                     31848                    0.84687         
          33.70                     24101                    0.92073         
          33.80                     31109                    0.85364         
          33.90                     27549                    0.87828         
          34.00                     32260                    0.83985         
          34.10                     33103                    0.82721         
          34.20                     22590                    0.92328         
          34.30                     39069                    0.78865         
          34.40                     36053                    0.79430         
          34.50                     38033                    0.78740         
          34.60                     34203                    0.80916         
          34.70                     35921                    0.79783         
          34.80                     39870                    0.77965         
          34.90                     41389                    0.77172         
          35.00                     27845                    0.84021         
          35.10                     25065                    0.85650         
          35.20                     23869                    0.86583         
          35.30                     23654                    0.86811         
          35.40                     21994                    0.87565         
          35.50                     32199                    0.78732         
          35.60                     37131                    0.76397         
          35.70                     38556                    0.75952         
          35.80                     31200                    0.79735         
          35.90                     34540                    0.77513         
          36.00                     36694                    0.76227         
          36.10                     33545                    0.77651         
          36.20                     36998                    0.75887         
          36.30                     40912                    0.74388         
          36.40                     30627                    0.78208         
          36.50                     27070                    0.80229         
          36.60                     43749                    0.72863         
          36.70                     35810                    0.74601         
          36.80                     37892                    0.74425         
          36.90                     34639                    0.75335         
          37.00                     33556                    0.75811         
          37.10                     34553                    0.74790         
          37.20                     46512                    0.71103         
          37.30                     40736                    0.72898         
          37.40                     42360                    0.71923         
          37.50                     39372                    0.72528         
          37.60                     38409                    0.72647         
          37.70                     38302                    0.72394         
          37.80                     40099                    0.71627         
          37.90                     27926                    0.75949         
          38.00                     43254                    0.70219         
          38.10                     31308                    0.73428         
          38.20                     32200                    0.72720         
          38.30                     42406                    0.69976         
          38.40                     26602                    0.74241         
          38.50                     43910                    0.68988         
          38.60                     33627                    0.70762         
          38.70                     35398                    0.70370         
          38.80                     29332                    0.71438         
          38.90                     25150                    0.73393         
          39.00                     40196                    0.69345         
          39.10                     37955                    0.69269         
          39.20                     29635                    0.70717         
          39.30                     35990                    0.69276         
          39.40                     30747                    0.70540         
          39.50                     41558                    0.67566         
          39.60                     42626                    0.67679         
          39.70                     48011                    0.66787         
          39.80                     43077                    0.66649         
          39.90                     42119                    0.66957         
          40.00                     40728                    0.66869         
          40.10                     39296                    0.67142         
          40.20                     36809                    0.67499         
          40.30                     45931                    0.66038         
          40.40                     43680                    0.65948         
          40.50                     48201                    0.65288         
          40.60                     36876                    0.67091         
          40.70                     45053                    0.65762         
          40.80                     47230                    0.65223         
          40.90                     52907                    0.64971         
          41.00                     46012                    0.65382         
          41.10                     33190                    0.65787         
          41.20                     58606                    0.64312         
          41.30                     52458                    0.64507         
          41.40                     52401                    0.64312         
          41.50                     41943                    0.64984         
          41.60                     50197                    0.64097         
          41.70                     39916                    0.64500         
          41.80                     56248                    0.63495         
          41.90                     36842                    0.64104         
          42.00                     46302                    0.63696         
          42.10                     23372                    0.65485         
          42.20                     24987                    0.64673         
          42.30                     51540                    0.63942         
          42.40                     48438                    0.64247         
          42.50                     48240                    0.64261         
          42.60                     58345                    0.63700         
          42.70                     43448                    0.64431         
          42.80                     26808                    0.64821         
          42.90                     42985                    0.64095         
          43.00                     43528                    0.64109         
          43.10                     22024                    0.65077         
          43.20                     25234                    0.64327         
          43.30                     53799                    0.63671         
          43.40                     52775                    0.63547         
          43.50                     49759                    0.63818         
          43.60                     48022                    0.63795         
          43.70                     49010                    0.63631         
          43.80                     52007                    0.63395         
          43.90                     52638                    0.63312         
          44.00                     54511                    0.63409         
          44.10                     57468                    0.63036         
          44.20                     48963                    0.63662         
          44.30                     33946                    0.63672         
          44.40                     51329                    0.63654         
          44.50                     50258                    0.63499         
          44.60                     41601                    0.63437         
          44.70                     21514                    0.63598         
          44.80                     27355                    0.63391         
          44.90                     42618                    0.62572         
          45.00                     31181                    0.64016         
          45.10                     48304                    0.63264         
          45.20                     48542                    0.63136         
          45.30                     22359                    0.63588         
          45.40                     54427                    0.62962         
          45.50                     38729                    0.63852         
          45.60                     29264                    0.62424         
          45.70                     36776                    0.63498         
          45.80                     45106                    0.63688         
          45.90                     41065                    0.63607         
          46.00                     38180                    0.63136         
          46.10                     45356                    0.63300         
          46.20                     31511                    0.63510         
          46.30                     17386                    0.63174         
          46.40                     30988                    0.62969         
          46.50                     64632                    0.62767         
          46.60                     42441                    0.62683         
          46.70                     21051                    0.63259         
          46.80                     37161                    0.63373         
          46.90                     52206                    0.62889         
          47.00                     44218                    0.63074         
          47.10                     41356                    0.62540         
          47.20                     46210                    0.63098         
          47.30                     10643                    0.63291         
          47.40                     46195                    0.62606         
          47.50                     16167                    0.62986         
          47.60                     23566                    0.61959         
          47.70                     50564                    0.62859         
          47.80                     17399                    0.62583         
          47.90                     40602                    0.62674         
          48.00                     50964                    0.62905         
          48.10                     22263                    0.62722         
          48.20                     13022                    0.62565         
          48.30                     54265                    0.62494         
          48.40                     44985                    0.62849         
          48.50                     29974                    0.62679         
          48.60                     44401                    0.62358         
          48.70                     29466                    0.62944         
          48.80                     57207                    0.62659         
          48.90                     21820                    0.62908         
          49.00                     28951                    0.62873         
          49.10                     51878                    0.62678         
          49.20                     27398                    0.63442         
          49.30                     35454                    0.62739         
          49.40                     41111                    0.63084         
          49.50                     38716                    0.62626         
          49.60                     39978                    0.62824         
          49.70                     55575                    0.62547         
          49.80                     18891                    0.63281         
          49.90                     20193                    0.62963         
