 ALL 	  AA 	  AB 	  BB 
0.9990	1.0048	0.9986	0.9996
1.0024	1.0014	0.9954	0.9999
1.0049	1.1121	1.0031	0.9999
0.9981	1.0008	0.9992	1.0009
0.9981	1.0243	0.9987	0.9981
1.0004	1.0015	0.9991	0.9998
1.0047	1.0136	1.0002	0.9995
0.9984	1.0008	1.0030	1.0034
0.9993	0.9976	1.0008	1.0000
0.9995	1.0007	1.0002	0.9992
0.9993	1.0032	0.9808	0.9995
1.0038	1.0001	0.9940	1.0109
1.0010	1.0075	0.9958	0.9991
1.0016	0.9995	1.0008	1.0032
1.0005	0.9990	0.9997	1.0003
1.0026	0.9983	1.0052	1.0003
1.0006	0.9998	1.0020	0.9999
1.0000	0.9986	1.0011	0.9989
0.9992	0.9988	0.9982	1.0007
0.9998	0.9997	1.0012	0.9992
1.0012	0.9999	0.9978	1.0035
0.9986	1.0052	1.0011	1.0022
0.9954	1.0038	1.0010	0.9988
1.0031	1.0003	1.0021	1.0012
0.9992	1.0024	0.9996	0.9991
0.9987	1.0013	0.9994	0.9993
0.9991	0.9994	0.9990	0.9999
1.0002	0.9964	1.0000	0.9989
1.0030	0.9985	1.0012	1.0004
1.0008	1.0024	1.0006	1.0013
1.0002	0.9992	0.9981	1.0018
0.9808	0.9978	1.1012	0.9997
0.9940	1.0006	1.0288	0.9990
0.9958	1.0013	1.0049	0.9964
1.0008	1.0006	0.9991	0.9956
0.9997	1.0022	0.9988	0.9999
1.0052	0.9960	1.0057	1.0003
1.0020	0.9995	1.0007	1.0021
1.0011	0.9988	0.9979	1.0011
0.9982	0.9998	1.0004	1.0001
1.0012	1.0011	0.9983	0.9964
0.9978	1.0013	1.0000	1.0007
1.0011	1.0009	0.9962	1.0011
1.0010	1.0087	0.9933	1.0000
1.0021	0.9999	1.0002	1.0005
0.9996	1.0020	0.9996	1.0000
0.9994	0.9987	0.9990	1.0024
1.0005	1.0146	1.0005	1.0011
0.9990	1.0012	0.9989	0.9992
1.0000	0.9981	0.9998	0.9994
1.0012	1.0007	1.0057	1.0015
1.0006	1.0004	1.0004	1.0011
