PeB,PeA,xA,PS
30,0,0,0
30,0,10,0
30,0,20,0
30,0,30,0
30,0,40,0
30,0,50,0
30,0,60,0
30,0,70,0
30,0,80,0
30,0,90,0
30,0,100,0
30,10,0,0
30,10,10,0
30,10,20,0
30,10,30,0
30,10,40,0
30,10,50,0
30,10,60,0
30,10,70,0
30,10,80,0
30,10,90,0
30,10,100,0
30,20,0,0
30,20,10,0
30,20,20,0
30,20,30,0
30,20,40,0
30,20,50,0
30,20,60,0
30,20,70,0
30,20,80,0
30,20,90,0
30,20,100,0
30,30,0,0
30,30,10,0
30,30,20,0
30,30,30,0
30,30,40,0
30,30,50,0
30,30,60,0
30,30,70,0
30,30,80,0
30,30,90,0
30,30,100,0
30,40,0,0
30,40,10,0
30,40,20,0
30,40,30,0
30,40,40,0
30,40,50,0
30,40,60,0
30,40,70,0
30,40,80,0
30,40,90,0
30,40,100,0
30,50,0,0
30,50,10,0
30,50,20,0
30,50,30,0
30,50,40,0
30,50,50,0
30,50,60,0
30,50,70,0
30,50,80,1
30,50,90,1
30,50,100,1
30,60,0,0
30,60,10,0
30,60,20,0
30,60,30,0
30,60,40,0
30,60,50,0
30,60,60,1
30,60,70,1
30,60,80,1
30,60,90,1
30,60,100,1
30,70,0,0
30,70,10,0
30,70,20,0
30,70,30,0
30,70,40,0
30,70,50,1
30,70,60,1
30,70,70,1
30,70,80,1
30,70,90,1
30,70,100,1
30,80,0,0
30,80,10,0
30,80,20,0
30,80,30,0
30,80,40,1
30,80,50,1
30,80,60,1
30,80,70,1
30,80,80,1
30,80,90,1
30,80,100,1
30,90,0,0
30,90,10,0
30,90,20,0
30,90,30,1
30,90,40,1
30,90,50,1
30,90,60,1
30,90,70,1
30,90,80,1
30,90,90,1
30,90,100,1
30,100,0,0
30,100,10,0
30,100,20,0
30,100,30,1
30,100,40,1
30,100,50,1
30,100,60,1
30,100,70,1
30,100,80,1
30,100,90,1
30,100,100,1
30,110,0,0
30,110,10,0
30,110,20,0
30,110,30,1
30,110,40,1
30,110,50,1
30,110,60,1
30,110,70,1
30,110,80,1
30,110,90,1
30,110,100,1
30,120,0,0
30,120,10,0
30,120,20,1
30,120,30,1
30,120,40,1
30,120,50,1
30,120,60,1
30,120,70,1
30,120,80,1
30,120,90,1
30,120,100,1
30,130,0,0
30,130,10,0
30,130,20,1
30,130,30,1
30,130,40,1
30,130,50,1
30,130,60,1
30,130,70,1
30,130,80,1
30,130,90,1
30,130,100,1
30,140,0,0
30,140,10,0
30,140,20,1
30,140,30,1
30,140,40,1
30,140,50,1
30,140,60,1
30,140,70,1
30,140,80,1
30,140,90,1
30,140,100,1
30,150,0,0
30,150,10,0
30,150,20,1
30,150,30,1
30,150,40,1
30,150,50,1
30,150,60,1
30,150,70,1
30,150,80,1
30,150,90,1
30,150,100,1
40,0,0,0
40,0,10,0
40,0,20,0
40,0,30,0
40,0,40,0
40,0,50,0
40,0,60,0
40,0,70,0
40,0,80,0
40,0,90,0
40,0,100,0
40,10,0,0
40,10,10,0
40,10,20,0
40,10,30,0
40,10,40,0
40,10,50,0
40,10,60,0
40,10,70,0
40,10,80,0
40,10,90,0
40,10,100,0
40,20,0,0
40,20,10,0
40,20,20,0
40,20,30,0
40,20,40,0
40,20,50,0
40,20,60,0
40,20,70,0
40,20,80,0
40,20,90,0
40,20,100,0
40,30,0,0
40,30,10,0
40,30,20,0
40,30,30,0
40,30,40,0
40,30,50,0
40,30,60,0
40,30,70,0
40,30,80,0
40,30,90,0
40,30,100,0
40,40,0,0
40,40,10,0
40,40,20,0
40,40,30,0
40,40,40,0
40,40,50,0
40,40,60,0
40,40,70,0
40,40,80,0
40,40,90,0
40,40,100,0
40,50,0,0
40,50,10,0
40,50,20,0
40,50,30,0
40,50,40,0
40,50,50,0
40,50,60,1
40,50,70,1
40,50,80,1
40,50,90,1
40,50,100,1
40,60,0,0
40,60,10,0
40,60,20,0
40,60,30,1
40,60,40,1
40,60,50,1
40,60,60,1
40,60,70,1
40,60,80,1
40,60,90,1
40,60,100,1
40,70,0,0
40,70,10,0
40,70,20,0
40,70,30,1
40,70,40,1
40,70,50,1
40,70,60,1
40,70,70,1
40,70,80,1
40,70,90,1
40,70,100,1
40,80,0,0
40,80,10,0
40,80,20,1
40,80,30,1
40,80,40,1
40,80,50,1
40,80,60,1
40,80,70,1
40,80,80,1
40,80,90,1
40,80,100,1
40,90,0,0
40,90,10,0
40,90,20,1
40,90,30,1
40,90,40,1
40,90,50,1
40,90,60,1
40,90,70,1
40,90,80,1
40,90,90,1
40,90,100,1
40,100,0,0
40,100,10,0
40,100,20,1
40,100,30,1
40,100,40,1
40,100,50,1
40,100,60,1
40,100,70,1
40,100,80,1
40,100,90,1
40,100,100,1
40,110,0,0
40,110,10,1
40,110,20,1
40,110,30,1
