 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
20400000.00   23452      23249      46701       1548       1751       3299       355        372        727        206       1.0024     1.0024     1.0007     0.9996      0.60     276.0449   289.3115   565.3563  1204.1041  1361.6273  2565.7314   65449.85 
20800000.00   23396      23126      46522       1604       1874       3478       248        270        518        183       1.0002     1.0024     1.0031     0.9994      0.60     193.1335   209.9578   403.0913  1248.4107  1457.6512  2706.0619   65449.85 
21200000.00   23336      23012      46348       1664       1988       3652       137        165        302        166       1.0009     0.9999     1.0051     1.0018      0.60     106.4611   128.4800   234.9412  1294.5628  1546.7538  2841.3166   65449.85 
21600000.00   23383      23107      46490       1617       1893       3510       186        204        390        175       1.0024     1.0062     1.0035     0.9993      0.60     144.6079   158.6482   303.2560  1258.3833  1472.6170  2731.0003   65449.85 
22000000.00   23132      22848      45980       1868       2152       4020       337        379        716        191       1.0021     1.0028     1.0019     1.0028      0.60     262.3197   294.8798   557.1995  1453.5104  1674.0342  3127.5446   65449.85 
22400000.00   23227      22928      46155       1773       2072       3845       211        255        466        213       1.0002     0.9998     1.0002     1.0046      0.60     164.1995   198.4529   362.6524  1379.4864  1611.6185  2991.1050   65449.85 
22800000.00   23317      22982      46299       1683       2018       3701       280        373        653        194       1.0016     1.0024     1.0031     1.0067      0.60     217.8348   290.4400   508.2748  1309.2579  1570.2780  2879.5358   65449.85 
23200000.00   23545      23324      46869       1455       1676       3131       200        233        433        208       1.0042     1.0037     1.0015     1.0011      0.60     155.6099   181.1188   336.7287  1131.5457  1303.0002  2434.5458   65449.85 
23600000.00   23716      23494      47210       1284       1506       2790       219        279        498        214       1.0001     1.0018     1.0033     1.0012      0.60     170.2959   216.8862   387.1821   998.8004  1171.4590  2170.2593   65449.85 
24000000.00   23411      23152      46563       1589       1848       3437       191        220        411        180       1.0015     1.0021     1.0015     1.0032      0.60     148.6815   171.1557   319.8372  1237.1204  1437.7434  2674.8638   65449.85 
24400000.00   23256      23024      46280       1744       1976       3720       226        249        475        177       1.0029     0.9989     1.0012     1.0027      0.60     175.5727   193.3467   368.9194  1357.0257  1536.9147  2893.9404   65449.85 
24800000.00   22722      22328      45050       2278       2672       4950       374        461        835        247       1.0017     1.0011     1.0017     1.0008      0.60     290.7994   358.2931   649.0925  1771.6443  2077.8022  3849.4465   65449.85 
25200000.00   23173      22784      45957       1827       2216       4043       188        217        405        202       1.0012     1.0012     1.0020     1.0013      0.60     146.1067   168.4605   314.5672  1420.9283  1723.4181  3144.3464   65449.85 
