 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  15.000        127193.613           947990.172             7.453              13268.571           30355953.889           2287.809           1302838.651             571.3                44535        
  15.167        127263.181           908395.053             7.138              13258.452           30715806.219           2316.696           1270170.795             550.0                44510        
  15.333        127318.836           924504.316             7.261              13273.631           31031056.278           2337.797           1234528.229             529.7                44525        
  15.500        127341.604           922188.667             7.242              13255.923           30695573.057           2315.612           1240959.704             537.6                44572        
  15.667        127183.494           901087.139             7.085              13414.032           30216285.776           2252.588           1179382.920             525.2                44783        
  15.833        127012.735           922298.317             7.261              13508.898           29879489.536           2211.838           1207475.727             547.7                44913        
  16.000        127081.039           915981.298             7.208              13515.223           29896428.405           2212.056           1153070.770             523.0                44965        
  16.167        126859.685           899610.243             7.091              13536.726           30210446.608           2231.740           1306039.134             587.1                45113        
  16.333        126688.927           906788.052             7.158              13598.705           29572234.123           2174.636           1377296.961             635.4                45183        
  16.500        126970.994           920683.545             7.251              13541.785           29440876.513           2174.076           1164866.470             537.6                44889        
  16.667        126876.129           907373.261             7.152              13451.979           29197667.953           2170.511           1343049.702             620.8                44758        
  16.833        126995.027           913264.403             7.191              13415.297           29153946.361           2173.187           1283785.565             592.7                44679        
  17.000        126972.259           924069.192             7.278              13467.157           29115729.639           2161.980           1269822.362             589.3                44728        
  17.167        126983.643           929093.718             7.317              13435.535           29129196.312           2168.071           1249087.561             578.1                44602        
  17.333        126996.292           937870.369             7.385              13363.437           29228268.373           2187.182           1331190.468             610.7                44433        
  17.500        126997.557           934091.037             7.355              13328.021           29218166.119           2192.236           1329380.628             608.4                44296        
  17.667        127292.274           943893.316             7.415              13214.182           29275324.909           2215.447           1234201.714             559.0                44114        
  17.833        127215.116           933274.394             7.336              13312.842           28928804.872           2173.000           1169113.295             539.8                44183        
  18.000        127165.786           941155.795             7.401              13273.631           29220033.148           2201.359           1268282.086             578.1                44166        
  18.167        127266.976           937088.993             7.363              13177.500           30257652.800           2296.160           1289642.584             563.5                44142        
  18.333        127378.285           932498.947             7.321              13071.250           30671774.563           2346.507           1365389.070             583.7                43988        
  18.500        127457.973           932656.107             7.317              13018.126           30443795.341           2338.570           1331917.596             571.3                43837        
  18.667        127423.821           957555.779             7.515              13019.390           29742427.467           2284.472           1308579.284             574.7                43831        
  18.833        127416.232           938678.500             7.367              13157.262           30273783.556           2300.918           1220095.738             532.0                44024        
