             tauB                            r                             g(r)             
           100.000                         1.895                          0.236             
           100.000                         1.900                          0.226             
           100.000                         1.905                          0.218             
           100.000                         1.911                          0.220             
           100.000                         1.916                          0.200             
           100.000                         1.921                          0.232             
           100.000                         1.926                          0.208             
           100.000                         1.932                          0.210             
           100.000                         1.937                          0.219             
           100.000                         1.942                          0.209             
           100.000                         1.947                          0.217             
           100.000                         1.953                          0.205             
           100.000                         1.958                          0.231             
           100.000                         1.963                          0.218             
           100.000                         1.968                          0.231             
           100.000                         1.974                          0.218             
           100.000                         1.979                          0.226             
           100.000                         1.984                          0.243             
           100.000                         1.989                          0.225             
           100.000                         1.995                          0.250             
           100.000                         2.000                          0.248             
           100.000                         2.005                          0.237             
           100.000                         2.010                          0.264             
           100.000                         2.016                          0.282             
           100.000                         2.021                          0.293             
           100.000                         2.026                          0.344             
           100.000                         2.031                          0.329             
           100.000                         2.037                          0.399             
           100.000                         2.042                          0.438             
           100.000                         2.047                          0.498             
           100.000                         2.052                          0.517             
           100.000                         2.057                          0.621             
           100.000                         2.063                          0.731             
           100.000                         2.068                          0.850             
           100.000                         2.073                          0.957             
           100.000                         2.078                          1.137             
           100.000                         2.084                          1.290             
           100.000                         2.089                          1.498             
           100.000                         2.094                          1.735             
           100.000                         2.099                          1.960             
           100.000                         2.105                          2.263             
           100.000                         2.110                          2.621             
           100.000                         2.115                          2.926             
           100.000                         2.120                          3.253             
           100.000                         2.126                          3.658             
           100.000                         2.131                          3.993             
           100.000                         2.136                          4.428             
           100.000                         2.141                          4.719             
           100.000                         2.147                          5.193             
           100.000                         2.152                          5.438             
           100.000                         2.157                          5.716             
           100.000                         2.162                          5.980             
           100.000                         2.168                          6.077             
           100.000                         2.173                          6.236             
           100.000                         2.178                          6.404             
           100.000                         2.183                          6.302             
           100.000                         2.188                          6.228             
           100.000                         2.194                          6.174             
           100.000                         2.199                          6.006             
           100.000                         2.204                          5.723             
           100.000                         2.209                          5.604             
           100.000                         2.215                          5.351             
           100.000                         2.220                          5.046             
           100.000                         2.225                          4.751             
           100.000                         2.230                          4.397             
           100.000                         2.236                          4.054             
           100.000                         2.241                          3.757             
           100.000                         2.246                          3.456             
           100.000                         2.251                          3.206             
           100.000                         2.257                          3.029             
           100.000                         2.262                          2.701             
           100.000                         2.267                          2.478             
           100.000                         2.272                          2.234             
           100.000                         2.278                          2.079             
           100.000                         2.283                          1.850             
           100.000                         2.288                          1.704             
           100.000                         2.293                          1.584             
           100.000                         2.299                          1.479             
           100.000                         2.304                          1.368             
           100.000                         2.309                          1.224             
           100.000                         2.314                          1.130             
           100.000                         2.320                          1.063             
           100.000                         2.325                          1.022             
           100.000                         2.330                          0.961             
           100.000                         2.335                          0.890             
           100.000                         2.340                          0.864             
           100.000                         2.346                          0.869             
           100.000                         2.351                          0.845             
           100.000                         2.356                          0.878             
           100.000                         2.361                          0.899             
           100.000                         2.367                          0.962             
           100.000                         2.372                          1.005             
           100.000                         2.377                          1.073             
           100.000                         2.382                          1.137             
           100.000                         2.388                          1.241             
           100.000                         2.393                          1.414             
           100.000                         2.398                          1.538             
           100.000                         2.403                          1.706             
           100.000                         2.409                          1.852             
           100.000                         2.414                          1.974             
           100.000                         2.419                          2.205             
           100.000                         2.424                          2.382             
           100.000                         2.430                          2.447             
