 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
3350000.00   36617        0        36617      13383        0        13383       6322        0         6322       405       0.8875     0.8875     0.0000     0.0000      0.40    3089.8229    0.0000   3089.8229  7380.1645    0.0000   7380.1645   78539.82 
3400000.00   35855        0        35855      14145        0        14145       6645        0         6645       382       0.8792     0.8792     0.0000     0.0000      0.40    3239.7535    0.0000   3239.7535  7777.1753    0.0000   7777.1753   78539.82 
3450000.00   35850        0        35850      14150        0        14150       6989        0         6989       428       0.8716     0.8716     0.0000     0.0000      0.40    3405.6223    0.0000   3405.6223  7731.0135    0.0000   7731.0135   78539.82 
3500000.00   34865        0        34865      15135        0        15135       7368        0         7368       398       0.8774     0.8774     0.0000     0.0000      0.40    3592.4370    0.0000   3592.4370  8282.1767    0.0000   8282.1767   78539.82 
3550000.00   35604        0        35604      14396        0        14396       7654        0         7654       411       0.7849     0.7849     0.0000     0.0000      0.40    3722.6861    0.0000   3722.6861  7805.8386    0.0000   7805.8386   78539.82 
3600000.00   35772        0        35772      14228        0        14228       7944        0         7944       444       0.8805     0.8805     0.0000     0.0000      0.40    3849.5029    0.0000   3849.5029  7655.2548    0.0000   7655.2548   78539.82 
3650000.00   35484        0        35484      14516        0        14516       8277        0         8277       483       0.7895     0.7895     0.0000     0.0000      0.40    4004.6493    0.0000   4004.6493  7791.2097    0.0000   7791.2097   78539.82 
3700000.00   35617        0        35617      14383        0        14383       8633        0         8633       575       0.7838     0.7838     0.0000     0.0000      0.40    4178.8191    0.0000   4178.8191  7668.9042    0.0000   7668.9042   78539.82 
3750000.00   34557        0        34557      15443        0        15443       9081        0         9081       454       0.7753     0.7753     0.0000     0.0000      0.40    4395.1730    0.0000   4395.1730  8257.4306    0.0000   8257.4306   78539.82 
3800000.00   35474        0        35474      14526        0        14526       9421        0         9421       631       0.7856     0.7856     0.0000     0.0000      0.40    4553.0570    0.0000   4553.0570  7655.7361    0.0000   7655.7361   78539.82 
3850000.00   35078        0        35078      14922        0        14922       9786        0         9786       678       0.7771     0.7771     0.0000     0.0000      0.40    4739.0981    0.0000   4739.0981  7855.9502    0.0000   7855.9502   78539.82 
3900000.00   35262        0        35262      14738        0        14738      10290        0        10290       669       0.7782     0.7782     0.0000     0.0000      0.40    4996.5605    0.0000   4996.5605  7691.0206    0.0000   7691.0206   78539.82 
3950000.00   35052        0        35052      14948        0        14948      10629        0        10629       679       0.7845     0.7845     0.0000     0.0000      0.40    5130.8118    0.0000   5130.8118  7746.0606    0.0000   7746.0606   78539.82 
4000000.00   35442        0        35442      14558        0        14558      11066        0        11066       693       0.7794     0.7794     0.0000     0.0000      0.40    5339.9100    0.0000   5339.9100  7458.7277    0.0000   7458.7277   78539.82 
4050000.00   35294        0        35294      14706        0        14706      11456        0        11456       817       0.7757     0.7757     0.0000     0.0000      0.40    5507.7492    0.0000   5507.7492  7488.4018    0.0000   7488.4018   78539.82 
4100000.00   34776        0        34776      15224        0        15224      11875        0        11875       661       0.7788     0.7788     0.0000     0.0000      0.40    5702.3032    0.0000   5702.3032  7747.7753    0.0000   7747.7753   78539.82 
4150000.00   35098        0        35098      14902        0        14902      12261        0        12261       784       0.7807     0.7807     0.0000     0.0000      0.40    5883.9903    0.0000   5883.9903  7496.7061    0.0000   7496.7061   78539.82 
4200000.00   34630        0        34630      15370        0        15370      12759        0        12759       904       0.7850     0.7850     0.0000     0.0000      0.39    6145.9126    0.0000   6145.9126  7734.8538    0.0000   7734.8538   78539.82 
4250000.00   34368        0        34368      15632        0        15632      13214        0        13214       822       0.7864     0.7864     0.0000     0.0000      0.39    6346.6564    0.0000   6346.6564  7829.7712    0.0000   7829.7712   78539.82 
4300000.00   34659        0        34659      15341        0        15341      13700        0        13700       1095      0.7820     0.7820     0.0000     0.0000      0.39    6582.9628    0.0000   6582.9628  7592.2251    0.0000   7592.2251   78539.82 
4350000.00   34442        0        34442      15558        0        15558      14134        0        14134       1296      0.7798     0.7798     0.0000     0.0000      0.39    6761.9361    0.0000   6761.9361  7634.9198    0.0000   7634.9198   78539.82 
4400000.00   33679        0        33679      16321        0        16321      14614        0        14614       1483      0.7813     0.7813     0.0000     0.0000      0.39    6999.5875    0.0000   6999.5875  8045.6665    0.0000   8045.6665   78539.82 
4450000.00   33741        0        33741      16259        0        16259      15091        0        15091       1806      0.7772     0.7772     0.0000     0.0000      0.39    7227.9379    0.0000   7227.9379  7939.0474    0.0000   7939.0474   78539.82 
4500000.00   33505        0        33505      16495        0        16495      15530        0        15530       2356      0.7829     0.7829     0.0000     0.0000      0.39    7417.2342    0.0000   7417.2342  8004.5901    0.0000   8004.5901   78539.82 
4550000.00   32945        0        32945      17055        0        17055      15996        0        15996       1895      0.7849     0.7849     0.0000     0.0000      0.39    7638.7797    0.0000   7638.7797  8288.4950    0.0000   8288.4950   78539.82 
4600000.00   32300        0        32300      17700        0        17700      16459        0        16459       1609      0.7751     0.7751     0.0000     0.0000      0.39    7849.1426    0.0000   7849.1426  8602.8476    0.0000   8602.8476   78539.82 
4650000.00   32187        0        32187      17813        0        17813      16973        0        16973       2226      0.7831     0.7831     0.0000     0.0000      0.39    8102.7862    0.0000   8102.7862  8619.9496    0.0000   8619.9496   78539.82 
4700000.00   32059        0        32059      17941        0        17941      17439        0        17439       3588      0.7798     0.7798     0.0000     0.0000      0.39    8315.9809    0.0000   8315.9809  8624.8814    0.0000   8624.8814   78539.82 
