 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
  125.0      249611    1000000     30962      665777     10522      534873      120       366076       4        358980       2        358765       2        358765       2        358765       1        350736       1        350736  
  126.7      249668    1000000     31279      666194     10458      533304       95       365624       4        360262       2        360008       2        360008       2        360008       1        352080       1        352080  
  128.3      249387    1000000     31053      666130     10401      534082      104       367585       4        361400       2        361182       2        361182       2        361182       1        353457       1        353457  
  130.0      250041    1000000     31014      665196     10173      531885      113       369288       4        362890       2        362683       2        362683       2        362683       1        355151       1        355151  
  131.7      249165    1000000     30903      666014     10257      534288      117       370630       3        363803       2        363688       2        363688       2        363688       1        356215       1        356215  
  133.3      249953    1000000     30861      665042     10180      532757       93       370247       3        364709       2        364608       2        364608       2        364608       1        357457       1        357457  
  135.0      249307    1000000     30622      665202     10030      533412      113       372433       4        365807       2        365595       2        365595       2        365595       1        358614       1        358614  
  136.7      249236    1000000     30635      667050     10141      536101      122       374569       3        367229       2        367124       2        367124       2        367124       1        360346       1        360346  
  138.3      250443    1000000     30670      664383      9953      532305      109       374827       4        368610       2        368394       2        368394       2        368394       1        361811       1        361811  
  140.0      249413    1000000     30404      665055      9969      534724      107       376143       3        369831       2        369700       2        369700       2        369700       1        363196       1        363196  
  141.7      249599    1000000     30355      664952      9940      534886      103       377336       2        371272       2        371272       2        371272       2        371272       1        364897       1        364897  
  143.3      249024    1000000     30271      665831      9878      535313       97       378087       5        372469       2        372098       2        372098       2        372098       1        366001       1        366001  
  145.0      249085    1000000     30372      665402      9743      533998       88       378425       2        373149       2        373149       2        373149       2        373149       1        367189       1        367189  
  146.7      249493    1000000     30276      665735      9710      534426       97       379916       3        374416       2        374285       2        374285       2        374285       1        368539       1        368539  
  148.3      249222    1000000     30055      665503      9873      536790       95       380713       2        375236       2        375236       2        375236       2        375236       1        369778       1        369778  
  150.0      249297    1000000     29990      664871      9641      534752      101       382746       6        377030       2        376582       2        376582       2        376582       1        371170       1        371170  
  151.7      248901    1000000     29900      665470      9616      535945       95       383607       3        378053       2        377949       2        377949       2        377949       1        372653       1        372653  
  153.3      249130    1000000     29797      665516      9588      536459       97       385004       2        379181       2        379181       2        379181       2        379181       1        374053       1        374053  
  155.0      249336    1000000     29914      665784      9495      535585       79       384796       3        380197       2        380097       2        380097       2        380097       1        375069       1        375069  
  156.7      249249    1000000     29776      665140      9471      535692       82       386009       2        381103       2        381103       2        381103       1        376167       1        376167       1        376167  
  158.3      249761    1000000     29635      664474      9448      535902       69       386134       3        382259       2        382138       2        382138       1        377274       1        377274       1        377274  
  160.0      248362    1000000     29854      667123      9448      537131       95       388824       3        383259       2        383143       2        383143       1        378419       1        378419       1        378419  
  161.7      248918    1000000     29590      666045      9368      536976       88       389191       3        384159       2        384059       2        384059       1        379466       1        379466       1        379466  
  163.3      249039    1000000     29378      665105      9225      536583       81       390298       3        385631       2        385526       2        385526       1        381106       1        381106       1        381106  
  165.0      248368    1000000     29478      666168      9266      537498       92       392145       2        386591       2        386591       2        386591       1        382382       1        382382       1        382382  
  166.7      248842    1000000     29554      666135      9278      536784       78       392123       3        387512       2        387412       2        387412       1        383384       1        383384       1        383384  
  168.3      249221    1000000     29037      664205      9132      537117       74       393155       3        388866       2        388761       2        388761       1        384917       1        384917       1        384917  
  170.0      249197    1000000     29236      665407      9169      537926       84       394396       3        389598       2        389466       2        389466       1        385813       1        385813       1        385813  
  171.7      248368    1000000     29192      665823      9202      538642       74       395180       3        390864       2        390744       2        390744       1        387268       1        387268       1        387268  
