 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
6485819.00   37441        0        37441      12559        0        12559       7146        0         7146       661       0.8171     0.8171     0.0000     0.0000      0.36    3204.1945    0.0000   3204.1945  5947.7621    0.0000   5947.7621   78539.82 
6636652.00   35933        0        35933      14067        0        14067       7686        0         7686       502       0.8227     0.8227     0.0000     0.0000      0.36    3431.5451    0.0000   3431.5451  6666.5076    0.0000   6666.5076   78539.82 
6787485.00   35788        0        35788      14212        0        14212       8287        0         8287       676       0.7586     0.7586     0.0000     0.0000      0.36    3690.8932    0.0000   3690.8932  6644.3914    0.0000   6644.3914   78539.82 
6938318.00   35617        0        35617      14383        0        14383       8922        0         8922       958       0.7529     0.7529     0.0000     0.0000      0.36    3948.2929    0.0000   3948.2929  6616.9128    0.0000   6616.9128   78539.82 
7089151.00   34935        0        34935      15065        0        15065       9554        0         9554       1255      0.7550     0.7550     0.0000     0.0000      0.36    4222.2176    0.0000   4222.2176  6876.2365    0.0000   6876.2365   78539.82 
7239984.00   33233        0        33233      16767        0        16767      10181        0        10181       931       0.7524     0.7524     0.0000     0.0000      0.35    4499.8602    0.0000   4499.8602  7678.1611    0.0000   7678.1611   78539.82 
7390817.00   33407        0        33407      16593        0        16593      10835        0        10835       2074      0.7526     0.7526     0.0000     0.0000      0.35    4790.3525    0.0000   4790.3525  7500.4234    0.0000   7500.4234   78539.82 
7541650.00   32898        0        32898      17102        0        17102      11430        0        11430       2443      0.7605     0.7605     0.0000     0.0000      0.35    5046.5455    0.0000   5046.5455  7674.7575    0.0000   7674.7575   78539.82 
7692483.00   32197        0        32197      17803        0        17803      12097        0        12097       3560      0.7496     0.7496     0.0000     0.0000      0.35    5340.4788    0.0000   5340.4788  7948.9769    0.0000   7948.9769   78539.82 
7843316.00   31160        0        31160      18840        0        18840      12817        0        12817       3768      0.7495     0.7495     0.0000     0.0000      0.35    5660.2542    0.0000   5660.2542  8402.7192    0.0000   8402.7192   78539.82 
7994149.00   30022        0        30022      19978        0        19978      13412        0        13412       3995      0.7448     0.7448     0.0000     0.0000      0.35    5911.0520    0.0000   5911.0520  8904.7024    0.0000   8904.7024   78539.82 
8144982.00   29262        0        29262      20738        0        20738      14061        0        14061       6912      0.7491     0.7491     0.0000     0.0000      0.35    6201.4662    0.0000   6201.4662  9229.9567    0.0000   9229.9567   78539.82 
8295815.00   28082        0        28082      21918        0        21918      14739        0        14739       5479      0.7541     0.7541     0.0000     0.0000      0.35    6496.6783    0.0000   6496.6783  9755.4450    0.0000   9755.4450   78539.82 
8446648.00   27286        0        27286      22714        0        22714      15398        0        15398      11357      0.7560     0.7560     0.0000     0.0000      0.34    6779.9626    0.0000   6779.9626  10067.3738   0.0000   10067.3738  78539.82 
8597481.00   26251        0        26251      23749        0        23749      16050        0        16050      11874      0.7514     0.7514     0.0000     0.0000      0.34    7059.4892    0.0000   7059.4892  10523.5841   0.0000   10523.5841  78539.82 
8748314.00   25187        0        25187      24813        0        24813      16747        0        16747      12406      0.7586     0.7586     0.0000     0.0000      0.34    7359.3832    0.0000   7359.3832  10981.1874   0.0000   10981.1874  78539.82 
8899147.00   24146        0        24146      25854        0        25854      17405        0        17405      12927      0.7537     0.7537     0.0000     0.0000      0.34    7652.9913    0.0000   7652.9913  11444.5591   0.0000   11444.5591  78539.82 
9049980.00   23083        0        23083      26917        0        26917      18036        0        18036       8972      0.7528     0.7528     0.0000     0.0000      0.34    7934.0968    0.0000   7934.0968  11923.1327   0.0000   11923.1327  78539.82 
9200813.00   22119        0        22119      27881        0        27881      18721        0        18721      13940      0.7547     0.7547     0.0000     0.0000      0.34    8234.5853    0.0000   8234.5853  12348.5038   0.0000   12348.5038  78539.82 
9351646.00   21121        0        21121      28879        0        28879      19351        0        19351      14439      0.7543     0.7543     0.0000     0.0000      0.34    8520.4419    0.0000   8520.4419  12794.6304   0.0000   12794.6304  78539.82 
9502479.00   20053        0        20053      29947        0        29947      20038        0        20038      14973      0.7569     0.7569     0.0000     0.0000      0.33    8837.0107    0.0000   8837.0107  13284.2238   0.0000   13284.2238  78539.82 
9653312.00   19199        0        19199      30801        0        30801      30801        0        30801      30801      0.7517     0.7517     0.0000     0.0000      0.33    13645.6936   0.0000   13645.6936 13645.6936   0.0000   13645.6936  78539.82 
9804145.00   18280        0        18280      31720        0        31720      31720        0        31720      31720      0.7543     0.7543     0.0000     0.0000      0.33    14052.3383   0.0000   14052.3383 14052.3383   0.0000   14052.3383  78539.82 
9954978.00   17376        0        17376      32624        0        32624      32624        0        32624      32624      0.7529     0.7529     0.0000     0.0000      0.33    14441.1809   0.0000   14441.1809 14441.1809   0.0000   14441.1809  78539.82 
10105811.00   16484        0        16484      33516        0        33516      33516        0        33516      33516      0.7578     0.7578     0.0000     0.0000      0.33    14834.5384   0.0000   14834.5384 14834.5384   0.0000   14834.5384  78539.82 
10256644.00   15616        0        15616      34384        0        34384      34384        0        34384      34384      0.7516     0.7516     0.0000     0.0000      0.33    15224.6025   0.0000   15224.6025 15224.6025   0.0000   15224.6025  78539.82 
10407477.00   14810        0        14810      35190        0        35190      35190        0        35190      35190      0.7533     0.7533     0.0000     0.0000      0.33    15608.1354   0.0000   15608.1354 15608.1354   0.0000   15608.1354  78539.82 
10558310.00   14002        0        14002      35998        0        35998      35998        0        35998      35998      0.7555     0.7555     0.0000     0.0000      0.32    15958.2946   0.0000   15958.2946 15958.2946   0.0000   15958.2946  78539.82 
10709143.00   13253        0        13253      36747        0        36747      36747        0        36747      36747      0.7532     0.7532     0.0000     0.0000      0.32    16292.7461   0.0000   16292.7461 16292.7461   0.0000   16292.7461  78539.82 
10859976.00   12616        0        12616      37384        0        37384      37384        0        37384      37384      0.7558     0.7558     0.0000     0.0000      0.32    16591.2059   0.0000   16591.2059 16591.2059   0.0000   16591.2059  78539.82 
11010809.00   11994        0        11994      38006        0        38006      38006        0        38006      38006      0.7588     0.7588     0.0000     0.0000      0.32    16883.2271   0.0000   16883.2271 16883.2271   0.0000   16883.2271  78539.82 
11161642.00   11314        0        11314      38686        0        38686      38686        0        38686      38686      0.7590     0.7590     0.0000     0.0000      0.32    17205.4159   0.0000   17205.4159 17205.4159   0.0000   17205.4159  78539.82 
11312475.00   10703        0        10703      39297        0        39297      39297        0        39297      39297      0.7594     0.7594     0.0000     0.0000      0.32    17504.1848   0.0000   17504.1848 17504.1848   0.0000   17504.1848  78539.82 
11463308.00   10071        0        10071      39929        0        39929      39929        0        39929      39929      0.7594     0.7594     0.0000     0.0000      0.32    17800.0876   0.0000   17800.0876 17800.0876   0.0000   17800.0876  78539.82 
