             TauR                           MSD              
            56.500                     189121.707751         
            56.666                     189785.964815         
            56.833                     190453.966546         
            57.000                     191128.792696         
            57.166                     191809.052059         
            57.333                     192489.633566         
            57.500                     193166.007526         
            57.666                     193835.833881         
            57.833                     194507.483495         
            58.000                     195185.918220         
            58.166                     195871.236139         
            58.333                     196561.837533         
            58.500                     197250.406482         
            58.666                     197936.891638         
            58.833                     198619.859353         
            59.000                     199301.404757         
            59.166                     199979.379978         
            59.333                     200649.491672         
            59.500                     201312.868382         
            59.666                     201974.359510         
            59.833                     202636.918038         
            60.000                     203303.925806         
            60.166                     203977.004170         
            60.333                     204656.770122         
            60.500                     205339.058189         
            60.666                     206020.043826         
            60.833                     206704.972337         
            61.000                     207394.408404         
            61.166                     208083.073956         
            61.333                     208771.901474         
            61.500                     209457.147996         
            61.666                     210135.759779         
            61.833                     210805.565815         
            62.000                     211466.077281         
            62.166                     212120.087573         
            62.333                     212771.419711         
            62.500                     213419.620973         
            62.666                     214067.906840         
            62.833                     214713.457341         
            63.000                     215353.587836         
            63.166                     215996.860867         
            63.333                     216643.310598         
            63.500                     217291.853076         
            63.666                     217944.379894         
            63.833                     218603.445861         
            64.000                     219268.791925         
            64.166                     219937.923946         
            64.333                     220608.791675         
            64.500                     221285.212400         
            64.666                     221967.739116         
            64.833                     222648.810426         
            65.000                     223322.610206         
            65.166                     223993.772196         
            65.333                     224664.317314         
            65.500                     225334.288285         
            65.666                     226001.252399         
            65.833                     226668.694476         
            66.000                     227333.347600         
            66.166                     227995.935524         
            66.333                     228658.279057         
            66.500                     229328.390607         
            66.666                     230006.059864         
            66.833                     230689.349735         
            67.000                     231377.692481         
            67.166                     232070.453143         
            67.333                     232764.923757         
            67.500                     233460.581744         
            67.666                     234155.318977         
            67.833                     234851.864630         
            68.000                     235548.684289         
            68.166                     236246.398686         
            68.333                     236944.070596         
            68.500                     237647.482781         
            68.666                     238354.993512         
            68.833                     239065.390099         
            69.000                     239784.413557         
