 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   25.8      15365      100000       4        78327   
   25.9      15435      100000       4        78141   
   26.0      15496      100000       5        78317   
   26.1      15457      100000       6        78230   
   26.2      15569      100000       7        77949   
   26.3      15632      100000       4        78082   
   26.4      15537      100000       5        78135   
   26.5      15559      100000       6        78167   
   26.6      15509      100000       4        77978   
   26.7      15503      100000       5        78039   
   26.8      15662      100000       5        77835   
   26.9      15729      100000       5        77761   
   27.0      15629      100000       6        77835   
   27.1      15609      100000       4        78057   
   27.2      15555      100000       5        77955   
   27.3      15700      100000       5        77799   
   27.4      15538      100000       6        77721   
   27.5      15497      100000       4        77773   
   27.6      15597      100000       4        77929   
   27.7      15545      100000       4        78058   
   27.8      15593      100000       4        78124   
   27.9      15521      100000       4        78018   
   28.0      15655      100000       4        77909   
   28.1      15558      100000       4        78055   
   28.2      15566      100000       4        78271   
   28.3      15571      100000       5        78209   
   28.4      15550      100000       4        78045   
   28.5      15500      100000       4        78049   
   28.6      15388      100000       6        78232   
   28.7      15441      100000       5        78345   
   28.8      15578      100000       4        78384   
   28.9      15518      100000       5        78150   
   29.0      15594      100000       5        77965   
   29.1      15605      100000       5        77923   
   29.2      15559      100000       4        78074   
   29.3      15461      100000       4        78093   
   29.4      15583      100000       4        78253   
   29.5      15539      100000       4        78388   
   29.6      15297      100000       4        78713   
   29.7      15217      100000       4        78939   
   29.8      15017      100000       4        79181   
   29.9      14979      100000       5        79433   
   30.0      14861      100000       6        79535   
   30.1      14763      100000       4        79623   
   30.2      14983      100000       4        79413   
   30.3      14854      100000       4        79257   
   30.4      15130      100000       4        79141   
   30.5      14999      100000       5        78928   
   30.6      15057      100000       4        78841   
   30.7      15305      100000       5        78687   
   30.8      15296      100000       5        78405   
   30.9      15444      100000       4        78283   
   31.0      15377      100000       5        78049   
   31.1      15455      100000       5        77895   
   31.2      15813      100000       5        77762   
   31.3      15451      100000       5        78060   
   31.4      15550      100000       5        78072   
   31.5      15588      100000       6        77978   
   31.6      15627      100000       4        78010   
   31.7      15488      100000       4        78076   
   31.8      15708      100000       4        78062   
   31.9      15464      100000       4        78238   
   32.0      15358      100000       5        78447   
   32.1      15492      100000       5        78295   
   32.2      15324      100000       4        78311   
   32.3      15444      100000       6        78276   
   32.4      15663      100000       4        77970   
   32.5      15608      100000       5        77941   
   32.6      15501      100000       4        78278   
   32.7      15503      100000       4        78493   
   32.8      15426      100000       4        78733   
   32.9      15342      100000       5        78599   
   33.0      15433      100000       4        78324   
   33.1      15526      100000       4        78301   
   33.2      15572      100000       4        78505   
   33.3      15258      100000       4        78656   
   33.4      15096      100000       6        78694   
   33.5      15342      100000       6        78592   
   33.6      15360      100000       4        78559   
   33.7      15347      100000       4        78632   
   33.8      15404      100000       7        78560   
   33.9      15280      100000       4        78526   
   34.0      15467      100000       5        78484   
   34.1      15419      100000       4        78552   
   34.2      15476      100000       4        78564   
   34.3      15468      100000       4        78407   
   34.4      15596      100000       4        78303   
   34.5      15370      100000       7        78355   
   34.6      15550      100000       5        78121   
   34.7      15688      100000       4        77855   
   34.8      15801      100000       6        77803   
   34.9      15710      100000       5        77596   
   35.0      15625      100000       4        77716   
   35.1      15660      100000       4        77878   
   35.2      15610      100000       5        77988   
   35.3      15518      100000       3        78034   
   35.4      15568      100000       4        78078   
   35.5      15460      100000       5        77973   
   35.6      15580      100000       4        78073   
   35.7      15473      100000       4        78177   
   35.8      15582      100000       6        78008   
   35.9      15643      100000       6        77885   
   36.0      15519      100000       4        77937   
   36.1      15663      100000       4        77986   
   36.2      15715      100000       4        77945   
   36.3      15734      100000       4        77907   
   36.4      15622      100000       5        78088   
   36.5      15702      100000       5        77877   
   36.6      15765      100000       6        77846   
   36.7      15804      100000       6        77863   
   36.8      15773      100000       4        77767   
   36.9      15737      100000       4        77700   
   37.0      15796      100000       4        77616   
   37.1      15825      100000       4        77552   
   37.2      15880      100000       4        77377   
   37.3      15801      100000       6        77290   
   37.4      15932      100000       4        76970   
   37.5      16025      100000       4        77045   
   37.6      16049      100000       3        77216   
   37.7      16016      100000       3        77149   
   37.8      15843      100000       3        77209   
   37.9      15674      100000       3        77704   
   38.0      15661      100000       3        77766   
   38.1      15606      100000       4        78024   
   38.2      15678      100000       3        77875   
   38.3      15705      100000       4        77811   
   38.4      15499      100000       4        77875   
   38.5      15624      100000       3        77874   
   38.6      15697      100000       4        77963   
   38.7      15493      100000       3        78116   
   38.8      15562      100000       3        78257   
   38.9      15351      100000       3        78323   
   39.0      15268      100000       3        78393   
   39.1      15443      100000       2        78359   
   39.2      15368      100000       2        78542   
   39.3      15487      100000       2        78483   
   39.4      15353      100000       3        78494   
   39.5      15261      100000       3        78687   
   39.6      15305      100000       3        78767   
   39.7      15168      100000       3        78924   
   39.8      15053      100000       3        78947   
   39.9      15269      100000       3        78903   
   40.0      15280      100000       5        78826   
   40.1      15372      100000       3        78661   
   40.2      15432      100000       3        78676   
   40.3      15158      100000       3        78756   
   40.4      15117      100000       3        79020   
   40.5      15107      100000       4        79009   
   40.6      15213      100000       3        78948   
   40.7      15132      100000       4        78984   
   40.8      15179      100000       4        79018   
   40.9      15099      100000       4        78840   
   41.0      15156      100000       4        78903   
   41.1      15242      100000       4        78902   
   41.2      15173      100000       4        78797   
   41.3      15351      100000       3        78774   
   41.4      15248      100000       4        78611   
   41.5      15401      100000       3        78613   
   41.6      15262      100000       3        78683   
   41.7      15332      100000       3        78778   
   41.8      15264      100000       5        78899   
   41.9      15253      100000       3        79020   
   42.0      15157      100000       3        79094   
   42.1      15018      100000       3        79295   
   42.2      15005      100000       3        79379   
   42.3      15054      100000       3        79332   
   42.4      15056      100000       3        79350   
   42.5      14913      100000       3        79389   
   42.6      15125      100000       3        79302   
   42.7      15007      100000       3        79208   
   42.8      14936      100000       3        79109   
   42.9      15113      100000       5        78871   
   43.0      15368      100000       5        78707   
   43.1      15244      100000       3        78801   
   43.2      15304      100000       4        78791   
   43.3      15311      100000       4        78901   
   43.4      15306      100000       4        78858   
   43.5      15152      100000       6        78948   
   43.6      15144      100000       4        79008   
   43.7      15177      100000       3        79063   
   43.8      15049      100000       3        79173   
   43.9      15025      100000       3        79135   
   44.0      15246      100000       3        78733   
   44.1      15445      100000       3        78570   
   44.2      15431      100000       3        78441   
   44.3      15366      100000       3        78296   
   44.4      15478      100000       3        78376   
   44.5      15493      100000       2        78396   
   44.6      15461      100000       2        78419   
   44.7      15451      100000       3        78455   
   44.8      15300      100000       2        78400   
   44.9      15443      100000       2        78384   
   45.0      15560      100000       2        78329   
   45.1      15355      100000       2        78630   
   45.2      15275      100000       2        78842   
   45.3      15270      100000       2        78857   
   45.4      15120      100000       2        78975   
   45.5      14986      100000       2        79183   
   45.6      15043      100000       2        79167   
   45.7      15016      100000       3        79365   
   45.8      14886      100000       2        79681   
   45.9      14854      100000       3        79587   
   46.0      14996      100000       2        79645   
   46.1      14856      100000       2        79671   
   46.2      14706      100000       3        79810   
   46.3      14894      100000       2        79450   
   46.4      14974      100000       2        79354   
   46.5      15032      100000       2        79422   
   46.6      14911      100000       2        79545   
   46.7      14934      100000       2        79620   
   46.8      14795      100000       2        79822   
   46.9      14630      100000       2        79892   
   47.0      14764      100000       2        79962   
   47.1      14841      100000       3        80046   
   47.2      14804      100000       2        79998   
   47.3      14740      100000       3        80062   
   47.4      14610      100000       2        79822   
   47.5      14848      100000       2        79609   
   47.6      14807      100000       2        79629   
   47.7      14946      100000       2        79672   
   47.8      14908      100000       2        79642   
   47.9      14943      100000       3        79480   
   48.0      15003      100000       3        79411   
   48.1      15100      100000       2        79424   
   48.2      14913      100000       2        79423   
   48.3      15033      100000       2        79492   
   48.4      14891      100000       2        79418   
   48.5      14984      100000       2        79535   
   48.6      14853      100000       3        79706   
   48.7      14762      100000       2        79856   
   48.8      14679      100000       3        79665   
   48.9      14905      100000       3        79539   
   49.0      14805      100000       2        79570   
   49.1      14902      100000       2        79598   
   49.2      14778      100000       3        79644   
   49.3      14876      100000       2        79590   
   49.4      15054      100000       2        79363   
   49.5      15038      100000       2        79300   
