 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   36.8      26998      100000      827       37005        0          0     
   36.9      26975      100000      855       37998        0          0     
   37.0      26915      100000      825       37625        0          0     
   37.1      27149      100000      835       36595        0          0     
   37.2      27208      100000      819       37392        0          0     
   37.3      27135      100000      821       37401        0          0     
   37.4      27402      100000      821       35719        0          0     
   37.5      27176      100000      801       37261        0          0     
   37.6      27054      100000      824       37247        0          0     
   37.7      27358      100000      814       36725        0          0     
   37.8      26922      100000      823       37452        0          0     
   37.9      26947      100000      861       38434        0          0     
   38.0      27179      100000      801       37199        0          0     
   38.1      27078      100000      817       37237        0          0     
   38.2      27422      100000      818       36125        0          0     
   38.3      27229      100000      839       37237        0          0     
   38.4      27232      100000      810       36626        0          0     
   38.5      27202      100000      855       37457        0          0     
   38.6      27110      100000      841       37346        0          0     
   38.7      27397      100000      784       36340        0          0     
   38.8      27192      100000      818       36641        0          0     
   38.9      27134      100000      823       36896        0          0     
   39.0      27108      100000      795       35848        0          0     
   39.1      27182      100000      773       36453        0          0     
   39.2      27290      100000      835       36739        0          0     
   39.3      27378      100000      802       36707        0          0     
   39.4      27249      100000      780       35634        0          0     
   39.5      27018      100000      808       36715        0          0     
   39.6      27227      100000      810       37273        0          0     
   39.7      27233      100000      825       36443        0          0     
   39.8      27094      100000      821       36992        0          0     
   39.9      26784      100000      818       36755        0          0     
   40.0      27064      100000      832       37287        0          0     
   40.1      27075      100000      817       37956        0          0     
   40.2      27086      100000      843       37750        0          0     
   40.3      26993      100000      811       36940        0          0     
   40.4      27304      100000      817       36210        0          0     
   40.5      27069      100000      859       37673        0          0     
   40.6      27028      100000      853       37997        0          0     
   40.7      27135      100000      818       37372        0          0     
   40.8      26928      100000      824       37742        0          0     
   40.9      27060      100000      815       37631        0          0     
   41.0      27514      100000      791       36665        0          0     
   41.1      27274      100000      811       36253        0          0     
   41.2      27275      100000      825       36969        0          0     
   41.3      27076      100000      820       37206        0          0     
   41.4      27089      100000      813       36100        0          0     
   41.5      27441      100000      869       37056        0          0     
   41.6      27107      100000      778       36887        0          0     
   41.7      27045      100000      813       37675        0          0     
   41.8      27264      100000      839       36933        0          0     
   41.9      27121      100000      809       36646        0          0     
   42.0      27423      100000      777       36041        0          0     
   42.1      27531      100000      811       35983        0          0     
   42.2      27272      100000      820       36626        0          0     
   42.3      27357      100000      815       36410        0          0     
   42.4      26989      100000      820       37456        0          0     
   42.5      27178      100000      820       36150        0          0     
   42.6      26890      100000      832       38176        0          0     
   42.7      27344      100000      808       36871        0          0     
   42.8      27181      100000      803       36746        0          0     
   42.9      26894      100000      820       38559        0          0     
   43.0      27280      100000      791       36373        0          0     
   43.1      27010      100000      804       36568        0          0     
   43.2      27026      100000      830       37369        0          0     
   43.3      27282      100000      799       35882        0          0     
   43.4      27106      100000      844       38065        0          0     
   43.5      27124      100000      835       36781        0          0     
   43.6      26924      100000      824       37087        0          0     
   43.7      27152      100000      824       37356        0          0     
   43.8      26846      100000      826       37800        0          0     
   43.9      27381      100000      790       36266        0          0     
   44.0      27308      100000      800       36431        0          0     
   44.1      26870      100000      812       37266        0          0     
   44.2      27284      100000      832       36770        0          0     
   44.3      27302      100000      834       36612        0          0     
   44.4      27253      100000      843       36785        0          0     
   44.5      27153      100000      809       37027        0          0     
   44.6      27178      100000      789       36194        0          0     
   44.7      27122      100000      836       37213        0          0     
   44.8      26981      100000      822       37037        0          0     
   44.9      27051      100000      815       37271        0          0     
   45.0      27427      100000      824       36396        0          0     
   45.1      27085      100000      830       37103        0          0     
   45.2      27281      100000      823       36517        0          0     
   45.3      27364      100000      807       36920        0          0     
   45.4      27414      100000      819       37107        0          0     
   45.5      27157      100000      827       36597        0          0     
   45.6      27121      100000      812       37364        0          0     
   45.7      27207      100000      826       36640        0          0     
   45.8      27153      100000      865       37028        0          0     
   45.9      27208      100000      833       37075        0          0     
   46.0      26908      100000      829       37431        0          0     
   46.1      27011      100000      793       36432        0          0     
   46.2      27163      100000      840       36616        0          0     
   46.3      27290      100000      829       37092        0          0     
   46.4      27112      100000      857       37681        0          0     
   46.5      27209      100000      831       36614        0          0     
   46.6      27120      100000      777       37019        0          0     
   46.7      26925      100000      836       37884        0          0     
   46.8      27301      100000      836       36763        0          0     
   46.9      27173      100000      835       36748        0          0     
   47.0      26904      100000      839       37886        0          0     
   47.1      26872      100000      834       37837        0          0     
   47.2      27164      100000      845       37054        0          0     
   47.3      27270      100000      799       36474        0          0     
   47.4      27162      100000      843       37268        0          0     
   47.5      27220      100000      827       37658        0          0     
   47.6      27099      100000      802       36388        0          0     
   47.7      27234      100000      797       37272        0          0     
   47.8      26970      100000      810       36590        0          0     
   47.9      27151      100000      811       36815        0          0     
   48.0      27290      100000      817       37008        0          0     
   48.1      26901      100000      791       37160        0          0     
   48.2      27337      100000      806       36905        0          0     
   48.3      26919      100000      832       37728        0          0     
   48.4      27099      100000      803       37283        0          0     
   48.5      27025      100000      826       37010        0          0     
   48.6      27031      100000      806       37648        0          0     
   48.7      27109      100000      816       36705        0          0     
   48.8      27312      100000      825       37294        0          0     
   48.9      27143      100000      861       36835        0          0     
   49.0      27271      100000      801       36791        0          0     
   49.1      27187      100000      820       37502        0          0     
   49.2      26982      100000      821       37037        0          0     
   49.3      26996      100000      832       37242        0          0     
   49.4      27029      100000      842       37470        0          0     
   49.5      27277      100000      809       36547        0          0     
   49.6      27013      100000      817       37600        0          0     
   49.7      27133      100000      819       37018        0          0     
   49.8      26975      100000      807       36709        0          0     
   49.9      27408      100000      794       36665        0          0     
   50.0      27218      100000      763       36685        0          0     
   50.1      27161      100000      836       36513        0          0     
   50.2      27254      100000      820       36649        0          0     
   50.3      27274      100000      822       36930        0          0     
   50.4      27148      100000      809       36327        0          0     
   50.5      27229      100000      834       36369        0          0     
   50.6      27102      100000      821       36255        0          0     
   50.7      27039      100000      809       36975        0          0     
   50.8      27401      100000      808       36693        0          0     
   50.9      27294      100000      826       36943        0          0     
   51.0      26891      100000      821       37820        0          0     
   51.1      27105      100000      785       37310        0          0     
   51.2      27073      100000      806       37139        0          0     
   51.3      27239      100000      853       37335        0          0     
   51.4      27294      100000      804       36396        0          0     
   51.5      26978      100000      844       37582        0          0     
   51.6      27277      100000      832       36606        0          0     
   51.7      27113      100000      811       37102        0          0     
   51.8      27446      100000      808       36680        0          0     
   51.9      26851      100000      846       37365        0          0     
   52.0      27190      100000      815       36751        0          0     
   52.1      27306      100000      813       36382        0          0     
   52.2      27385      100000      811       36137        0          0     
   52.3      26877      100000      827       37794        0          0     
   52.4      27161      100000      821       37285        0          0     
   52.5      27117      100000      797       36516        0          0     
   52.6      27228      100000      850       37301        0          0     
   52.7      27279      100000      804       36693        0          0     
   52.8      27136      100000      799       36689        0          0     
   52.9      27108      100000      798       36513        0          0     
   53.0      27125      100000      813       36347        0          0     
   53.1      27184      100000      834       37027        0          0     
   53.2      27440      100000      825       36129        0          0     
   53.3      27366      100000      798       36948        0          0     
   53.4      27234      100000      785       36502        0          0     
   53.5      27103      100000      778       36083        0          0     
   53.6      27347      100000      822       36623        0          0     
   53.7      27322      100000      811       36759        0          0     
   53.8      27289      100000      810       36505        0          0     
   53.9      27198      100000      813       37025        0          0     
   54.0      27178      100000      828       36992        0          0     
   54.1      27218      100000      833       36489        0          0     
   54.2      27190      100000      817       36726        0          0     
   54.3      27205      100000      812       37512        0          0     
   54.4      26863      100000      838       37400        0          0     
   54.5      27272      100000      790       36068        0          0     
   54.6      27029      100000      836       36850        0          0     
   54.7      26993      100000      800       37879        0          0     
   54.8      26925      100000      831       37867        0          0     
   54.9      27215      100000      827       36309        0          0     
   55.0      27156      100000      853       37114        0          0     
   55.1      27195      100000      826       37577        0          0     
   55.2      27315      100000      845       37557        0          0     
   55.3      26914      100000      833       37803        0          0     
   55.4      27025      100000      801       36731        0          0     
   55.5      27052      100000      847       37204        0          0     
   55.6      27229      100000      836       36756        0          0     
   55.7      27002      100000      824       36928        0          0     
   55.8      27005      100000      820       37592        0          0     
   55.9      26896      100000      823       37208        0          0     
   56.0      27012      100000      825       36962        0          0     
   56.1      27213      100000      824       36454        0          0     
   56.2      27194      100000      816       36214        0          0     
   56.3      27182      100000      822       37453        0          0     
   56.4      27365      100000      799       36692        0          0     
   56.5      27348      100000      829       36371        0          0     
   56.6      27080      100000      817       36983        0          0     
   56.7      26907      100000      844       37493        0          0     
   56.8      27287      100000      827       36905        0          0     
   56.9      27206      100000      796       36699        0          0     
   57.0      27160      100000      798       37132        0          0     
   57.1      27037      100000      856       37780        0          0     
   57.2      27274      100000      788       36356        0          0     
   57.3      27237      100000      822       37210        0          0     
   57.4      27248      100000      836       37108        0          0     
   57.5      27174      100000      762       36421        0          0     
   57.6      27014      100000      830       37366        0          0     
   57.7      27150      100000      824       36640        0          0     
   57.8      27295      100000      800       36249        0          0     
   57.9      26882      100000      832       37370        0          0     
   58.0      27257      100000      818       36626        0          0     
   58.1      26998      100000      795       36882        0          0     
   58.2      27367      100000      823       36228        0          0     
   58.3      27239      100000      809       36355        0          0     
   58.4      27495      100000      810       35925        0          0     
   58.5      27149      100000      860       37246        0          0     
   58.6      27158      100000      816       37503        0          0     
   58.7      27116      100000      810       36559        0          0     
   58.8      27428      100000      824       36544        0          0     
   58.9      27031      100000      828       37563        0          0     
   59.0      26907      100000      822       37079        0          0     
   59.1      26867      100000      803       36843        0          0     
   59.2      27407      100000      806       36185        0          0     
   59.3      26863      100000      821       38415        0          0     
   59.4      27183      100000      801       37406        0          0     
   59.5      27227      100000      795       36785        0          0     
   59.6      27029      100000      824       37401        0          0     
   59.7      27157      100000      837       36931        0          0     
