 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
2150000.00   35562        0        35562      14438        0        14438       1355        0         1355       253       0.9477     0.9477     0.0000     0.0000      0.44     837.3860    0.0000    837.3860  9470.9812    0.0000   9470.9812   78539.82 
2200000.00   35548        0        35548      14452        0        14452       1413        0         1413       262       0.9507     0.9507     0.0000     0.0000      0.44     872.0576    0.0000    872.0576  9478.7612    0.0000   9478.7612   78539.82 
2250000.00   35789        0        35789      14211        0        14211       1512        0         1512       258       0.9249     0.9249     0.0000     0.0000      0.44     936.4601    0.0000    936.4601  9314.9719    0.0000   9314.9719   78539.82 
2300000.00   34746        0        34746      15254        0        15254       1506        0         1506       250       0.9293     0.9293     0.0000     0.0000      0.44     936.3115    0.0000    936.3115  10011.8213   0.0000   10011.8213  78539.82 
2350000.00   34393        0        34393      15607        0        15607       1429        0         1429       251       0.9111     0.9111     0.0000     0.0000      0.44     881.2214    0.0000    881.2214  10229.2676   0.0000   10229.2676  78539.82 
2400000.00   34223        0        34223      15777        0        15777       1508        0         1508       250       0.9361     0.9361     0.0000     0.0000      0.44     930.8770    0.0000    930.8770  10330.0516   0.0000   10330.0516  78539.82 
2450000.00   34345        0        34345      15655        0        15655       1511        0         1511       260       0.9388     0.9388     0.0000     0.0000      0.44     938.1409    0.0000    938.1409  10247.6687   0.0000   10247.6687  78539.82 
2500000.00   35169        0        35169      14831        0        14831       1564        0         1564       243       0.9443     0.9443     0.0000     0.0000      0.44     974.8419    0.0000    974.8419  9712.6533    0.0000   9712.6533   78539.82 
2550000.00   36079        0        36079      13921        0        13921       1659        0         1659       267       0.9484     0.9484     0.0000     0.0000      0.44    1025.7865    0.0000   1025.7865  9104.6157    0.0000   9104.6157   78539.82 
2600000.00   35932        0        35932      14068        0        14068       1549        0         1549       281       0.9506     0.9506     0.0000     0.0000      0.44     953.7236    0.0000    953.7236  9201.2004    0.0000   9201.2004   78539.82 
2650000.00   36006        0        36006      13994        0        13994       1669        0         1669       274       0.9316     0.9316     0.0000     0.0000      0.44    1030.3904    0.0000   1030.3904  9144.0784    0.0000   9144.0784   78539.82 
2700000.00   36296        0        36296      13704        0        13704       1560        0         1560       268       0.9520     0.9520     0.0000     0.0000      0.44     959.7868    0.0000    959.7868  8939.5860    0.0000   8939.5860   78539.82 
2750000.00   36056        0        36056      13944        0        13944       1377        0         1377       290       0.9435     0.9435     0.0000     0.0000      0.44     838.1878    0.0000    838.1878  9111.5850    0.0000   9111.5850   78539.82 
2800000.00   35604        0        35604      14396        0        14396       1359        0         1359       252       0.9412     0.9412     0.0000     0.0000      0.44     820.8610    0.0000    820.8610  9397.7313    0.0000   9397.7313   78539.82 
2850000.00   35632        0        35632      14368        0        14368       1565        0         1565       266       0.9318     0.9318     0.0000     0.0000      0.44     955.9048    0.0000    955.9048  9379.7225    0.0000   9379.7225   78539.82 
2900000.00   34329        0        34329      15671        0        15671       1539        0         1539       248       0.9324     0.9324     0.0000     0.0000      0.44     970.4897    0.0000    970.4897  10226.6417   0.0000   10226.6417  78539.82 
2950000.00   34141        0        34141      15859        0        15859       1543        0         1543       243       0.9213     0.9213     0.0000     0.0000      0.44     939.3103    0.0000    939.3103  10376.4072   0.0000   10376.4072  78539.82 
3000000.00   35464        0        35464      14536        0        14536       1385        0         1385       264       0.9363     0.9363     0.0000     0.0000      0.44     834.1666    0.0000    834.1666  9475.9274    0.0000   9475.9274   78539.82 
3050000.00   36392        0        36392      13608        0        13608       1420        0         1420       243       0.9190     0.9190     0.0000     0.0000      0.44     856.4407    0.0000    856.4407  8868.1630    0.0000   8868.1630   78539.82 
3100000.00   36686        0        36686      13314        0        13314       1592        0         1592       242       0.9349     0.9349     0.0000     0.0000      0.44     967.2893    0.0000    967.2893  8677.1703    0.0000   8677.1703   78539.82 
3150000.00   36395        0        36395      13605        0        13605       1526        0         1526       238       0.9339     0.9339     0.0000     0.0000      0.44     927.9195    0.0000    927.9195  8880.9628    0.0000   8880.9628   78539.82 
3200000.00   36466        0        36466      13534        0        13534       1671        0         1671       246       0.9853     0.9853     0.0000     0.0000      0.44    1021.9765    0.0000   1021.9765  8837.4986    0.0000   8837.4986   78539.82 
3250000.00   36027        0        36027      13973        0        13973       1568        0         1568       225       0.9613     0.9613     0.0000     0.0000      0.44     952.0442    0.0000    952.0442  9111.8113    0.0000   9111.8113   78539.82 
3300000.00   36706        0        36706      13294        0        13294       1600        0         1600       233       0.9251     0.9251     0.0000     0.0000      0.44     973.5909    0.0000    973.5909  8666.1171    0.0000   8666.1171   78539.82 
3350000.00   36210        0        36210      13790        0        13790       1652        0         1652       246       0.9481     0.9481     0.0000     0.0000      0.44    1009.6896    0.0000   1009.6896  8980.0472    0.0000   8980.0472   78539.82 
3400000.00   37370        0        37370      12630        0        12630       1645        0         1645       247       0.9458     0.9458     0.0000     0.0000      0.44    1003.3159    0.0000   1003.3159  8198.7309    0.0000   8198.7309   78539.82 
3450000.00   36641        0        36641      13359        0        13359       1790        0         1790       267       0.9294     0.9294     0.0000     0.0000      0.44    1091.9413    0.0000   1091.9413  8675.2111    0.0000   8675.2111   78539.82 
3500000.00   35508        0        35508      14492        0        14492       1736        0         1736       258       0.9382     0.9382     0.0000     0.0000      0.44    1056.4802    0.0000   1056.4802  9445.5539    0.0000   9445.5539   78539.82 
