 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
  221.7      198847    1000000     30504      747757     14548      644514      1527      391391      354       313063       8        260199       5        258190       1        246755       1        246755       1        246755  
  223.3      198209    1000000     30389      748415     14482      645421      1523      392864      337       313262       6        263047       2        260835       1        258664       1        258664       1        258664  
  225.0      198246    1000000     30208      747829     14295      645129      1557      396755      371       316751       6        261269       5        260432       2        252712       2        252712       1        236202  
  226.7      198684    1000000     30470      748468     14433      644594      1534      394210      360       315114       4        260786       2        259224       2        259224       1        252800       1        252800  
  228.3      198614    1000000     30448      747770     14371      643747      1569      393938      342       311652       9        262172       4        259044       3        254508       1        242984       1        242984  
  230.0      198069    1000000     30308      748881     14394      646116      1579      397346      377       317334       2        260333       1        259438       1        259438       1        259438       1        259438  
  231.7      198901    1000000     30493      747479     14460      644289      1536      392904      365       314952       11       262107       5        257790       3        252404       2        246417       1        223816  
  233.3      197726    1000000     30222      748943     14408      646771      1599      398399      375       315679       7        259538       4        257272       3        255400       1        244171       1        244171  
  235.0      198144    1000000     30558      749281     14574      646379      1616      396202      349       310499       7        257341       1        253524       1        253524       1        253524       1        253524  
  236.7      198377    1000000     30384      748398     14503      645956      1577      394095      360       311621       12       259989       6        256537       3        248216       2        242839       1        226035  
  238.3      198854    1000000     30473      748133     14542      645404      1578      392012      350       310044       12       257854       5        253690       3        248537       1        237700       1        237700  
  240.0      198007    1000000     30599      749328     14538      645775      1587      394102      369       312293       11       259383       6        256416       4        250231       2        239450       1        219131  
  241.7      198608    1000000     30500      748161     14491      644965      1544      392372      362       312146       6        257777       4        256604       2        250428       1        245040       1        245040  
  243.3      198022    1000000     30311      749498     14436      647045      1610      396965      371       314031       12       261102       6        257550       3        249899       1        236346       1        236346  
  245.0      198345    1000000     30521      748042     14425      643855      1565      394494      371       314617       12       261610       4        256220       2        251096       1        245240       1        245240  
  246.7      198630    1000000     30390      748121     14376      645237      1572      393660      386       314174       7        257485       3        255116       1        246048       1        246048       1        246048  
  248.3      198114    1000000     30596      749265     14682      646628      1570      392818      380       312848       8        256336       6        255025       2        246326       1        241101       1        241101  
  250.0      198158    1000000     30529      749191     14468      645350      1610      394286      364       310959       9        257274       4        254313       1        248186       1        248186       1        248186  
  251.7      197845    1000000     30325      749344     14479      647206      1635      395719      382       311462       6        256110       3        254453       2        253271       1        247396       1        247396  
  253.3      198773    1000000     30673      748409     14639      645037      1572      390164      362       309379       10       255441       7        253604       2        240053       1        234210       1        234210  
  255.0      198183    1000000     30735      749263     14580      645222      1565      392190      373       312497       7        256624       2        253538       2        253538       1        247013       1        247013  
  256.7      197560    1000000     30568      749887     14626      647106      1544      392305      380       314520       4        256383       1        254706       1        254706       1        254706       1        254706  
  258.3      198629    1000000     30556      748135     14478      644400      1588      393846      356       311184       7        256967       3        254535       1        250294       1        250294       1        250294  
  260.0      198441    1000000     30398      747959     14547      645524      1624      394550      366       310023       6        256172       2        253683       1        249506       1        249506       1        249506  
  261.7      198138    1000000     30532      748662     14480      644847      1619      394612      380       311454       6        254406       2        252109       1        249208       1        249208       1        249208  
  263.3      198424    1000000     30653      748081     14649      644899      1603      391875      364       308479       9        256434       6        254508       2        245026       1        238168       1        238168  
  265.0      198197    1000000     30659      749355     14633      645930      1603      392400      366       309204       9        257674       2        253062       1        250691       1        250691       1        250691  
  266.7      198413    1000000     30560      747169     14575      644251      1592      390251      345       307524       5        255490       4        254864       1        249983       1        249983       1        249983  
  268.3      198638    1000000     30612      747813     14456      643315      1571      392232      393       313503       4        255780       3        255263       1        250777       1        250777       1        250777  
  270.0      198301    1000000     30643      748556     14636      645535      1564      391203      365       310467       7        257825       1        254276       1        254276       1        254276       1        254276  
  271.7      199071    1000000     30657      748058     14530      643978      1625      392883      391       310805       7        253861       3        251115       2        248550       1        242449       1        242449  
  273.3      198350    1000000     30745      748877     14631      644930      1575      391376      376       311165       7        256164       4        254441       2        249995       1        244162       1        244162  
  275.0      198529    1000000     30660      748675     14533      644358      1570      391516      381       312087       5        255404       2        253468       2        253468       1        247919       1        247919  
  276.7      198783    1000000     30519      748429     14561      645553      1650      393923      382       308721       2        250339       1        249712       1        249712       1        249712       1        249712  
  278.3      197852    1000000     30432      748275     14593      646080      1628      392895      387       309643       7        253851       2        250646       1        248297       1        248297       1        248297  
  280.0      198521    1000000     30545      747238     14605      644246      1597      391359      385       309444       7        252440       4        250249       2        245549       1        239821       1        239821  
  281.7      197924    1000000     30529      749067     14574      645911      1613      391554      360       307740       6        255116       3        253428       2        251848       1        245533       1        245533  
  283.3      198437    1000000     30687      748702     14559      644146      1597      392529      386       311630       5        255074       2        253333       1        250685       1        250685       1        250685  
  285.0      198155    1000000     30604      749132     14500      645205      1654      393702      365       306055       5        252874       3        251809       2        250638       1        242843       1        242843  
  286.7      199045    1000000     30767      748543     14558      644232      1641      392648      376       308213       7        253460       3        251051       2        248356       1        241964       1        241964  
  288.3      198600    1000000     30604      748314     14621      645105      1622      390525      373       307158       8        252013       5        250263       3        247495       2        239800       1        229490  
  290.0      198168    1000000     30620      748833     14594      645092      1634      391651      378       307472       5        252819       4        252248       2        249050       2        249050       1        230947  
  291.7      198119    1000000     30614      748789     14557      644983      1645      393402      388       309421       7        252281       4        250658       2        245016       1        238831       1        238831  
  293.3      197755    1000000     30691      749132     14734      645904      1608      390867      403       310495       7        250624       5        249244       3        244469       1        231692       1        231692  
  295.0      198396    1000000     30824      748754     14616      643942      1620      390631      385       308085       9        251336       7        250304       4        241885       1        220398       1        220398  
  296.7      198827    1000000     30567      747753     14682      645085      1624      391475      381       308711       12       251953       6        248495       4        245026       1        225835       1        225835  
  298.3      198243    1000000     30652      748622     14555      644878      1631      393088      396       310353       5        251335       3        250212       2        247359       1        239316       1        239316  
  300.0      198585    1000000     30630      748796     14580      644979      1684      393738      394       306141       7        250874       5        249739       3        242978       1        227815       1        227815  
  301.7      198819    1000000     30862      748256     14693      643849      1619      389037      376       305580       6        252072       4        250671       2        246939       1        240575       1        240575  
  303.3      197849    1000000     30514      749399     14667      647156      1658      394511      415       311343       7        251985       3        249841       3        249841       1        236666       1        236666  
  305.0      198347    1000000     30594      748919     14526      645117      1624      395098      392       312003       6        254169       4        253127       4        253127       2        238208       1        226501  
  306.7      197501    1000000     30537      749848     14710      647614      1644      392926      378       307130       8        250469       6        249342       3        240748       1        227138       1        227138  
  308.3      198694    1000000     30722      748459     14642      644702      1592      390757      398       310490       6        250671       4        249526       3        248282       1        234145       1        234145  
  310.0      198518    1000000     30655      747679     14667      644473      1625      391014      382       307557       6        250497       3        248905       3        248905       1        235899       1        235899  
  311.7      198368    1000000     30765      748612     14666      644541      1605      389494      369       307015       8        251607       5        249807       4        248222       2        236709       1        225872  
  313.3      199166    1000000     30735      747748     14570      643354      1653      391110      377       305372       5        247696       2        245783       2        245783       2        245783       1        228595  
  315.0      198294    1000000     30647      748337     14631      644890      1644      393172      394       309054       6        250752       2        247765       2        247765       1        242682       1        242682  
  316.7      198568    1000000     30636      748265     14623      644835      1636      391844      388       308211       8        252659       2        248682       1        247179       1        247179       1        247179  
  318.3      198185    1000000     30497      748953     14584      646372      1649      395123      411       312292       8        252256       4        249755       3        248364       2        242960       1        225824  
  320.0      198624    1000000     30768      748569     14604      644275      1608      391595      414       312233       4        251138       2        249959       1        247968       1        247968       1        247968  
  321.7      198590    1000000     30634      748023     14691      645255      1603      390079      391       309245       8        251364       2        247903       1        246439       1        246439       1        246439  
