 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   8.2       18413      100000      634       76506       101       73243        8        72055        8        72055        8        72055        8        72055        5        60490        3        45375        0          0     
   8.3       18320      100000      599       76441        92       73315        8        72192        8        72192        8        72192        8        72192        5        60674        3        45681        0          0     
   8.4       18322      100000      579       76722        95       73713        9        72577        9        72577        9        72577        9        72577        6        61154        3        39974        0          0     
   8.5       18087      100000      598       77077        89       73971        9        72939        9        72939        9        72939        9        72939        7        66384        3        40154        0          0     
   8.6       18273      100000      552       76628        79       73735        9        72870        9        72870        9        72870        9        72870        6        61327        3        40184        0          0     
   8.7       18029      100000      597       77075        78       73837        8        72969        8        72969        8        72969        8        72969        5        61579        3        46416        0          0     
   8.8       18088      100000      561       76923        65       73924        8        73165        8        73165        8        73165        8        73165        6        66705        3        45192        0          0     
   8.9       18010      100000      560       76866        85       73980        8        73065        8        73065        8        73065        8        73065        6        66541        3        45050        0          0     
   9.0       17867      100000      556       77322        88       74446        8        73368        8        73368        8        73368        8        73368        6        66846        3        45300        0          0     
   9.1       17740      100000      584       77548        76       74419        8        73551        8        73551        8        73551        8        73551        6        67159        3        45494        0          0     
   9.2       18081      100000      548       77155        69       74256        9        73464        9        73464        9        73464        9        73464        6        62255        3        40813        0          0     
   9.3       17960      100000      569       77139        73       74076        8        73253        8        73253        8        73253        8        73253        6        66866        3        45475        0          0     
   9.4       17811      100000      578       77399        90       74422        9        73383        9        73383        9        73383        9        73383        6        62318        3        40920        0          0     
   9.5       17967      100000      574       77169        89       74212        8        73154        8        73154        8        73154        8        73154        6        67004        3        45729        0          0     
   9.6       18148      100000      535       76895        80       74125        8        73180        8        73180        8        73180        8        73180        6        67112        3        45932        0          0     
   9.7       18005      100000      579       77314        88       74289        8        73155        8        73155        8        73155        8        73155        6        67139        3        46011        0          0     
   9.8       17691      100000      562       77350        78       74379        8        73490        8        73490        8        73490        8        73490        6        67604        3        46418        0          0     
   9.9       17829      100000      516       77251        73       74550        8        73714        8        73714        8        73714        8        73714        6        67882        3        46682        0          0     
   10.0      17591      100000      533       77635        80       74874        8        73980        8        73980        8        73980        8        73980        6        68091        3        46775        0          0     
   10.1      17459      100000      533       77942        96       75289        8        74132        8        74132        8        74132        8        74132        6        68332        3        46777        0          0     
   10.2      17586      100000      532       77511        82       74779        8        73829        8        73829        8        73829        8        73829        6        68139        3        46690        0          0     
   10.3      17657      100000      569       77391        63       74291        8        73623        8        73623        8        73623        8        73623        6        68040        3        46683        0          0     
   10.4      17875      100000      592       77478        76       74320        8        73486        8        73486        8        73486        8        73486        6        67989        3        46743        0          0     
   10.5      17927      100000      564       77380        85       74454        8        73474        8        73474        8        73474        8        73474        6        68032        3        46779        0          0     
   10.6      17946      100000      554       77305        73       74405        7        73558        7        73558        7        73558        7        73558        5        68154        3        52775        0          0     
   10.7      17861      100000      537       77227        85       74444        8        73419        8        73419        8        73419        8        73419        6        67999        3        46911        0          0     
   10.8      17790      100000      551       77408        89       74568        8        73533        8        73533        8        73533        8        73533        6        68170        3        47019        0          0     
   10.9      17938      100000      542       77181        85       74337        7        73315        7        73315        7        73315        7        73315        5        67970        3        52710        0          0     
   11.0      17891      100000      566       77034        85       74090        8        73105        8        73105        8        73105        8        73105        6        67896        3        46777        0          0     
   11.1      18021      100000      553       76976        69       74031        7        73205        7        73205        7        73205        7        73205        5        68137        3        52809        0          0     
   11.2      18117      100000      579       76879        70       73740        7        72951        7        72951        7        72951        7        72951        5        68023        3        52564        0          0     
   11.3      18014      100000      582       77096        86       74085        7        73100        7        73100        7        73100        7        73100        5        68240        3        52715        0          0     
   11.4      18117      100000      582       77024        83       73987        7        72980        7        72980        7        72980        7        72980        5        68243        3        52786        0          0     
   11.5      17893      100000      591       77208       101       74248        7        73038        7        73038        7        73038        7        73038        5        68358        3        52830        0          0     
   11.6      18299      100000      529       76488        76       73708        7        72838        7        72838        7        72838        7        72838        5        68234        3        52746        0          0     
   11.7      18098      100000      607       77025        98       73946        7        72765        7        72765        7        72765        7        72765        5        68240        3        52663        0          0     
   11.8      18228      100000      602       76692        90       73552        7        72485        7        72485        7        72485        7        72485        5        68043        3        52493        0          0     
   11.9      18144      100000      610       76906        92       73739        7        72613        7        72613        7        72613        7        72613        5        68190        3        52593        0          0     
   12.0      18256      100000      600       76790        83       73624        7        72679        7        72679        7        72679        7        72679        5        68387        3        52920        0          0     
   12.1      18216      100000      564       76832        91       73960        7        72928        7        72928        7        72928        7        72928        5        68645        3        53203        0          0     
   12.2      17805      100000      531       77207        84       74462        7        73452        7        73452        7        73452        7        73452        5        69125        3        53631        0          0     
   12.3      17784      100000      535       77245        82       74469        7        73506        7        73506        7        73506        7        73506        5        69172        3        53736        0          0     
   12.4      17849      100000      508       77195        71       74531        8        73759        8        73759        8        73759        8        73759        6        69484        3        48544        0          0     
   12.5      17712      100000      519       77360        82       74657        8        73675        8        73675        8        73675        8        73675        6        69546        3        48601        0          0     
   12.6      17687      100000      551       77603        89       74785        8        73768        8        73768        8        73768        8        73768        6        69633        3        48806        0          0     
   12.7      17908      100000      534       77176        83       74432        8        73492        8        73492        8        73492        8        73492        6        69471        3        48673        0          0     
   12.8      17923      100000      520       77106        86       74462        8        73440        8        73440        8        73440        8        73440        6        69485        3        48623        0          0     
   12.9      17844      100000      550       77406        78       74551        8        73658        8        73658        8        73658        8        73658        6        69740        3        48747        0          0     
   13.0      17882      100000      537       77169        69       74338        8        73571        8        73571        8        73571        8        73571        6        69706        3        48722        0          0     
   13.1      17961      100000      564       77173        68       74151        7        73377        7        73377        7        73377        7        73377        5        69696        3        54098        0          0     
   13.2      17873      100000      552       77273        80       74403        7        73426        7        73426        7        73426        7        73426        5        69842        3        54285        0          0     
   13.3      17794      100000      558       77416        92       74535        8        73478        7        73422        7        73422        7        73422        5        69926        3        54482        0          0     
