             TauR                           MSD              
            93.833                     888543.025458         
            94.000                     891441.100307         
            94.166                     894339.527834         
            94.333                     897241.580807         
            94.500                     900159.529694         
            94.666                     903100.208713         
            94.833                     906056.428816         
            95.000                     909034.360553         
            95.166                     912034.914665         
            95.333                     915033.222854         
            95.500                     918026.052884         
            95.666                     920979.766736         
            95.833                     923869.095451         
            96.000                     926708.644043         
            96.166                     929499.023751         
            96.333                     932268.476504         
            96.500                     935024.532233         
            96.666                     937769.825825         
            96.833                     940507.146379         
            97.000                     943234.779769         
            97.166                     945943.577946         
            97.333                     948632.879377         
            97.500                     951288.073840         
            97.666                     953929.504099         
            97.833                     956565.914152         
            98.000                     959169.411879         
            98.166                     961740.582760         
            98.333                     964292.817427         
            98.500                     966862.249409         
            98.666                     969437.017262         
            98.833                     972012.611322         
            99.000                     974593.081189         
            99.166                     977192.590965         
            99.333                     979808.401808         
            99.500                     982447.571506         
            99.666                     985127.152129         
            99.833                     987836.076935         
           100.000                     990580.722223         
